T1		T2		T3		T4		T5		T6		T7		T8	
99.9	Computer	149.7	Building Blocks	182.4	Computer	348.6	Building Area	182.8	Computer	133.2	Computer	198.7	Building Blocks	348.5	Building Blocks
166.2	Computer	99.7	Building Blocks	82.9	Computer	216.1	Building Area	132.9	Building Blocks	116.1	Building Blocks	282.1	Building Blocks	132.6	Building Blocks
481.6	Computer	116.2	Building Blocks	182.2	Building Blocks	415.1	Building Area	99.9	Building Blocks	547.8	Building Blocks	99.7	Building Blocks	149.7	Building Blocks
132.6	Computer	99.2	Building Blocks	348.2	Building Blocks	132.6	Computer	249	Building Blocks	66.1	Building Area	132.6	Building Blocks	182.8	Building Area
116	Computer	165.9	Building Blocks	115.8	Building Blocks	165.9	Computer	133.2	Building Blocks	116	Building Area	298.9	Building Area	514.9	Building Area
149.3	Building Blocks	116.3	Building Blocks	215.7	Building Blocks	83	Computer	82.8	Building Blocks	199.4	Building Area	332	Building Area	348	Building Blocks
82.8	Building Blocks	199	Computer	282.1	Computer	100.1	Building Blocks	166.1	Building Blocks	381.2	Building Area	199.6	Building Area	82.9	Building Area
149.2	Building Blocks	149.3	Computer	199.5	Building Area	265.2	Building Blocks	182.8	Building Area	265.5	Building Area	115.9	Building Area	381.3	Building Area
133	Building Blocks	166.3	Building Area	232.3	Building Area	83.2	Building Blocks	298.4	Building Area	166	Building Area	99.8	Building Blocks	116.2	Building Area
82.6	Building Blocks	597.1	Building Area	497.6	Building Area	249.1	Computer	298.7	Building Area	199.2	Building Area	580.8	Building Area	115.9	Building Blocks
846.3	Building Blocks	199.5	Building Area	315.3	Building Area	82.8	Computer	116.1	Building Area	215.7	Building Area	365	Building Area	165.8	Building Area
199.1	Building Area	165.7	Building Area	232.4	Building Area	149.8	Building Area	282.1	Building Blocks	148.9	Building Area	149.3	Building Area	199.2	Building Area
547.8	Building Area	281.9	Building Area	199.1	Building Area	199.4	Building Area	83.3	Building Blocks	83	Building Blocks	199.2	Building Area	415.1	Building Area
82.6	Building Area	199	Building Area	149.2	Building Area	166	Building Area	116.3	Building Area	232.2	Building Blocks	216	Building Area	348.5	Building Area
266.1	Computer	248.4	Computer	149.2	Building Area	116.2	Building Area	232.6	Building Area	116.1	Building Area	663.4	Building Area	116.2	Building Area
215.4	Building Area	149.3	Computer	249.2	Computer	166	Building Area	132.9	Building Area	182.6	Building Area	282	Building Blocks	165.9	Building Area
265.6	Building Area	365.4	Computer	630.4	Computer	249	Building Area	82.9	Building Blocks	182.6	Building Area	298.7	Building Blocks	149.4	Building Blocks
166.1	Building Area	132.8	Computer	116.4	Building Blocks	149.5	Building Area	66.7	Building Area	398	Building Area	82.8	Building Blocks	182.2	Building Blocks
