T1		T2		T3		T4		T5		T6		T7		T8	
99.9	Computer	99.8	Computer	83	Computer	99.5	Building Blocks	99.3	Computer	116.2	Computer	83	Computer	182.8	Computer
182.5	Computer	83	Computer	116.4	Building Blocks	166.1	Building Blocks	99.7	Computer	116	Building Blocks	133	Building Blocks	116.5	Computer
215.5	Computer	116.5	Building Blocks	149.5	Building Blocks	82.8	Building Blocks	166	Building Blocks	149.4	Building Blocks	83	Building Blocks	232.5	Computer
132.6	Computer	215.9	Building Blocks	165.7	Building Area	133	Building Blocks	166.1	Building Blocks	298.8	Building Blocks	66.8	Computer	215.8	Computer
116.1	Computer	132.9	Building Blocks	298.8	Building Area	99.5	Building Area	99.4	Building Blocks	132.8	Computer	132.3	Building Area	381.2	Computer
431.5	Computer	115.7	Computer	364.9	Building Area	149.2	Computer	166.2	Building Area	132.9	Computer	564.6	Building Area	166	Building Blocks
265.4	Building Blocks	133.2	Computer	216	Building Blocks	282.3	Building Area	166.3	Computer	133	Building Area	133	Computer	132.6	Building Blocks
182.6	Building Blocks	249.2	Building Area	331.7	Computer	182.3	Building Area	332.2	Building Area	198.8	Building Area	315.3	Computer	83.1	Building Blocks
149.7	Building Blocks	116	Building Area	148.8	Building Blocks	265.2	Computer	82.8	Computer	132.5	Computer	282.6	Building Blocks	232	Building Blocks
116.3	Computer	165.6	Building Area	132.8	Building Blocks	281.9	Computer	165.7	Computer	99.6	Computer	99.5	Building Blocks	215.7	Building Blocks
149.4	Computer	99	Computer	83	Computer	132.6	Building Blocks	215.8	Building Blocks	281.7	Computer	116	Computer	149.4	Building Blocks
365.6	Computer	215.6	Computer	116.1	Building Area	182.3	Building Blocks	198.9	Building Blocks	149.6	Building Blocks	232	Building Area	182.5	Computer
182.7	Building Area	116.1	Computer	315.3	Building Area	132.4	Building Blocks	249.1	Computer	232.7	Building Blocks	713.3	Building Area	232.3	Building Area
148.9	Building Area	331.8	Computer	182.4	Building Area	448	Computer	182.6	Computer	83.5	Building Blocks	132.7	Computer	1012.3	Building Area
763.5	Building Area	99.6	Computer	514.5	Building Area	348.5	Computer	99.6	Building Area	265.4	Building Area	116.2	Computer	132.6	Computer
99.7	Computer	166	Building Blocks	116.4	Building Area	215.9	Computer	166.1	Building Area	481.2	Building Area	547.9	Computer	664	Building Blocks
199.5	Computer	166	Building Blocks	249.4	Building Area	115.6	Building Area	198.7	Building Area	82.8	Building Area	149.7	Building Blocks	165.9	Building Area
