T1		T2		T3		T4		T5		T6		T7		T8	
149.2	Building Blocks	182.4	Building Blocks	298.9	Computer	149.1	Computer	165.5	Building Blocks	116.7	Building Area	365.2	Building Blocks	83.5	Building Blocks
564.2	Building Blocks	215.7	Building Blocks	198.8	Building Area	215.9	Computer	232.4	Building Blocks	165.9	Building Area	99.5	Building Blocks	99	Building Blocks
448.4	Building Area	547.4	Computer	265.5	Building Area	115.5	Computer	248.9	Computer	215.7	Computer	99.8	Computer	265.5	Computer
82.5	Building Area	248.9	Computer	464	Building Area	116.2	Computer	132.8	Computer	364.9	Computer	116.1	Computer	365.1	Computer
398.2	Building Area	116.2	Computer	381.7	Building Area	364.9	Computer	83	Building Area	198.8	Computer	281.7	Computer	282.1	Building Blocks
348.7	Computer	99.4	Building Area	232.3	Building Area	198.4	Computer	349.1	Building Area	182.3	Building Blocks	149.2	Building Blocks	99.6	Computer
248.6	Computer	132.5	Building Area	99.7	Building Area	132.8	Building Blocks	215.5	Building Area	215.9	Building Blocks	165.3	Building Blocks	348.6	Computer
464.8	Computer	232.1	Building Area	133	Computer	116.1	Building Blocks	331.8	Building Area	298.6	Computer	281.9	Building Area	431.4	Building Area
746.5	Computer	232.1	Computer	199.3	Computer	265.4	Building Blocks	149.5	Computer	265.4	Computer	99.7	Computer	149	Building Area
116.5	Building Blocks	348.5	Computer	332.2	Computer	381.9	Computer	265.4	Computer	82.9	Computer	116.5	Computer	580.8	Building Area
82.6	Building Blocks	282.2	Computer	132.9	Computer	381.4	Computer	365	Computer	99	Building Blocks	165.8	Computer	829.8	Building Area
165.6	Building Blocks	83.1	Computer	116	Building Blocks	447.7	Building Blocks	166.2	Building Blocks	299	Building Blocks	232.4	Building Blocks	99.8	Computer
83.1	Building Blocks	281.8	Computer	348.8	Building Blocks	630.4	Building Area	132.9	Building Blocks	99.5	Building Blocks	216.2	Building Area	115.8	Computer
199.1	Building Blocks	82.9	Computer	99.7	Building Blocks	182.8	Computer	265.5	Building Blocks	166.1	Computer	813.3	Building Area	248.7	Computer
215.9	Building Blocks	165.9	Computer	99.1	Computer	315.4	Computer	182.5	Building Blocks	348.7	Building Area	149	Building Area	1676.3	Building Blocks
364.9	Building Area	331.9	Computer	232.5	Computer	99.2	Computer	199.1	Building Blocks	149.6	Building Blocks	1128.5	Building Area	696.6	Building Area
116	Computer	132.8	Computer	232.2	Computer	149.2	Building Blocks	198.7	Building Blocks	1094.8	Building Area	182.4	Building Area	231.8	Computer
166	Computer	182.5	Building Blocks	248.7	Building Blocks	730.2	Building Area	132.8	Computer	249	Building Area	298.5	Computer	215.6	Computer
348.5	Computer	199.5	Building Blocks	132.4	Building Blocks	315.3	Building Area	232.3	Computer	1095.4	Building Area	232.3	Computer	182.6	Computer
199.3	Computer	99.8	Computer	315.3	Building Area	282.1	Building Area	149.3	Building Blocks	331.8	Computer	116.4	Computer	99.8	Building Blocks
182.2	Building Blocks	165.6	Building Area	165.9	Building Area	564.5	Building Area	382	Building Blocks	248.6	Computer	248.8	Building Blocks	215.5	Building Blocks
232.5	Building Blocks	82.9	Computer	249	Computer	116.1	Building Area	116.1	Computer	149	Computer	1028.9	Building Blocks	730	Building Area
597	Building Area	232.4	Computer	215.6	Computer	248.9	Computer	215.5	Computer	299	Building Blocks	414.9	Building Blocks	116.1	Computer
