T1		T2		T3		T4		T5		T6		T7		T8	
199.2	Computer	83.4	Computer	182.5	Building Blocks	100	Computer	132.7	Computer	199.6	Building Blocks	266	Building Blocks	249.1	Building Blocks
348.8	Computer	132.8	Computer	564.4	Building Blocks	182.6	Building Blocks	165.8	Building Blocks	182.7	Building Blocks	381.7	Building Blocks	149	Building Blocks
315.6	Building Blocks	182.9	Building Blocks	265.5	Building Area	198.9	Building Blocks	248.5	Building Blocks	464.4	Building Blocks	364.8	Building Area	149.4	Building Blocks
232.5	Building Blocks	215.8	Building Blocks	298.6	Building Area	447.8	Building Blocks	365.3	Building Blocks	82.7	Building Area	298.3	Building Blocks	315.2	Building Blocks
116.4	Building Blocks	265.7	Building Blocks	282.1	Building Area	464.9	Building Area	730.1	Building Area	464.6	Building Area	116.2	Building Blocks	249.1	Building Blocks
315.6	Building Blocks	182.9	Building Area	99.6	Building Area	298.3	Building Area	298.7	Building Area	199.2	Building Area	199.3	Building Blocks	199.3	Building Area
99.2	Computer	232.8	Computer	166.1	Building Area	83.4	Building Blocks	232.4	Building Area	432	Building Area	149.2	Building Blocks	481.2	Building Area
398.2	Computer	680.1	Building Area	199.3	Building Blocks	215.8	Building Blocks	514.5	Building Area	199.2	Building Blocks	597.6	Building Blocks	182.6	Computer
415	Building Area	365.2	Building Area	398.6	Building Blocks	168.6	Building Blocks	747	Building Area	597.7	Building Blocks	415.1	Building Area	265.1	Computer
398.1	Computer	133.2	Computer	232.7	Building Blocks	199.1	Building Area	232.4	Building Blocks	348.4	Building Area	232.8	Building Area	381.5	Computer
331.9	Computer	331.5	Computer	166	Building Area	116.3	Building Blocks	149.2	Building Blocks	265.5	Building Area	165.8	Building Blocks	149.3	Building Blocks
348.5	Building Area	414.8	Computer	232.2	Building Area	149.3	Building Blocks	298.4	Building Blocks	679.9	Building Area	647.4	Building Area	464.5	Building Blocks
696.7	Building Area	182.4	Building Blocks	149.7	Building Area	182.2	Building Blocks	216	Building Blocks	531.3	Building Area	414.8	Building Area	83.1	Building Area
116	Building Area	364.8	Building Blocks	929.5	Building Area	415	Building Blocks	100	Building Blocks	132.8	Building Area	332.1	Building Blocks	232.4	Building Area
99.8	Computer	166.1	Building Blocks	414.5	Building Area	480.8	Building Area	99.6	Building Blocks	315.1	Building Blocks	480.9	Building Area	382.1	Building Area
232.2	Computer	580.8	Building Area	962.8	Building Area	531.1	Building Area	149.4	Building Blocks	66.2	Building Area	481.6	Building Area	647.2	Building Area
315.9	Computer	215.8	Building Area	165.7	Building Blocks	282.4	Building Area	464.5	Building Blocks	679.9	Building Area	1576.8	Building Area	481.6	Building Area
282.5	Computer	564.3	Building Area	83.4	Building Blocks	497.9	Building Area	481.3	Building Area	332	Building Blocks	282	Building Area	481.2	Building Area
99.5	Computer	597.6	Building Area	729.8	Building Blocks	149.2	Building Blocks	232.6	Building Area	447.9	Building Blocks	746.4	Building Area	348.3	Building Area
249.2	Computer	199	Building Blocks	1859	Building Area	929.4	Building Blocks	182.4	Building Area	282.2	Building Blocks	398.4	Building Area	215.9	Building Blocks
249.3	Computer	198.8	Building Blocks	498	Building Area	630.6	Building Area	796.5	Building Area	282.5	Building Area	182	Building Area	132.9	Building Blocks
265.4	Computer	414.9	Building Blocks	414.9	Building Area	1642.6	Building Area	514.4	Building Area	1510.5	Building Area	215.3	Building Area	481.1	Building Blocks
232.4	Building Blocks	796.8	Building Blocks	315.4	Building Area	547.7	Building Area	348.8	Building Area	1443.6	Building Area	199.5	Building Area	99.8	Building Blocks
464.5	Building Blocks	2174	Building Area	215.6	Building Area	182.3	Building Area	282.3	Building Blocks	265.8	Building Area	696.9	Building Area	116.3	Building Area
149.3	Building Blocks	796.1	Building Area	133	Building Area	182.2	Building Area	580.6	Building Blocks	298.4	Building Area	597.4	Building Area	1957.8	Building Area
116.4	Building Blocks	99.6	Computer	282.1	Building Area	564.2	Building Area	183	Building Blocks	713.7	Building Area	581	Building Area	282.8	Building Area
116.6	Computer	232	Computer	2472.3	Building Area	415.1	Building Area	282.2	Building Area	680.7	Building Area	232.4	Building Area	182.4	Building Area
432	Computer	281.9	Computer	564.1	Building Area	348.5	Building Area	2107.6	Building Area	1393.9	Building Area	165.8	Building Area	946.3	Building Area
199.4	Building Blocks	216	Computer	265.9	Building Area	182.8	Building Area	381.7	Building Area	597.3	Building Area	630.6	Building Area	215.5	Building Area
298.8	Computer	182.5	Building Area	414.9	Building Area	514.6	Building Area	797	Building Area	746.9	Building Area	298.8	Building Area	381.3	Building Area
348.5	Building Area	265.6	Building Area	315.3	Building Area	1045.3	Building Area	199.4	Building Area	365.1	Building Area	1344	Building Area	497.9	Building Area
564.2	Building Area	2688.4	Building Area	530.9	Building Area	182.6	Building Area	116.1	Building Area	249.4	Building Area	232.2	Building Area	464.6	Building Area
216	Building Area	132.6	Building Area	165.9	Building Area	696.8	Building Area	331.6	Building Area	564.2	Building Area	896.1	Building Area	2074.8	Building Area
132.7	Building Area	132.9	Building Area	116.3	Building Area	215.6	Building Area	165.5	Building Area	431.6	Building Area	331.9	Building Area	398.6	Building Area
