T1		T2		T3		T4		T5		T6		T7		T8	
166.1	Computer	215.3	Computer	132.5	Computer	232.5	Building Blocks	116.2	Computer	199.1	Building Blocks	99.6	Computer	697.1	Building Blocks
132.7	Computer	132.5	Building Blocks	132.6	Computer	215.3	Building Blocks	165.5	Building Blocks	232.3	Building Blocks	132.7	Computer	149.1	Building Blocks
198.7	Building Blocks	116	Building Blocks	199.4	Computer	282.3	Building Blocks	182.8	Building Blocks	581.4	Building Blocks	99.6	Computer	149.2	Building Area
82.7	Building Blocks	133.1	Building Blocks	281.6	Computer	215.6	Building Area	265.8	Building Blocks	149.1	Computer	348.4	Building Blocks	199.1	Building Area
116.1	Building Blocks	431.7	Building Blocks	116.1	Building Blocks	132.9	Building Area	82.7	Building Blocks	166.2	Building Blocks	414.9	Building Blocks	149.4	Building Blocks
249	Building Blocks	232.5	Building Blocks	149.4	Building Blocks	99.6	Building Area	481.1	Building Area	149.3	Building Blocks	331.7	Building Blocks	99.6	Building Blocks
165.7	Computer	116.4	Building Area	166.4	Building Blocks	464.4	Building Blocks	265.5	Building Area	99.4	Building Area	99.7	Building Area	132.9	Building Blocks
215.3	Computer	447.6	Building Area	348.1	Building Blocks	332.1	Building Blocks	231.9	Computer	149.6	Building Area	248.9	Building Area	199	Building Blocks
348.5	Building Area	232.5	Computer	99.6	Computer	99.9	Building Blocks	132.4	Computer	215.9	Building Blocks	232.6	Building Area	331.9	Building Area
381.7	Building Area	282.1	Computer	165.5	Building Blocks	83.6	Building Blocks	497.7	Computer	414.8	Building Blocks	597.7	Building Blocks	232.2	Building Area
182.5	Building Area	133.4	Building Blocks	298.3	Building Area	199.1	Building Area	182.5	Building Blocks	531.1	Building Area	99.6	Building Area	232.5	Building Area
199.1	Building Area	298.3	Building Blocks	182.4	Building Blocks	132.7	Building Area	945.8	Computer	680.2	Building Blocks	348.5	Building Area	281.7	Building Area
99.9	Building Area	132.4	Building Area	133	Building Blocks	116.6	Building Area	82.6	Computer	132.8	Building Area	182.7	Building Area	1742.6	Building Area
149.7	Building Area	248.8	Building Area	348.2	Building Blocks	447.7	Building Blocks	66.5	Building Area	83.4	Building Area	265.8	Building Area	132.9	Building Area
149.3	Building Area	448	Building Area	149.4	Building Area	166.1	Building Area	83.2	Building Area	1510.2	Building Area	249	Building Blocks	232.6	Building Area
166.3	Computer	232.5	Building Area	265.1	Building Area	381.6	Building Area	248.4	Building Blocks	182.8	Building Area	133	Building Blocks	264.9	Building Area
183	Computer	215.7	Building Area	199.5	Building Area	249.2	Building Area	248.7	Building Blocks	1543.5	Building Area	365.1	Building Area	1643.1	Building Area
315.1	Computer	166	Computer	132.4	Building Area	846.7	Building Area	381.6	Building Blocks	99.7	Building Area	1161.3	Building Area	365.1	Building Area
116.1	Computer	199	Computer	149.4	Computer	115.8	Building Area	199.4	Building Area	265.2	Building Area	215.6	Building Blocks	647.7	Building Area
83	Computer	166.3	Building Blocks	115.7	Computer	83	Building Blocks	298.7	Building Area	149.6	Building Area	149.4	Building Blocks	713.5	Building Area
165.8	Building Blocks	431.2	Building Blocks	332	Computer	282.3	Building Blocks	580.6	Building Area	165.9	Building Area	116.4	Building Area	447.6	Building Blocks
116.1	Building Blocks	198.9	Building Area	414.9	Computer	116	Building Area	348.5	Building Area	1294.4	Building Area	398.2	Building Area	82.7	Building Blocks
199.4	Computer	265.6	Building Area	82.9	Building Blocks	531.4	Building Area	249	Building Area	215.8	Building Area	315.3	Building Area	929.1	Building Area
265.3	Computer	2256.6	Building Area	115.6	Building Blocks	365.7	Building Area	447.6	Building Area	232.3	Building Area	265.4	Building Area	431.9	Building Area
132.6	Computer	215.5	Building Area	82.8	Building Blocks	215.8	Building Area	165.9	Building Area	630.6	Building Area	282.2	Building Area	199.5	Building Area
165.3	Building Area	166.1	Building Area	132.4	Computer	298.7	Building Area	315.2	Building Blocks	713.2	Building Area	1095.8	Building Area	165.5	Building Area
215.7	Building Area	481.3	Building Area	99.5	Computer	348.5	Building Area	133.1	Building Area	116.1	Building Blocks	564.4	Building Area	149.6	Building Blocks
348.5	Building Area	83	Building Blocks	82.7	Computer	664.2	Building Area	1278.2	Building Area	348.9	Building Blocks	431.5	Building Area	132.9	Building Blocks
697.4	Building Area	331.9	Building Area	199	Building Area	199.3	Building Area	99.1	Building Area	99.4	Building Area	216	Building Area	132.8	Building Blocks
82.7	Computer	182.7	Building Area	149.4	Building Blocks	149.2	Building Area	99.4	Building Blocks	829.4	Building Area	133	Building Area	198.9	Building Blocks
82.4	Computer	132.5	Building Area	215.7	Computer	845.8	Building Area	249.5	Building Blocks	266	Building Area	115.7	Building Blocks	132.7	Building Blocks
83	Computer	298.6	Building Area	149.7	Building Blocks	115.9	Building Area	132.9	Building Blocks	497.9	Building Area	348.1	Building Blocks	365.7	Building Blocks
199.4	Computer	149.1	Building Area	82.8	Building Blocks	182.6	Computer	680.3	Building Area	331.9	Computer	132.9	Building Blocks	199	Building Blocks
414.6	Computer	348.5	Building Area	149.6	Building Blocks	249.4	Computer	282.2	Building Area	265.4	Computer	115.8	Building Blocks	315.5	Building Blocks
249.2	Computer	929.4	Building Area	116.4	Building Blocks	332.1	Computer	265.3	Building Area	132.8	Building Blocks	132.6	Building Blocks	132.3	Building Blocks
248.7	Building Blocks	133.1	Building Area	132.6	Building Area	66.7	Computer	248.7	Building Area	132.8	Building Blocks	165.4	Building Area	216	Building Area
315.4	Computer	1344.2	Building Area	99.9	Building Area	249.1	Computer	149.8	Building Area	199.2	Building Blocks	315.8	Building Area	99	Building Blocks
99.3	Building Area	132.9	Computer	381.5	Building Area	182.5	Building Blocks	364.6	Building Area	381.6	Computer	1061.8	Building Area	165.7	Building Blocks
149.6	Building Area	216.1	Computer	99.5	Building Area	148.9	Building Blocks	613.9	Building Area	182.4	Building Blocks	232.3	Building Area	498	Building Area
181.8	Building Area	464.4	Computer	165.3	Computer	431.5	Building Blocks	166.2	Building Area	165.8	Building Blocks	465	Building Area	348.9	Building Area
299.2	Building Area	99.1	Building Blocks	166.1	Computer	199.1	Building Area	398	Building Area	149.4	Building Blocks	99.9	Computer	348.3	Building Area
1526.4	Building Area	298.7	Building Blocks	116	Building Area	83	Building Area	398.7	Building Area	199	Building Blocks	199.2	Computer	248.5	Building Area
149.2	Building Area	199.5	Building Blocks	531.1	Building Area	149.4	Building Area	497.6	Building Area	116.5	Building Blocks	182.5	Building Blocks	348.8	Building Blocks
465	Building Area	115.8	Building Blocks	382	Building Area	465.3	Building Area	149.2	Building Area	132.3	Computer	83.1	Building Blocks	331.8	Building Area
348.8	Building Area	148.9	Building Area	530.9	Building Area	99.4	Building Area	232.2	Building Area	248.6	Computer	149.2	Building Blocks	216	Building Area
298.6	Building Area	1012.8	Building Area	979.3	Building Area	547.8	Computer	265.7	Building Area	116.2	Building Area	182.3	Building Blocks	232.4	Building Blocks
1194.7	Building Area	365.1	Building Blocks	99.5	Building Area	116.3	Building Area	82.5	Computer	348.4	Building Area	332.4	Building Blocks	149.4	Building Blocks
182.1	Building Blocks	182.4	Building Area	166.4	Building Area	298.8	Building Area	132.6	Computer	165.6	Building Area	198.7	Building Area	199.1	Building Area
99.6	Building Blocks	846.4	Building Area	232.6	Building Area	249.1	Computer	182.6	Computer	414.9	Computer	315.2	Building Area	680.7	Building Area
116	Building Area	215.6	Computer	99.6	Building Area	132.5	Computer	165.9	Building Blocks	99.5	Building Area	82.7	Building Blocks	447.6	Building Area
199.3	Building Area	149.5	Computer	115.8	Building Area	182.6	Computer	166.4	Computer	348.7	Building Area	248.7	Building Blocks	281.9	Building Blocks
813.6	Building Area	199.4	Computer	215.5	Building Area	165.9	Building Blocks	315.2	Computer	398	Building Area	132.9	Building Area	82.9	Building Blocks
199.3	Building Area	149.4	Building Blocks	1958.9	Building Area	165.9	Building Blocks	315	Building Blocks	232.5	Building Area	563.8	Building Area	215.7	Building Blocks
165.4	Building Area	199	Building Blocks	132.9	Building Area	149.2	Building Blocks	182.5	Building Area	82.7	Building Area	663.8	Building Area	133.2	Building Area
199.1	Building Area	149.6	Building Blocks	99.8	Building Area	182.5	Computer	248.7	Building Area	514.2	Building Area	132.4	Building Blocks	547.8	Building Area
82.9	Computer	132.7	Building Area	116.1	Computer	497.9	Computer	149	Building Area	580.9	Building Blocks	398.7	Building Blocks	182.7	Building Area
116	Computer	116.4	Building Area	83	Computer	166.1	Building Blocks	298.6	Building Area	182.7	Building Area	116.4	Computer	497.9	Building Blocks
265.5	Computer	149	Building Area	82.7	Computer	116.2	Building Blocks	248.6	Building Area	133	Building Blocks	165.5	Computer	133.3	Building Area
