T1		T2		T3		T4		T5		T6		T7		T8	
199.3	Computer	249.2	Computer	299	Computer	100	Computer	149.3	Building Blocks	99.8	Computer	348.5	Building Blocks	132.8	Building Blocks
481.2	Computer	199	Building Blocks	133.1	Building Blocks	83	Building Blocks	232.7	Building Blocks	248.7	Computer	298.6	Building Blocks	83	Computer
265.6	Computer	215.7	Building Blocks	199.5	Building Blocks	116.4	Building Blocks	165.8	Building Blocks	331.7	Building Blocks	83	Building Blocks	265.7	Computer
149.4	Computer	365	Building Blocks	199.3	Building Blocks	614	Building Blocks	315.4	Building Blocks	215.3	Building Blocks	531.5	Building Blocks	281.9	Computer
365.4	Building Blocks	182.7	Computer	99.6	Building Blocks	365.3	Building Area	282.2	Building Area	82.6	Building Blocks	299.1	Building Area	597.3	Building Blocks
182.5	Building Blocks	580.5	Building Area	183	Computer	249	Building Area	631	Building Area	447.9	Building Blocks	198.8	Building Area	165.8	Building Blocks
282.4	Building Blocks	215.8	Building Area	166	Computer	166.1	Building Area	116	Building Area	647	Building Area	265.6	Building Blocks	298.5	Computer
116.2	Computer	82.8	Computer	149.2	Computer	182.8	Building Area	265.3	Computer	232.2	Building Area	99.5	Building Blocks	248.9	Building Area
99.5	Computer	132.9	Computer	199.3	Computer	116.2	Building Area	100	Computer	182	Building Area	99.6	Building Area	199.5	Building Area
564.1	Building Area	331.9	Computer	133	Computer	132.6	Building Area	165.5	Computer	265.4	Building Area	149.5	Building Area	298.4	Building Blocks
248.4	Building Area	133.4	Computer	464.7	Computer	116.4	Building Area	182.7	Building Area	314.9	Building Area	165.8	Building Blocks	248.9	Building Blocks
165.5	Computer	630.6	Computer	747	Computer	514.5	Building Area	165.8	Computer	232.7	Building Area	415.1	Building Blocks	663.6	Building Blocks
282.3	Computer	232	Building Blocks	481.4	Building Blocks	314.9	Building Area	149.7	Computer	614	Building Area	132.3	Building Blocks	265.5	Building Area
99.6	Computer	365.1	Building Blocks	66.7	Computer	99.6	Building Area	99.5	Building Blocks	547.9	Building Area	215.9	Building Blocks	199.3	Building Area
149	Computer	597.6	Computer	116.3	Building Area	265.1	Building Area	132.9	Building Blocks	66.5	Building Area	116.1	Building Blocks	216.1	Building Area
381.8	Computer	381.6	Building Area	116.3	Building Area	99.6	Building Area	282.2	Building Blocks	132.9	Building Area	232.1	Building Blocks	248.5	Building Area
414.7	Computer	315.8	Building Area	149.2	Computer	99.4	Building Area	116.4	Building Area	165.8	Building Area	166.1	Building Area	199.4	Building Area
215.7	Computer	315.1	Building Area	182.6	Computer	166.4	Computer	182.5	Building Area	431.6	Building Area	514.2	Building Area	215.8	Building Area
215.9	Computer	513.9	Building Area	315.6	Computer	364.5	Computer	298.6	Building Area	381.7	Building Area	298.6	Building Blocks	198.9	Building Area
149.4	Building Blocks	215.4	Computer	265.5	Building Area	99.1	Computer	564.4	Building Area	215.7	Building Area	199.1	Building Blocks	531.2	Building Area
83.2	Building Blocks	99.7	Computer	99.7	Building Area	729.9	Building Blocks	1244.8	Building Area	1012.5	Building Area	199.2	Computer	1493.7	Building Area
165.8	Building Blocks	116	Building Area	182.6	Building Area	315	Building Area	364.8	White Space	398.2	Building Area	215.9	Computer	215.7	Building Area
531	Building Blocks	83.4	Building Area	365.3	Building Area	199.1	Building Area	464.6	White Space	348.6	Building Area	116.2	Building Area	132.8	Building Blocks
365.5	Computer	398.3	Building Area	597.3	Building Area	116.6	Building Area	133	Computer	1095.1	Building Blocks	398.3	Building Area	431.5	Building Blocks
99.8	Computer	99.5	Computer	746.9	Building Area	630.4	Building Area	82.8	Computer	99.6	Building Area	149.4	Building Area	249.4	Building Area
581.2	Building Area	132.7	Computer	663.5	Building Area	132.7	Computer	149.4	Building Area	2124.1	Building Area	249	Building Area	331.8	Building Area
133.4	Building Area	580.8	Computer	315.3	Computer	115.5	Computer	265.5	Building Area	647.1	Building Area	415.2	Computer	1410.6	Building Area
215.3	Building Area	199.2	Computer	83	Building Blocks	265.6	Computer	199.4	Building Area	415.1	Building Area	149.5	Computer	481.2	Building Area
281.9	Computer	962.4	Building Blocks	298.6	Building Blocks	149.3	Building Blocks	763.9	Building Area	249.2	Building Area	879.7	Computer	912.3	Building Area
580.6	Computer	99.7	Building Area	431.9	Computer	779.7	Building Blocks	116	Computer	480.6	Building Area	365.2	White Space	1128.8	Building Area
265.6	Building Area	1078.6	Building Area	829.8	Building Area	531.2	Building Blocks	132.9	Computer	1178.2	Building Area	115.9	White Space	729.5	Building Area
149.2	Building Area	132.6	Building Area	133.1	Computer	564.5	Building Area	116.6	Computer	597.6	Building Area	680.1	White Space	332	Building Area
