T1		T2		T3		T4		T5		T6		T7		T8	
198.5	Computer	82.6	Computer	82.4	Building Blocks	83	Computer	182.3	Building Blocks	199.1	Computer	132.6	Building Blocks	115.9	Computer
83	Computer	100	Computer	531.3	Building Blocks	232.7	Building Blocks	215.6	Building Blocks	116.3	Building Blocks	182.9	Building Blocks	415	Building Blocks
249.1	Computer	149.3	Computer	298.7	Building Area	779.9	Building Blocks	780	Building Blocks	83.2	Building Blocks	116.5	Computer	182	Building Blocks
166.1	Building Blocks	99.7	Building Blocks	132.8	Building Area	215.9	Building Area	779.6	Building Area	149.2	Building Blocks	282.3	Computer	215.8	Building Blocks
182.8	Building Blocks	149.4	Building Blocks	116.1	Building Area	530.8	Building Area	99.5	Building Area	249	Building Blocks	249.4	Building Area	895.9	Building Area
315.1	Building Blocks	182.6	Building Blocks	116.1	Building Area	680.2	Building Area	99.3	Building Area	149.3	Building Blocks	431.4	Building Area	199.3	Building Area
116.2	Building Blocks	332.2	Building Blocks	149.8	Building Area	115.9	Building Area	415	Computer	198.8	Building Blocks	282	Building Area	464.6	Building Blocks
116.2	Building Area	199.3	Computer	132.9	Building Area	165.7	Building Area	232.1	Building Blocks	447.9	Building Blocks	116.2	Building Area	481.4	Building Blocks
232.4	Building Area	249.2	Building Area	182.8	Building Area	249	Building Area	232.3	Building Blocks	431.1	Building Area	215.6	Building Area	680.5	Building Area
132.8	Building Area	132.6	Building Area	115.8	Computer	148.9	Building Area	99.7	Computer	149.4	Building Area	166.1	Building Area	215.7	Building Area
165.9	Building Area	364.8	Building Area	132.8	Computer	149.1	Computer	265.3	Computer	99.6	Building Area	83.1	Building Blocks	481.9	Building Area
165.9	Building Area	166.1	Building Area	232.2	Computer	133	Computer	215.7	Computer	132.8	Building Blocks	132.7	Building Blocks	149.7	Building Area
132.7	Building Area	165.7	Building Area	497.5	Computer	232.4	Computer	116.4	Building Area	580.6	Building Blocks	83.2	Building Blocks	116	Building Area
149.3	Building Area	83.2	Building Area	115.9	Computer	232.1	Computer	481.5	Building Area	298.7	Building Area	99.8	Building Blocks	149.2	Building Area
149.4	Building Area	348.6	Computer	83.6	Building Blocks	99.6	Computer	166	Building Area	348.2	Building Area	680.5	Building Blocks	398.1	Building Area
132.7	Building Area	415.1	Computer	282.2	Building Blocks	82.9	Building Blocks	182.7	Building Area	431.5	Building Area	182.3	Building Area	149	Building Area
166.1	Building Area	215.9	Computer	813.3	Building Blocks	912.5	Building Blocks	132.7	Building Area	149.2	Building Area	150	Building Area	365.5	Building Area
182.7	Building Area	132.5	Building Blocks	132.6	Building Area	248.9	Building Area	166.3	Building Area	182.4	Building Area	281.7	Building Area	133	Building Area
99.8	Computer	265.4	Building Blocks	332.2	Building Area	198.5	Building Area	414.6	Building Area	249.3	Building Area	348.6	Building Area	282.1	Building Area
331.9	Computer	846.3	Building Blocks	298.6	Building Area	398.4	Building Area	232.4	Building Area	99.8	Building Area	165.6	Building Area	82.9	Building Area
182.9	Computer	215.6	Building Area	116.2	Building Area	199	Building Area	99.5	Building Area	349.1	Computer	182.4	Building Area	199.5	Building Area
182.4	Computer	498.1	Building Area	149.1	Building Area	149.3	Building Area	796.3	Building Blocks	249	Computer	348.5	Building Area	398.7	Building Blocks
99.3	Computer	265.3	Building Area	281.9	Building Area	165.7	Building Area	198.9	Building Blocks	332	Computer	116.2	Building Area	364.8	Building Blocks
116.1	Building Blocks	149.5	Building Area	199.1	Building Area	182.6	Building Area	298.4	Building Blocks	116.6	Computer	414.9	Building Blocks	398.3	Building Area
66.3	Building Blocks	531.3	Building Area	82.9	Computer	332	Building Area	464.9	Building Blocks	182.1	Building Blocks	663.7	Building Blocks	1908.5	Building Area
166.1	Building Blocks	149.6	Building Area	182.2	Computer	265.4	Computer	82.8	Computer	265.9	Building Blocks	531.7	Building Area	232.7	Building Area
166.1	Building Blocks	697	Building Area	381.8	Computer	481.5	Computer	680.5	Computer	166.1	Building Blocks	846.5	Building Area	364.5	Building Area
149.3	Computer	182.7	Building Area	182.3	Building Blocks	182.5	Building Blocks	182.8	Computer	249.4	Building Blocks	729.7	Building Area	166.3	Building Area
83	Computer	613.9	Building Area	248.8	Building Blocks	1344.5	Building Blocks	199.2	Building Area	232.4	Building Blocks	232.6	Building Area	99.3	Building Area
381.8	Computer	166	Computer	663.9	Building Blocks	464.6	Building Blocks	182.1	Building Area	1526.6	Building Area	182.6	Building Area	133	Building Area
83	Computer	431.3	Computer	116.4	Computer	149.4	Building Area	248.8	Building Area	597.7	Building Area	315.2	Building Area	431.6	Building Area
249.1	Computer	182.5	Computer	116	Computer	132.9	Building Area	216.2	Building Area	298.9	Building Area	597.5	Building Area	1443.6	Building Area
116.5	Computer	116.6	Building Blocks	215.7	Building Area	199.2	Building Area	1393.9	Building Area	182.6	Building Area	298.5	Building Area	282	Building Area
116	Building Blocks	431.7	Building Blocks	199	Building Area	282.2	Building Area	298.2	Building Area	298.9	Building Area	248.8	Building Area	912.7	Building Area
215.7	Building Blocks	248.9	Computer	547.6	Building Area	166	Building Area	830.2	Building Area	430.9	Building Area	116.5	Building Blocks	315.1	Building Blocks
448.1	Building Blocks	149.4	Computer	713.3	Building Area	1278.1	Building Area	1593.4	Building Area	1909.1	Building Area	281.8	Building Blocks	166.2	Building Blocks
199.1	Computer	82.9	Computer	265.2	Building Area	1128.5	Building Area	232.5	Building Area	348.7	Building Area	166.1	Building Blocks	116	Building Blocks
115.7	Computer	82.8	Building Blocks	613.8	Building Area	282	Building Area	1211.1	Building Area	564	Building Blocks	116.1	Building Area	298.9	Building Area
298.7	Building Area	282.5	Building Area	414.9	Building Area	547.6	Building Area	232.4	Building Area	199.4	Building Area	962.8	Building Area	962.4	Building Area
216.4	Building Area	630.8	Building Area	165.6	Building Area	298.1	Building Area	199.3	Building Area	713.8	Building Area	132.7	Building Area	215.4	Building Area
182.8	Building Area	862.9	Building Area	1759	Building Area	547.6	Building Area	149.8	Building Area	265.3	Building Area	414.9	Building Area	199.7	Building Area
331.6	Building Area	231.9	Building Area	232.2	Building Area	215.7	Building Area	563.8	Building Area	265.5	Building Area	82.9	Building Area	100.1	Building Area
1029	Building Area	365.1	Building Area	1178.7	Building Area	315.9	Building Area	448.4	Building Area	182.9	Building Area	149.6	Building Blocks	166.1	Building Area
133	Building Area	1991.6	Building Area	863.2	Building Area	166.2	Building Area	747.1	Building Area	381.6	Building Area	746.9	Building Blocks	796.4	Building Blocks
182.5	Building Area	481	Building Area	448.1	Building Area	1476.9	Building Area	232.1	Building Blocks	232.6	Building Area	116.1	Building Area	116.6	Building Area
83	Building Area	664.2	Building Area	149.5	Building Area	265.3	Building Area	746.7	Building Blocks	249	Building Area	199.3	Building Area	231.7	Building Area
531.3	Building Area	414.9	Building Area	713.8	Building Area	165.8	Building Area	83	Computer	348.7	Building Blocks	282.5	Building Area	248.9	Building Area
183	Building Area	962.2	Building Area	332	Building Area	315.3	Building Area	282.1	Computer	265.7	Building Blocks	348.4	Building Area	1244.8	Building Area
149.2	Computer	116.2	Building Area	1825.6	Building Area	132.9	Computer	132.8	Computer	182.8	Building Area	929.2	Building Area	132.9	Building Area
332.2	Computer	249.4	Building Blocks	398.4	Building Area	165.8	Computer	232.3	Computer	149.2	Building Area	498.2	Building Area	115.7	Building Area
132.5	Computer	215.7	Building Blocks	165.4	Building Area	381.1	Computer	99.5	Computer	182.3	Building Area	265.5	Building Area	647.2	Building Area
232.1	Computer	1294.4	Building Area	282.2	Building Area	198.9	Computer	198.9	Building Area	398.5	Building Area	331.7	Building Area	298.9	Building Area
116.5	Computer	298.5	Building Area	1045.7	Building Area	364.9	Building Blocks	514.4	Building Area	464.8	Building Area	398.3	Building Area	531.3	Building Area
348.7	Computer	331.9	Building Area	82.6	Building Blocks	631.1	Building Blocks	646.9	Building Area	1111.9	Building Area	149.4	Building Blocks	331.9	Building Area
66.3	Computer	348.7	Building Area	397.7	Building Area	99.6	Building Area	132.8	Building Area	282.4	Building Area	265.6	Building Blocks	132.7	Building Blocks
497.4	Building Blocks	232.4	Building Area	332	Building Area	182.8	Building Area	398.3	Building Area	531	Building Area	265.8	Building Blocks	215.7	Building Blocks
332	Computer	198.7	Building Area	747.2	Building Area	764.1	Building Area	215.7	Building Area	282.1	Computer	99.6	Building Blocks	132.6	Building Blocks
348.4	Computer	133.1	Computer	332	Building Area	514.3	Building Area	348.9	Building Area	497.9	Computer	83.2	Computer	82.7	Building Blocks
182.2	Building Blocks	116.3	Computer	99.8	Computer	680.5	Building Area	398.6	Building Area	431.2	Computer	165.8	Computer	398.6	Building Blocks
265.9	Building Area	414.4	Computer	166.5	Computer	431.4	Building Area	132.7	Building Area	414.6	Computer	132.8	Computer	149.7	Building Blocks
149.6	Building Area	281.8	Computer	82.8	Computer	664	Building Area	298.7	Building Area	282	Building Blocks	746.9	Computer	381.9	Building Area
962.4	Building Area	149.4	Building Blocks	248.9	Computer	1095	Building Area	149.6	Computer	149.6	Building Blocks	431.5	Computer	315.5	Building Blocks
530.9	Building Area	83.1	Building Blocks	182.7	Computer	149.4	Building Area	730.6	Computer	265.7	Building Blocks	132.9	Computer	182.1	Building Blocks
298.4	Building Area	166	Building Blocks	763.5	Building Blocks	182.5	Computer	183.2	Building Blocks	99.5	Building Blocks	215.6	Building Blocks	249.2	Building Area
1643.3	Building Area	564.5	Building Blocks	182.7	Computer	166.1	Computer	166.1	Building Blocks	115.9	Computer	165.6	Building Blocks	531.1	Building Area
249	Building Area	282.1	Computer	614.1	Building Area	182.8	Computer	116.1	Building Blocks	248.8	Building Area	149.5	Building Blocks	232.8	Building Area
414.8	Building Area	100.1	Computer	132.6	Building Area	149.3	Computer	298.7	Building Blocks	713.5	Building Blocks	364.9	Building Blocks	331.9	Building Blocks
132.8	Building Area	249	Building Area	780.3	Building Area	149.3	Computer	116.1	Building Blocks	100	Building Blocks	548	Building Area	232.1	Building Area
431.4	Building Area	315.6	Building Area	232.6	Building Area	265.6	Building Blocks	199.1	Building Blocks	198.7	Building Area	132.6	Building Blocks	282.3	Building Area
746.9	Building Area	365	Building Area	149.1	Building Area	265.5	Building Blocks	365.6	Building Blocks	298.7	Building Area	149.3	Building Blocks	448.1	Building Area
431.5	Building Area	166	Building Area	1112.3	Building Area	149.4	Building Blocks	265.6	Building Blocks	331.9	Building Blocks	232.4	Building Blocks	100	Building Area
115.6	Building Area	215.7	Building Area	315.5	Building Area	116.3	Building Blocks	365.3	Building Area	215.8	Building Area	249.1	Building Area	829.8	Building Area
232	Building Area	115.8	Building Area	165.6	Building Area	581.2	Building Blocks	215.7	Building Area	696.9	Building Area	298.4	Building Area	1841.7	Building Area
215.7	Building Area	664.1	Building Area	99.5	Building Area	481.5	Building Area	199.1	Building Area	448.4	Building Area	498.3	Building Blocks	431.5	Building Area
182.6	Building Area	912.5	Building Area	232.3	Building Area	83	Computer	381.2	Computer	896.1	Building Area	183	Building Area	215.8	Building Area
365	Building Area	332	Building Area	116.2	Building Area	166	Computer	331.7	Computer	248.6	Building Area	796.8	Building Area	215.7	Building Area
100.1	Building Area	282.3	Building Area	265.5	Computer	116.2	Computer	133	Computer	348.9	Computer	730.1	Building Area	115.8	Building Area
199.1	Building Area	232.4	Building Area	498	Computer	315.9	Computer	298.9	Building Area	331.7	Computer	796.4	Building Area	813.5	Building Area
564.7	Building Area	332.2	Building Area	199	Computer	182.5	Computer	348.1	Building Area	116.5	Computer	348.7	Building Area	398.7	Building Area
248.7	Building Area	365.4	Computer	149.6	Building Area	115.9	Building Blocks	381.3	Computer	597.5	Computer	348.6	Building Area	547.6	Building Area
182.3	Building Area	398.3	Computer	99.8	Building Blocks	232.1	Building Blocks	431.9	Computer	166.2	Computer	414.6	Building Blocks	249.1	Building Area
1195	Building Area	116.1	Computer	216.1	Building Blocks	166.2	Building Blocks	182.8	Computer	265.9	Computer	116.1	Computer	116.1	Building Area
115.7	Building Area	132.7	Building Area	182.8	Building Blocks	365.4	Building Area	82.6	Building Blocks	133.2	Computer	314.8	Computer	116.3	Building Area
132.8	Building Area	115.9	Building Blocks	116.4	Building Blocks	182.2	Building Area	165.5	Building Blocks	198.9	Building Blocks	166.1	Computer	82.9	Building Blocks
82.7	Building Area	199.7	Building Blocks	165.9	Building Blocks	149.5	Computer	216.3	Building Area	165.7	Building Blocks	398.6	Computer	464.4	Building Blocks
398.2	Building Blocks	132.4	Building Blocks	497.6	Building Blocks	166.3	Computer	497.8	Building Area	265.6	Building Blocks	348.6	Computer	82.9	Building Area
133	Building Area	82.7	Building Blocks	315.1	Building Area	132.9	Computer	331.5	Building Area	232.5	Building Area	348.7	Computer	265.6	Building Area
365.2	Building Area	149.5	Building Blocks	132.6	Computer	414.5	Building Blocks	298.8	Building Area	1045.5	Building Area	149.8	Computer	580.9	Building Area
199.3	Building Area	198.9	Building Blocks	298.7	Computer	232.6	Computer	381.6	Building Area	465.2	Building Blocks	182.2	Building Blocks	182	Building Area
464.6	Building Area	198.7	Computer	99.6	Computer	99.6	Building Area	514.5	Building Area	1958	Building Area	132.9	Building Blocks	647.1	Building Area
431.5	Building Area	215.8	Building Area	115.9	Computer	216.1	Building Area	282	Building Area	365.3	Building Area	216.1	Building Blocks	580.7	Building Area
232	Building Area	199	Computer	183	Computer	530.8	Building Area	314.9	Building Area	83.2	Building Area	763.7	Building Blocks	216.1	Building Area
149.6	Building Area	99.7	Computer	116.3	Building Blocks	331.9	Building Area	99.9	Computer	265.5	Computer	315.7	Building Area	149.6	Building Area
