T1		T2		T3		T4		T5		T6		T7		T8	
365.3	Computer	132.7	Computer	99.6	Computer	149.6	Computer	99.6	Building Blocks	215.9	Computer	99.6	Building Blocks	116.1	Computer
182.3	Computer	99.6	Computer	116.3	Building Blocks	83.1	Building Blocks	232.7	Building Blocks	99.9	Building Blocks	365.1	Building Blocks	132.7	Building Blocks
149.1	Computer	149.5	Building Blocks	232.7	Building Blocks	100	Building Blocks	66.6	Building Blocks	149	Building Blocks	215.5	Building Blocks	132.6	Building Blocks
132.8	Computer	165.8	Building Blocks	199.1	Building Blocks	182.3	Building Blocks	83.2	Building Blocks	132.7	Building Blocks	182.9	Building Blocks	248.9	Building Blocks
199.2	Computer	182.2	Building Blocks	182.4	Building Blocks	348.2	Building Blocks	348.4	Building Blocks	166.2	Computer	232.2	Building Area	199.6	Building Blocks
132.8	Computer	497.7	Building Blocks	182.6	Building Blocks	149.3	Computer	215.6	Building Blocks	199.1	Building Area	215.7	Building Area	132.6	Building Blocks
99.6	Building Blocks	249.3	Building Blocks	249.1	Computer	216	Computer	265.5	Building Blocks	199.1	Building Area	382	Building Area	165.7	Building Blocks
133	Building Blocks	166	Building Blocks	464.8	Building Area	298.3	Building Area	298.9	Building Area	381.6	Building Area	199.3	Computer	83	Building Blocks
199.5	Computer	199.2	Building Area	298.3	Building Area	116.1	Computer	464.5	Building Area	99.4	Computer	132.8	Computer	215.9	Building Blocks
215.8	Computer	199.1	Computer	497.6	Building Area	282.3	Computer	149.3	Computer	265.5	Computer	614.5	Computer	133	Building Blocks
198.7	Computer	116.3	Building Area	182.5	Building Area	282.6	Computer	282	Computer	199.5	Building Area	82.6	Computer	116.1	Building Area
398.1	Computer	480.9	Building Area	83	Computer	314.9	Building Blocks	315.3	Computer	83	Computer	398.3	Building Blocks	132.9	Building Area
364.8	Building Area	149.4	Building Area	414.9	Computer	531.3	Building Blocks	182.5	Building Blocks	248.8	Computer	199	Building Blocks	199.1	Building Area
166.1	Computer	116.3	Building Area	149.4	Building Blocks	215.7	Building Blocks	663.9	Building Blocks	348.7	Computer	232.4	Building Area	99.6	Building Area
398	Computer	282.2	Building Area	265.8	Computer	232.2	Building Blocks	166	Building Area	165.9	Building Blocks	414.8	Building Area	182.7	Building Area
315.2	Computer	381.6	Building Area	249.1	Building Blocks	232.3	Building Area	199.2	Building Area	249.1	Building Blocks	464.5	Building Area	216.1	Building Area
564	Computer	215.6	Building Area	116.1	Building Area	995.7	Building Area	348.6	Building Area	83	Building Area	729.8	Building Area	149.2	Computer
182.6	Computer	165.9	Computer	149.5	Building Area	215.9	Building Area	331.9	Building Area	116.2	Building Area	116.2	Building Area	149.4	Computer
116.1	Building Area	464.3	Computer	116.2	Building Area	99.5	Computer	398.3	Building Area	149.3	Building Area	149.4	Building Area	149.5	Computer
730.4	Building Area	132.9	Computer	381.8	Building Area	165.9	Computer	116.1	Computer	166.1	Building Area	116.2	Computer	332.1	Computer
249.1	Computer	165.9	Computer	232.4	Building Area	348.3	Computer	298.7	Computer	248.8	Building Area	249.2	Computer	166.2	Building Blocks
82.7	Computer	248.6	Computer	232.3	Building Area	99.5	Building Blocks	315.5	Computer	431.1	Building Area	282.6	Computer	696.9	Building Blocks
265.6	Computer	298.9	Building Area	165.9	Building Area	398.4	Building Blocks	182.5	Building Blocks	182.3	Building Area	215.5	Building Blocks	116.2	Building Blocks
613.9	Computer	182.7	Building Blocks	165.7	Building Area	415.1	Building Blocks	149.1	Building Blocks	497.7	Building Area	182.6	Building Blocks	265.6	Building Blocks
414.7	Computer	796.5	Building Blocks	182.8	Building Area	149.8	Building Area	149.4	Building Area	165.9	Building Blocks	464.8	Building Area	83	Building Area
348.8	Building Blocks	282.1	Building Blocks	248.9	Computer	298.9	Building Area	132.9	Building Area	149.4	Building Blocks	149.4	Building Area	863.2	Building Area
978.7	Computer	215.8	Building Blocks	182.7	Computer	498	Building Area	315	Building Area	431.6	Building Blocks	249	Building Area	182.7	Building Blocks
198.9	Building Area	298.8	Building Area	331.8	Building Blocks	382	Building Area	614.4	Building Area	83	Building Blocks	1427.2	Building Area	66.5	Building Blocks
116.3	Building Area	215.9	Building Area	381.9	Building Blocks	830.1	Building Area	498.3	Building Area	248.9	Building Area	614	Building Area	149.4	Building Area
82.7	Building Area	115.7	Building Area	199.6	Building Blocks	265.2	Building Area	829.7	Building Area	713.3	Building Area	331.9	Building Area	564	Building Area
83	Building Area	282.4	Building Area	115.9	Building Blocks	895.9	Building Area	913.1	Building Area	265.6	Building Area	199.1	Building Area	730.1	Building Area
680.5	Building Area	382.2	Building Area	100	Building Area	680.3	Building Area	680.4	Building Area	132.8	Building Area	165.9	Building Area	165.9	Building Area
99.8	Building Area	315.6	Building Area	331.9	Building Area	531	Building Area	464.3	Building Area	563.9	Building Area	896.5	Building Area	480.9	Building Area
215.7	Building Area	182.5	Building Area	232.2	Building Area	165.7	Building Area	215.6	Building Area	165.9	Building Area	1211.5	Building Area	415.1	Computer
99.2	Computer	83.3	Building Area	165.6	Building Area	248.3	Building Area	132.5	Building Area	1128.9	Building Area	265.8	Building Area	149.8	Building Blocks
132.2	Computer	99.6	Computer	663.9	Building Area	713.6	Building Area	813	Building Area	680.3	Building Area	199	Building Area	116.3	Building Blocks
249.3	Computer	132.7	Computer	414.9	Building Area	232.2	Building Area	249	Building Area	730	Building Area	215.8	Building Area	199.1	Building Blocks
215.5	Computer	116.2	Computer	912.8	Building Area	597.7	Building Area	946	Building Area	1427.6	Building Area	298.2	Building Area	182.4	Computer
365.2	Computer	348.5	Computer	166.2	Building Area	165.7	Building Area	813.3	Building Area	580.4	Building Area	265.5	Building Area	564.5	Computer
149.3	Computer	381.7	Computer	182.5	Building Area	647.2	Building Area	464.4	Building Blocks	199.2	Building Blocks	398	Building Area	132.6	Building Area
265.5	Building Blocks	232.1	Building Blocks	647.5	Building Area	282.1	Building Area	896.2	Building Area	381.6	Building Blocks	746.9	Building Area	1576.2	Building Area
166.3	Building Blocks	166.1	Building Blocks	215.5	Building Area	1344	Building Area	133.2	Building Area	946.2	Building Area	133	Building Area	248.5	Building Area
99.5	Computer	232.1	Building Blocks	713.5	Building Area	132.8	Building Area	198.9	Building Area	116.4	Building Area	182.2	Building Area	298.9	Building Area
713.6	Computer	116.2	Building Blocks	647.3	Building Area	232.3	Building Area	249.5	Building Area	249.1	Building Area	315.8	Building Area	282.4	Building Area
133.2	Building Blocks	116.1	Building Blocks	166	Building Area	215.6	Building Area	165.7	Computer	464.8	Building Area	165.7	Building Area	398.5	Building Area
116.3	Building Blocks	580.7	Building Blocks	165.7	Building Area	614.2	Building Area	365.1	Computer	132.8	Computer	99.9	Building Area	846.4	Building Area
182.6	Building Area	282.4	Building Blocks	1078.3	Building Area	166.1	Building Area	597.3	Computer	133.2	Computer	348.4	Building Area	746.6	Building Area
215.5	Building Area	182.2	Computer	182.3	Building Area	746.7	Building Area	182.6	Computer	431.8	Computer	680.6	Building Area	232.5	Building Area
99.7	Computer	66.6	Computer	397.9	Building Area	166	Computer	149.2	Computer	149.3	Computer	182.8	Building Area	2422.8	Building Area
199.2	Computer	116.1	Building Area	448.1	Building Area	116.3	Computer	199	Building Blocks	281.9	Computer	481.4	Building Area	448	Building Blocks
248.5	Building Area	248.9	Building Area	99.2	Computer	182.3	Computer	82.8	Building Blocks	182.6	Computer	630.4	Building Area	232.5	Building Area
132.6	Computer	182.3	Building Area	132.4	Computer	132.6	Computer	298.4	Building Blocks	165.9	Computer	298.6	Building Blocks	431.4	Building Area
464.2	Computer	298.7	Building Area	99	Computer	314.9	Computer	132.5	Building Area	132.7	Building Blocks	165.9	Building Blocks	315	Building Area
182.8	Building Area	564.3	Building Area	215.7	Computer	116.2	Computer	580.9	Building Area	299.1	Building Blocks	165.9	Building Blocks	199.3	Building Area
116.3	Building Area	381.7	Building Area	282.3	Computer	182.6	Building Blocks	82.8	Building Blocks	365.1	Building Area	995.8	Building Area	165.8	Building Area
381.8	Building Area	282.1	Building Area	431.5	Computer	99.7	Building Blocks	431.4	Building Blocks	364.9	Building Area	199.5	Building Area	266	Building Area
1211.1	Building Area	813.2	Building Area	182.4	Building Blocks	397.9	Building Blocks	199.2	Building Area	1427	Building Area	348.4	Building Area	165.9	Computer
697.5	Building Area	332	Building Area	198.9	Building Blocks	149.4	Building Area	116.2	Building Area	248.7	Building Area	82.8	Computer	282.2	Computer
530.8	Building Area	99.2	Building Area	132.9	Building Blocks	663.8	Building Area	580.8	Building Area	332	Building Area	348.5	Computer	332	Computer
414.5	Building Area	232.3	Building Area	282.2	Building Blocks	99.6	Building Blocks	83.5	Computer	182.7	Building Area	249.4	Computer	115.8	Computer
249.1	Building Area	348.5	Building Area	149.5	Building Area	249.1	Building Blocks	447.8	Computer	497.7	Building Area	83.3	Computer	166	Building Blocks
331.7	Building Area	1725.5	Building Area	99.6	Building Area	149.3	Building Area	249	Computer	348.7	Building Area	182.4	Building Blocks	298.7	Building Blocks
365.3	Building Area	414.9	Building Area	165.9	Building Area	149.6	Building Area	99.5	Computer	99.5	Building Area	315.4	Building Blocks	398.6	Building Area
248.6	Building Area	813.2	Building Area	696.6	Building Area	348.6	Building Area	182.4	Building Blocks	232.4	Building Area	912.5	Building Area	165.9	Building Area
1460.2	Building Area	663.6	Building Area	1028.9	Building Area	115.7	Building Area	282	Building Blocks	132.7	Computer	116.2	Building Area	431.9	Building Area
597.7	Building Area	199.5	Building Area	99.7	Building Area	431.1	Building Area	199.4	Building Area	215.7	Computer	182.6	Building Blocks	580.8	Building Area
381.4	Building Area	464.8	Building Area	115.7	Computer	597.5	Computer	166.4	Computer	332.4	Computer	282.1	Building Blocks	116.4	Building Area
382	Building Area	614.2	Building Area	232.3	Computer	216	Computer	298.4	Computer	149.4	Computer	747.4	Building Area	215.9	Building Area
381.4	Building Area	365	Building Area	365.2	Computer	166.2	Computer	215.6	Computer	165.9	Building Blocks	182.6	Building Area	116.3	Building Area
265.6	Building Area	165.6	Building Area	165.8	Computer	149.1	Building Blocks	215.8	Computer	547.3	Building Blocks	116.1	Building Area	863.3	Building Area
265.8	Building Area	182.7	Building Area	132.8	Building Area	365	Building Blocks	199.1	Building Blocks	198.9	Building Blocks	133	Computer	132.9	Computer
149.6	Building Area	265.2	Building Area	249.1	Building Blocks	282.7	Building Area	116	Building Blocks	331.7	Building Area	248.8	Computer	166	Computer
547.7	Building Area	182.6	Computer	597.6	Building Blocks	165.7	Computer	215.7	Building Blocks	133	Computer	282.2	Computer	315.5	Computer
149.3	Building Area	464.7	Computer	332	Building Area	647.1	Computer	580.9	Building Blocks	315.2	Computer	99.4	Computer	215.6	Computer
183.1	Building Area	232.4	Computer	115.7	Computer	116.3	Computer	232.4	Computer	199	Computer	763.4	Building Blocks	132.7	Computer
133	Building Area	149.5	Computer	414.4	Computer	132.7	Building Blocks	116.1	Building Area	149.2	Computer	215.5	Building Area	83	Computer
282	Building Area	298.4	Building Blocks	199.1	Computer	298.6	Building Blocks	780.2	Building Area	515.1	Building Blocks	149.2	Computer	198.8	Building Blocks
431.2	Building Area	149.4	Building Blocks	132.8	Computer	149.1	Building Blocks	132.5	Computer	82.9	Building Blocks	331.9	Computer	232.2	Building Blocks
315.3	Computer	149.2	Building Blocks	132.7	Building Blocks	232.4	Computer	116.3	Computer	381.7	Building Area	215.9	Computer	265.6	Building Area
332	Computer	182.6	Building Blocks	249	Building Blocks	182.3	Building Area	265.5	Computer	132.6	Computer	116.5	Computer	166	Building Area
182.5	Computer	116.1	Building Blocks	115.9	Building Blocks	365.5	Building Area	99.5	Computer	481.2	Computer	630.6	Building Blocks	199.3	Computer
531.2	Computer	331.8	Building Area	415.3	Building Blocks	116.3	Computer	132.3	Computer	132.8	Computer	149.5	Building Blocks	663.5	Computer
332.2	Computer	1692.4	Building Area	216.2	Building Area	232.1	Computer	182.5	Building Area	99.3	Computer	232.4	Building Blocks	100	Computer
165.9	Computer	1294.5	Building Area	266	Building Area	182.7	Building Blocks	979.5	Building Area	1128.9	Building Area	481.1	Building Blocks	232.2	Building Blocks
282.3	Building Blocks	133.1	Computer	315.3	Building Area	99.8	Computer	282.1	Building Area	414.7	Building Area	165.7	Building Area	166	Building Blocks
