T1		T2		T3		T4		T5		T6		T7		T8	
531	Computer	132.4	Computer	265.5	Building Blocks	597.4	Building Blocks	514.6	Building Blocks	531	Building Blocks	149.8	Building Blocks	182.6	Building Blocks
182.3	Computer	265.3	Building Blocks	183.1	Building Blocks	199.4	Building Blocks	182.4	Building Blocks	149.4	Building Blocks	265.4	Building Blocks	597	Building Blocks
414.9	Computer	165.9	Building Blocks	398.3	Building Blocks	149.5	Building Area	82.7	Building Blocks	447.5	Building Blocks	100.2	Building Blocks	182.4	Building Blocks
182.2	Building Blocks	199.2	Building Blocks	265.3	Building Blocks	232.4	Building Area	149.2	Building Blocks	182.5	Building Blocks	530.7	Building Blocks	149.3	Building Area
265.6	Building Blocks	149.4	Building Blocks	149.9	Building Blocks	282.2	Building Area	431.8	Building Area	132.6	Building Area	166	Building Blocks	713.9	Building Area
1112.2	Computer	183	Building Blocks	1559.6	Building Blocks	315.6	Building Area	165.7	Building Blocks	232.6	Building Area	680.2	Building Blocks	99.5	Building Blocks
497.5	Computer	149.2	Building Area	116.5	Building Blocks	215.6	Building Area	846.2	Building Blocks	199.6	Building Blocks	265.8	Building Blocks	116	Building Blocks
265.1	Computer	348.4	Building Area	630.6	Building Blocks	298.5	Building Area	381.5	Building Area	82.7	Building Blocks	331.8	Building Area	564.5	Building Blocks
182.1	Building Area	215.2	Building Area	282.1	Building Blocks	115.9	Computer	132.9	Computer	481.4	Building Blocks	365.1	Building Area	99.5	Building Blocks
365.5	Building Area	99.8	Computer	232.4	Building Blocks	282.1	Building Area	166.1	Computer	116.1	Building Blocks	115.8	Building Blocks	796.4	Building Area
248.8	Building Area	132.7	Computer	82.8	Building Area	232.3	Building Area	348.3	Computer	165.9	Building Blocks	348.4	Building Blocks	381.9	Building Area
265.9	Building Area	448	Computer	166.3	Building Area	149.3	Building Blocks	779.7	Computer	332	Building Area	614.6	Building Blocks	1161.2	Building Area
83	Building Area	199.1	Building Blocks	166.3	Computer	99.6	Computer	83.3	Computer	763.4	Building Area	116.2	Building Area	232.4	Building Blocks
82.7	Building Area	481.3	Building Blocks	298.7	Computer	116.1	Computer	165.8	Building Blocks	166	Computer	298.2	Building Blocks	431.5	Building Blocks
116.1	Computer	232.8	Building Area	166.2	Computer	165.9	Computer	232	Building Blocks	249.4	Building Area	116.1	Building Blocks	248.9	Building Area
132.8	Computer	580.5	Building Area	265.6	Computer	348.3	Computer	431.5	Building Blocks	166.2	Building Area	165.9	Building Blocks	547.6	Building Area
