T1		T2		T3		T4		T5		T6		T7		T8	
298.7	Computer	199.3	Building Blocks	83.1	Building Blocks	116.2	Computer	132.9	Building Blocks	99.7	Computer	232.4	Building Blocks	83.2	Building Blocks
381.7	Computer	149.6	Building Blocks	365.1	Computer	232.5	Building Blocks	183	Building Blocks	132.9	Computer	249.3	Building Blocks	149.3	Building Blocks
381.9	Computer	249.1	Building Blocks	232.4	Building Blocks	730.7	Building Blocks	199.3	Building Blocks	199.1	Computer	232.3	Building Blocks	281.5	Building Blocks
166.4	Computer	697.4	Building Area	315.3	Building Blocks	116.5	Building Blocks	198.9	Building Blocks	315.1	Building Blocks	431.4	Building Blocks	149.4	Building Blocks
115.9	Computer	232.3	Building Blocks	298.8	Building Blocks	215.5	Building Blocks	165.9	Building Blocks	348.1	Building Blocks	398.1	Building Area	182.6	Building Blocks
415.2	Computer	82.3	Building Blocks	99.9	Building Area	149.1	Building Area	82.8	Building Blocks	132.8	Building Blocks	182.6	Building Blocks	83	Building Blocks
99.6	Building Blocks	116.4	Computer	149.8	Building Area	66.1	Building Blocks	231.9	Building Area	630.6	Building Blocks	398.3	Building Blocks	83	Building Blocks
149.4	Building Blocks	348.2	Computer	315.6	Building Area	165.9	Building Blocks	796.5	Building Blocks	182.4	Building Blocks	249.1	Building Blocks	165.9	Building Blocks
149.1	Building Blocks	99.4	Computer	132.6	Building Area	82.8	Building Blocks	314.9	Building Area	83	Building Blocks	315.4	Building Blocks	166.1	Building Area
116.2	Computer	531	Building Blocks	132.7	Computer	298.6	Building Blocks	580.9	Building Area	99.5	Building Blocks	149.3	Building Area	215.6	Building Area
82.8	Computer	215.9	Building Area	149.3	Computer	166.1	Building Area	116.3	Building Area	149.7	Building Blocks	133.2	Building Area	232.4	Building Area
497.6	Computer	198.9	Building Area	83	Computer	83.3	Building Area	298.5	Building Area	248.8	Building Area	365	Building Area	182.3	Building Area
779.7	Computer	99.7	Building Area	564.4	Computer	99.5	Building Blocks	182.4	Building Area	265.5	Building Blocks	149.3	Building Blocks	116.1	Building Area
464.8	Computer	265.7	Building Area	531.6	Computer	165.8	Building Blocks	199.1	Building Area	630.5	Building Blocks	99.6	Building Blocks	116	Building Area
165.6	Computer	199.4	Computer	132.7	Building Blocks	331.9	Building Blocks	132.5	Building Area	564.4	Building Area	82.6	Building Blocks	282.1	Building Blocks
182.7	Computer	448.2	Computer	464.5	Building Blocks	248.8	Building Blocks	282	Building Blocks	481.3	Building Blocks	215.9	Building Blocks	182.7	Building Blocks
132.6	Computer	149.4	Computer	149.2	Building Area	166.5	Building Blocks	116.6	Building Blocks	149.2	Building Blocks	232.4	Building Blocks	116.4	Building Area
248.6	Computer	132.7	Computer	348.3	Building Area	116.1	Building Area	132.9	Building Blocks	364.8	Building Blocks	199	Building Blocks	912.6	Building Area
282	Computer	82.9	Computer	232.3	Building Area	265.1	Building Area	248.7	Building Blocks	248.9	Building Area	116	Building Blocks	348.1	Building Area
182.8	Computer	116.2	Computer	364.8	Building Area	1410.6	Building Area	166	Building Area	1726.2	Building Area	182.6	Building Area	132.8	Building Area
