T1		T2		T3		T4		T5		T6		T7		T8	
713.7	Building Blocks	132.8	Building Area	614	Building Area	232.2	Building Blocks	182.6	Building Blocks	182.3	Building Area	99.5	Building Blocks	448.3	Building Blocks
813.2	Building Area	199.1	Building Blocks	116.2	Building Blocks	199.1	Building Blocks	298.6	Building Blocks	116.3	Building Blocks	232.4	Building Blocks	166.2	Building Area
198.9	Computer	348.6	Building Area	282.1	Building Blocks	464.8	Building Blocks	1112	Building Area	83	Building Area	116.1	Building Blocks	132.9	Building Area
182.6	Computer	580.8	Building Area	331.9	Building Area	83	Building Blocks	730.4	Building Area	249	Building Blocks	215.7	Building Blocks	99.7	Building Area
99.5	Computer	166	Building Area	149.5	Building Blocks	232.3	Building Area	83.2	Building Area	829.8	Building Area	464.6	Building Blocks	215.3	Building Blocks
347.9	Computer	149.2	Building Area	132.6	Building Blocks	99.6	Building Blocks	99.5	Building Blocks	182.8	Building Area	99.6	Building Area	580.8	Building Area
265.5	Computer	1145	Building Area	265.6	Building Area	149.4	Building Blocks	365.1	Building Blocks	298.8	Building Area	99.8	Building Area	1493.7	Building Area
182.7	Building Area	83	Building Blocks	530.9	Building Area	580.8	Building Area	182.4	Building Area	497.9	Building Area	99.3	Building Blocks	99.7	Building Blocks
149.4	Building Area	580.9	Building Blocks	282	Building Area	232.4	Building Area	116.3	Building Blocks	282	Building Blocks	182.5	Building Blocks	448.1	Building Blocks
165.9	Building Area	149.4	Building Area	580.7	Building Area	166	Building Area	116.1	Building Blocks	381.9	Building Area	99.4	Building Area	182.7	Building Area
83	Building Blocks	83	Building Area	182.5	Building Blocks	730.2	Building Area	282.1	Building Area	315.3	Building Blocks	912.7	Building Area	148.9	Building Blocks
99.6	Building Blocks	232.3	Building Blocks	182.5	Building Blocks	83	Building Blocks	116.2	Building Area	166	Building Area	729.2	Building Area	149.2	Building Blocks
215.9	Building Blocks	132.6	Building Area	82.9	Building Area	448.1	Building Blocks	531.1	Building Area	713.4	Building Area	398.1	Building Blocks	1095.6	Building Area
