T1		T2		T3		T4		T5		T6		T7		T8	
298.8	Computer	232.3	Computer	83.2	Computer	215.9	Computer	82.7	Computer	82.8	Computer	82.6	Computer	249	Building Blocks
348.6	Computer	215.8	Computer	199	Computer	99.6	Building Blocks	116.5	Building Blocks	116.3	Building Blocks	431.5	Building Blocks	265.7	Building Blocks
199	Computer	315.2	Computer	99.6	Computer	116.1	Building Blocks	99.5	Building Blocks	232.5	Building Blocks	149.5	Building Blocks	331.8	Building Blocks
364.8	Computer	165.7	Building Blocks	149.5	Building Blocks	381.7	Building Blocks	165.8	Building Blocks	398.4	Building Blocks	630.8	Building Blocks	132.7	Computer
182.2	Computer	265.3	Building Blocks	149.4	Building Blocks	464.5	Building Blocks	465	Building Blocks	199.2	Building Blocks	232.1	Computer	149.6	Computer
166.1	Computer	282.2	Building Blocks	165.8	Building Blocks	99.3	Computer	116.2	Computer	99.5	Building Blocks	82.7	Computer	464.8	Building Area
116.3	Building Blocks	199.2	Building Blocks	381.3	Building Blocks	116.1	Computer	149.3	Computer	199.1	Computer	132.6	Building Area	182.8	Building Area
115.9	Building Blocks	199.6	Building Blocks	265.4	Building Blocks	299.1	Building Area	149.6	Building Area	116.2	Computer	232.5	Building Area	298.9	Computer
116.1	Building Blocks	348.6	Building Blocks	232.3	Computer	166.1	Building Area	232.1	Building Area	116.1	Computer	116.5	Building Area	348.4	Computer
82.7	Building Blocks	83.1	Building Blocks	431.5	Building Area	348.4	Computer	99.6	Building Area	282	Building Area	116.2	Computer	166	Building Blocks
82.8	Computer	448.2	Computer	348.7	Building Area	83	Computer	132.8	Building Area	248.9	Building Area	149.4	Computer	182.6	Building Blocks
165.5	Computer	232.3	Computer	464.6	Building Area	315.4	Computer	149.4	Computer	182.5	Computer	199.7	Computer	116.4	Building Blocks
680.4	Building Blocks	82.6	Computer	182.7	Building Area	116.2	Building Blocks	166.3	Computer	166.2	Computer	115.9	Computer	315.2	Building Blocks
265.2	Computer	282.2	Building Area	281.8	Computer	82.8	Building Blocks	265.5	Computer	132.6	Computer	132.8	Building Blocks	862.8	Building Blocks
165.6	Computer	133.1	Computer	149.3	Computer	431.4	Building Blocks	215.9	Computer	249	Computer	149.2	Building Blocks	149.5	Computer
133.1	Computer	398.2	Computer	464.3	Computer	265.8	Computer	116.2	Building Blocks	116.2	Building Blocks	82.9	Building Blocks	348.3	Building Area
99.4	Computer	116.3	Building Blocks	166.1	Building Blocks	199.5	Building Area	99.4	Building Blocks	132.7	Building Blocks	431.3	Building Blocks	265.6	Building Area
99.6	Computer	581	Building Blocks	149.3	Building Blocks	199.2	Building Blocks	249.1	Building Blocks	199.1	Building Blocks	331.9	Building Blocks	132.9	Building Area
498	Computer	249	Building Blocks	99.6	Building Blocks	232.1	Building Blocks	199.1	Computer	348.6	Building Blocks	99.5	Computer	82.9	Computer
132.6	Computer	232.4	Building Blocks	232.3	Building Blocks	199.2	Building Blocks	83	Computer	99.8	Building Area	232.4	Computer	149.1	Computer
232.3	Computer	248.9	Building Blocks	232.3	Computer	198.8	Computer	83.2	Building Area	381.7	Building Blocks	166.5	Building Blocks	265.3	Building Blocks
215.5	Computer	232.3	Building Blocks	99.8	Computer	149.2	Building Area	166	Building Area	99.4	Building Blocks	431.4	Building Area	929.4	Building Blocks
