T1		T2		T3		T4		T5		T6		T7		T8	
547.5	Computer	99.5	Computer	66.7	Computer	115.7	Computer	83.2	Computer	99.9	Computer	83	Computer	165.6	Building Blocks
232.5	Computer	149.3	Computer	298.8	Building Blocks	82.7	Building Blocks	149.3	Building Blocks	182.8	Building Blocks	149.4	Building Blocks	115.7	Building Blocks
248.8	Computer	149.5	Computer	215.2	Building Blocks	149.1	Building Blocks	116	Building Blocks	149.9	Building Blocks	846.3	Building Blocks	846.6	Building Blocks
116.3	Computer	116.2	Computer	215.8	Building Blocks	149.1	Building Blocks	614.5	Building Blocks	282.2	Building Blocks	116.6	Computer	248.6	Computer
132.3	Building Blocks	116.1	Building Blocks	149.4	Building Blocks	431.3	Building Blocks	166.4	Computer	182.5	Building Blocks	99.5	Computer	165.8	Building Area
199.2	Building Blocks	99.9	Building Blocks	497.9	Building Blocks	365.1	Building Blocks	132.8	Building Blocks	232.7	Building Blocks	414.9	Building Area	298.4	Building Area
83	Building Blocks	199	Building Blocks	149.4	Computer	216	Building Blocks	182.8	Building Blocks	298.6	Building Blocks	365	Building Area	99.3	Computer
116.2	Building Blocks	215.3	Building Blocks	182.8	Computer	199.4	Building Blocks	82.8	Building Blocks	248.6	Building Blocks	132.7	Building Area	132.8	Computer
99.6	Building Blocks	132.5	Building Blocks	165.7	Building Blocks	99.9	Computer	216	Building Blocks	182.5	Computer	332	Building Area	281.9	Computer
381.7	Computer	99.6	Computer	663.5	Building Blocks	265.3	Computer	99.5	Building Blocks	215.9	Computer	547.6	Building Area	82.9	Computer
215.7	Computer	149.5	Computer	83.2	Building Blocks	99.7	Computer	99.8	Building Blocks	99.4	Building Area	282.1	Computer	132.8	Building Blocks
116.2	Computer	232.3	Computer	614.1	Building Area	232	Building Area	232	Building Area	215.8	Building Area	448	Computer	614.1	Building Blocks
99.5	Computer	298.3	Computer	100	Building Area	331.8	Building Area	83	Building Area	215.6	Building Area	331.9	Building Blocks	166.2	Computer
249.2	Computer	132.7	Building Blocks	315	Building Area	149.7	Building Area	83	Building Area	248.4	Building Blocks	166	Building Blocks	148.8	Building Blocks
116.3	Computer	149.2	Building Blocks	298.1	Computer	298.5	Building Area	331.8	Computer	232.5	Building Blocks	149.2	Computer	199.3	Building Blocks
83.1	Building Blocks	348.8	Computer	548.2	Building Blocks	481.3	Building Area	99.5	Building Blocks	116.6	Computer	132.9	Computer	315.4	Computer
198.7	Building Blocks	132.8	Building Area	116.1	Building Blocks	182.3	Building Area	99.6	Building Blocks	232.4	Computer	132.8	Building Blocks	149.2	Building Area
66.5	Building Blocks	149.4	Building Area	83	Computer	281.9	Building Area	265.4	Building Blocks	116.1	Building Blocks	115.7	Building Blocks	265.7	Building Area
199.4	Computer	165.9	Computer	232.1	Computer	115.7	Building Area	165.6	Computer	182.6	Building Blocks	215.8	Computer	365.1	Building Area
116.5	Building Area	82.9	Computer	198.9	Building Blocks	199.5	Building Area	398.5	Building Blocks	183.1	Building Blocks	82.8	Computer	580.9	Building Area
149	Building Area	166	Building Area	133	Building Blocks	99.5	Computer	215.9	Computer	99.4	Computer	581.2	Building Area	199.4	Building Area
132.6	Building Area	216.3	Building Area	99.2	Building Blocks	216	Computer	265.4	Building Area	148.9	Computer	115.9	Building Area	165.5	Computer
116.2	Computer	564.4	Building Area	199.2	Building Blocks	348.4	Computer	813.6	Building Area	182.1	Building Blocks	132.6	Computer	232.2	Building Area
132.7	Computer	116.2	Computer	165.9	Computer	82.9	Building Blocks	116.3	Building Area	116.3	Building Blocks	199	Computer	83	Building Area
331.9	Building Area	248.8	Computer	99.2	Computer	149.4	Building Blocks	199.2	Building Area	99.1	Computer	149.5	Computer	879.8	Building Blocks
116.1	Building Area	480.7	Computer	447.9	Building Blocks	199.1	Building Blocks	82.9	Building Blocks	497.8	Building Blocks	132.4	Building Area	315.2	Computer
149.4	Building Area	248.9	Computer	99.6	Building Area	248.9	Computer	381.7	Building Blocks	182.4	Building Area	82.9	Computer	82.8	Computer
182.7	Building Area	116	Building Blocks	299	Building Area	132.7	Computer	116.8	Computer	116.3	Computer	99.6	Computer	730.2	Computer
116.3	Computer	166.4	Building Blocks	348.7	Building Area	99.7	Building Blocks	464.7	Computer	331.5	Building Area	697.5	Building Blocks	215.6	Computer
248.9	Computer	116.3	Building Blocks	265.5	Building Area	166	Building Blocks	265.5	Computer	166.4	Building Area	116.1	Computer	215.7	Building Area
182.6	Computer	265.7	Computer	331.7	Building Area	133	Building Blocks	198.9	Computer	281.9	Building Area	99.8	Computer	82.9	Building Area
83.2	Computer	99.5	Building Blocks	199.1	Building Area	99.6	Building Blocks	133.1	Building Area	165.8	Building Area	315.5	Building Blocks	132.7	Building Area
149.3	Computer	99.6	Building Blocks	132.8	Building Area	331.9	Computer	481.1	Building Area	248.8	Building Area	99.5	Building Area	1460.1	Building Area
132.6	Computer	547.7	Building Blocks	116	Computer	680.7	Building Area	66.2	Building Area	116.2	Computer	132.6	Building Area	846.4	Building Area
265.8	Computer	132.8	Computer	99.5	Computer	680.1	Building Area	1460.1	Building Area	215.8	Computer	232	Building Area	1261.3	Building Area
331.8	Computer	132.7	Computer	514.4	Computer	431.3	Building Area	116.6	Building Area	796.3	Building Blocks	1012.6	Building Area	630.5	Building Area
116	Computer	265.5	Building Blocks	199	Computer	448	Building Area	845.9	Building Area	99.8	Computer	83	Building Area	564.3	Building Area
149.2	Building Blocks	315.3	Building Blocks	133.2	Building Blocks	331.9	Building Area	432	Building Area	299	Computer	248.9	Computer	514.6	Building Area
182.8	Building Blocks	348.6	Building Blocks	249.1	Building Blocks	249	Building Area	547.7	Building Area	1527	Building Area	116.1	Computer	99.6	Building Area
132.9	Building Blocks	149.2	Building Area	281.9	Building Blocks	149.3	Building Area	896.3	Building Area	1792.3	Building Area	381.8	Building Area	597.6	Building Area
82.5	Computer	99.4	Building Area	415.1	Computer	199.1	Computer	116	Building Area	465	Building Area	1742.6	Building Area	165.9	Building Area
116.2	Computer	149.3	Building Area	299	Building Area	183	Computer	149.6	Computer	348.8	Building Area	282.2	Building Area	298.7	Building Area
315.1	Building Blocks	165.8	Building Area	198.7	Building Area	232.3	Computer	182.6	Building Area	1062.2	Building Area	481.2	Building Area	100	Building Area
713.6	Building Blocks	99.7	Computer	133.1	Building Area	398.3	Computer	1078.7	Building Area	1078.6	Building Area	962.7	Building Area	282.1	Computer
215.7	Computer	215.8	Computer	448.1	Building Area	116	Computer	381.6	Building Area	248.7	Building Area	1393.8	Building Area	232.2	Computer
332.2	Computer	249	Computer	281.8	Building Area	99.3	Building Blocks	149.3	Building Area	464.1	Building Area	82.9	Building Area	99.5	Computer
116.1	Building Area	149.3	Building Area	116.2	Building Area	166	Building Blocks	116.1	Computer	348.5	Building Area	182.5	Computer	82.8	Building Blocks
149.5	Building Area	182.6	Building Area	730.8	Building Area	249.3	Building Blocks	282.2	Computer	265.5	Building Area	99.5	Computer	149.5	Building Blocks
99.4	Computer	198.8	Building Area	1825.2	Building Area	198.7	Building Blocks	132.8	Computer	581.2	Building Area	348.5	Building Area	83	Building Blocks
166	Computer	149.1	Building Area	1642.8	Building Area	564.2	Building Blocks	66.6	Building Blocks	1177.8	Building Area	1145.3	Building Area	166.1	Building Blocks
83	Computer	381.6	Building Area	696.9	Building Area	249.3	Computer	99.7	Building Blocks	481.3	Building Area	165.7	Building Area	99.6	Building Blocks
298.9	Building Area	365.1	Building Area	132.8	Building Area	133.2	Computer	149.4	Building Blocks	332.1	Building Area	381.7	Building Area	630.5	Building Blocks
265.2	Building Area	99.5	Computer	995.6	Building Area	116.6	Building Blocks	83	Building Blocks	348.6	Building Area	149.4	Building Area	66.5	Computer
182.5	Building Area	282.2	Computer	664	Building Area	547.7	Building Area	83	Building Blocks	132.8	Computer	232.1	Building Area	99.7	Computer
133	Building Area	580.7	Computer	215.4	Building Area	199.2	Building Area	165.9	Building Blocks	66.6	Computer	116.4	Computer	298.3	Building Blocks
331.5	Building Area	232.2	Building Blocks	248.7	Building Area	2073.9	Building Area	182.6	Building Blocks	82.8	Computer	348.3	Computer	115.8	Computer
199.3	Building Area	199.3	Building Blocks	182.6	Building Area	116.2	Building Area	149.5	Building Blocks	116.2	Building Blocks	83	Computer	746.8	Building Area
248.7	Building Area	331.8	Building Blocks	381.8	Computer	232.4	Building Area	199.6	Computer	215.8	Computer	165.6	Building Blocks	265.5	Building Area
132.1	Building Area	265.2	Computer	199	Building Area	1211.5	Building Area	115.9	Computer	116.2	Computer	82.8	Building Blocks	165.9	Building Area
149.3	Computer	116	Computer	497.4	Building Area	846.8	Building Area	265.8	Building Area	149.4	Building Blocks	182.5	Building Blocks	199.1	Building Area
149.3	Computer	382	Building Area	398.2	Building Area	315.3	Building Area	198.9	Building Area	132.8	Building Blocks	132.7	Building Blocks	249.1	Building Area
198.9	Computer	564.8	Building Area	348.5	Building Area	249	Building Area	199.4	Building Area	149.4	Building Blocks	149.4	Building Blocks	348.6	Building Area
