T1		T2		T3		T4		T5		T6		T7		T8	
332.1	Computer	249.1	Computer	82.9	Computer	82.8	Computer	99.5	Building Blocks	232.1	Computer	83.1	Computer	83.3	Building Blocks
282.3	Computer	149.2	Building Blocks	149.2	Computer	149.8	Building Blocks	116	Building Blocks	298.7	Building Blocks	99.6	Building Blocks	199.1	Building Blocks
115.6	Computer	165.9	Building Blocks	133	Building Blocks	165.9	Building Blocks	199	Building Blocks	365	Building Blocks	99.3	Building Blocks	381.7	Building Blocks
132.7	Computer	182.6	Building Blocks	298.6	Building Blocks	448.3	Building Blocks	132.8	Building Blocks	282.1	Building Blocks	531.1	Building Blocks	198.9	Computer
232.4	Computer	132.9	Building Blocks	315.4	Building Blocks	182.6	Computer	381.5	Building Blocks	133	Building Area	82.8	Computer	381.8	Building Area
216.1	Computer	215.3	Building Blocks	564.2	Building Blocks	182.6	Computer	697	Building Blocks	663.7	Building Area	265.5	Building Area	182.4	Building Area
99.5	Computer	132.8	Building Blocks	580.9	Building Blocks	398.2	Building Area	199.2	Computer	182.8	Building Area	166.1	Computer	116	Computer
182.5	Building Blocks	298.7	Computer	116.2	Building Blocks	497.6	Building Area	298.8	Building Area	132.5	Computer	132.6	Computer	215.8	Computer
149.3	Building Blocks	149.3	Computer	298.7	Computer	116.1	Building Area	99.4	Computer	149.5	Computer	165.7	Computer	215.7	Computer
215.3	Building Blocks	265.6	Building Area	166	Building Area	132.8	Building Area	282.5	Computer	116.1	Computer	447.8	Computer	249.2	Building Blocks
132.8	Building Blocks	564.1	Building Area	249.1	Building Area	215.4	Computer	331.9	Computer	116.2	Computer	166.1	Building Blocks	448.2	Building Blocks
183.2	Building Blocks	165.9	Computer	149.5	Building Area	331.8	Computer	83	Building Blocks	166	Computer	165.7	Building Blocks	215.7	Building Blocks
149.4	Building Blocks	99.8	Computer	99.5	Building Area	149.4	Computer	182.5	Building Blocks	99.3	Building Area	116	Building Blocks	414.8	Building Blocks
530.9	Building Blocks	149.1	Computer	132.7	Computer	381.2	Computer	165.6	Building Blocks	215.6	Building Blocks	232.2	Building Blocks	82.8	Computer
132.9	Computer	381.8	Computer	116.1	Computer	182.6	Computer	132.9	Building Blocks	232.4	Computer	232.3	Building Blocks	182.6	Computer
547.6	Building Blocks	215.5	Computer	116.3	Computer	82.5	Building Blocks	680.6	Building Blocks	149.4	Building Blocks	265.4	Building Blocks	182.7	Building Area
82.8	Computer	116.1	Building Area	199.1	Computer	132.8	Building Blocks	315.3	Building Blocks	116.2	Building Blocks	132.8	Computer	116.1	Building Area
166.1	Computer	82.7	Building Area	199.1	Computer	132.6	Building Blocks	365.1	Computer	166.1	Building Blocks	116.2	Building Area	182.4	Building Area
232.2	Computer	83	Building Blocks	99.2	Building Blocks	149.7	Building Blocks	166	Building Area	215.6	Building Blocks	99.6	Building Area	99.5	Computer
348	Building Area	99.7	Building Blocks	99.5	Building Blocks	232.2	Building Blocks	414.9	Building Area	381.7	Building Blocks	199.1	Building Area	182.4	Computer
83.3	Building Area	182.4	Building Blocks	298.4	Building Blocks	166	Building Blocks	149.3	Building Area	647.2	Building Blocks	100	Computer	381.7	Computer
82.7	Computer	381.8	Building Blocks	431.6	Building Blocks	182.8	Computer	132.9	Computer	99.7	Computer	166.1	Computer	99.7	Building Blocks
166	Computer	166	Building Blocks	514.4	Building Blocks	265.5	Building Area	232.2	Computer	132.9	Computer	149.1	Computer	331.6	Building Blocks
82.9	Building Area	282.2	Building Blocks	99.8	Computer	165.9	Building Area	182.5	Computer	83.5	Building Area	315.3	Computer	298.6	Building Blocks
879.6	Building Area	149.5	Building Blocks	116.2	Computer	282	Computer	315.5	Computer	182.5	Building Area	99.8	Building Blocks	1427.2	Building Blocks
