T1		T2		T3		T4		T5		T6		T7		T8	
166.1	Computer	149.3	Computer	82.9	Computer	82.9	Computer	182.4	Building Blocks	83.2	Computer	183	Building Blocks	481.3	Building Blocks
265.5	Computer	99.4	Computer	99.4	Building Blocks	149.2	Building Blocks	99.6	Building Blocks	82.8	Computer	116.3	Building Blocks	83	Building Blocks
232.6	Computer	99.7	Building Blocks	166	Building Blocks	133	Building Blocks	232.7	Building Blocks	132.6	Building Blocks	149.3	Building Blocks	99.4	Computer
116.1	Computer	83	Building Blocks	215.6	Building Blocks	82.9	Building Blocks	215.6	Building Blocks	99.7	Building Blocks	199.2	Building Blocks	132.9	Computer
198.9	Computer	281.8	Building Blocks	132.8	Building Blocks	248.9	Building Blocks	116.1	Building Blocks	116.3	Building Blocks	198.7	Building Blocks	82.7	Building Area
199.5	Building Blocks	232.2	Building Blocks	332.2	Computer	763.7	Building Blocks	398.4	Computer	348.9	Building Blocks	132.2	Building Blocks	299.1	Building Area
199.3	Building Blocks	182.4	Building Blocks	182.3	Building Area	281.6	Computer	397.9	Building Area	166	Computer	149.6	Building Blocks	132.8	Computer
332	Building Blocks	149.8	Building Blocks	182.5	Building Area	448.1	Building Area	149.3	Computer	132.7	Computer	248.7	Computer	99.6	Computer
315.5	Building Blocks	182.4	Building Blocks	149.7	Building Area	298.7	Building Area	103.2	Computer	215.7	Building Area	133.1	Building Area	248.8	Building Blocks
199.4	Computer	99.3	Building Blocks	133.1	Computer	166.1	Building Area	282.7	Computer	182.6	Building Area	149.4	Building Area	149.3	Computer
447.9	Computer	166.1	Computer	182.3	Computer	215.6	Computer	99.2	Building Blocks	132.7	Building Area	249.2	Building Area	149.3	Building Blocks
199	Computer	232.4	Computer	265.5	Computer	166.1	Computer	116.1	Building Blocks	166	Computer	215.9	Computer	149.3	Building Blocks
149.4	Computer	232.7	Building Area	199.1	Building Blocks	148.9	Computer	149.2	Building Blocks	564.6	Computer	314.9	Building Blocks	116.4	Building Blocks
149.2	Building Blocks	282.4	Building Area	315	Building Blocks	248.7	Building Area	132.7	Building Blocks	99.7	Building Blocks	149.4	Computer	132.6	Building Blocks
149.6	Building Blocks	165.8	Building Area	116.4	Building Blocks	132.8	Building Blocks	165.8	Building Blocks	132.6	Building Blocks	82.9	Computer	348.4	Building Blocks
382.2	Computer	281.9	Building Area	99.6	Building Blocks	83	Building Blocks	746.8	Building Blocks	82.9	Building Blocks	166.1	Building Blocks	166.3	Computer
165.8	Computer	99.4	Computer	216	Building Blocks	99.3	Computer	116.5	Computer	265.3	Building Blocks	132.7	Building Blocks	116.3	Building Blocks
116.4	Computer	116.1	Computer	149.3	Building Blocks	132.3	Computer	116.2	Building Area	265.6	Computer	182.6	Building Blocks	846.9	Building Area
100	Computer	249	Computer	182.2	Building Blocks	83	Building Area	464.7	Building Area	99.6	Building Blocks	149.4	Building Blocks	481.7	Building Area
99.5	Building Area	182.7	Computer	149.4	Building Blocks	265.8	Computer	630.7	Building Area	265.7	Building Blocks	331.4	Building Blocks	398.4	Building Area
796.6	Building Area	132.9	Building Blocks	199.5	Building Blocks	166.2	Computer	182.5	Building Area	1078.5	Computer	132.6	Computer	315.2	Building Blocks
431.3	Building Area	199.2	Building Blocks	116.1	Building Blocks	149.2	Building Blocks	149.3	Computer	199.1	Computer	680.8	Building Area	215.9	Computer
132.9	Building Area	116.1	Building Blocks	83.2	Building Blocks	199	Building Blocks	282.2	Computer	149.5	Building Area	116.4	Building Area	215.7	Computer
249	Building Area	166.2	Building Blocks	82.8	Building Blocks	348.5	Building Blocks	166.3	Building Blocks	315.5	Building Area	132.6	Building Area	348.5	Computer
132.8	Computer	199.2	Computer	232.4	Computer	249	Building Blocks	498.2	Building Blocks	149.5	Building Area	99.5	Building Area	132.9	Building Area
83.4	Computer	99.7	Computer	99.5	Computer	149.8	Computer	348.8	Computer	166	Building Area	232.5	Building Area	182.1	Building Area
149.4	Computer	148.8	Building Blocks	149.3	Building Blocks	581.1	Building Area	248.8	Building Blocks	580.9	Building Area	265.5	Building Area	315.3	Building Area
182.5	Computer	348.1	Building Blocks	215.7	Building Blocks	995.6	Building Area	182.3	Computer	199.2	Computer	115.7	Computer	829.7	Building Area
265.6	Computer	431.3	Building Blocks	215.7	Computer	99.6	Computer	115.9	Building Area	465	Computer	82.9	Computer	199.4	Building Area
248.7	Computer	132.7	Building Area	348.5	Building Area	99.5	Computer	580.8	Building Area	132.2	Computer	415	Computer	1095.5	Building Area
215.8	Computer	99.3	Building Area	116.6	Building Area	481.4	Computer	796.7	Building Area	99.5	Building Blocks	83	Building Blocks	116.2	Building Area
66.4	Computer	481.7	Building Area	166	Building Area	132.5	Building Area	182.5	Building Area	215.7	Building Blocks	149.5	Building Blocks	331.9	Building Area
83	Building Area	282.5	Computer	182.7	Building Area	82.7	Building Blocks	182.7	Building Area	531.1	Building Blocks	365.2	Building Blocks	398.7	Building Area
232.4	Building Area	116.2	Computer	481.3	Building Area	381.8	Building Blocks	332.1	Building Area	431.2	Computer	99.8	Building Area	298.9	Building Area
