T1		T2		T3		T4		T5		T6		T7		T8	
149.4	Computer	149.5	Building Blocks	132.6	Computer	249.4	Computer	182.5	Computer	182.7	Computer	148.8	Computer	150	Computer
149.4	Computer	99.4	Building Blocks	83.1	Building Blocks	132.7	Building Blocks	99.2	Building Blocks	83.1	Building Blocks	199.1	Building Blocks	132.8	Building Blocks
165.8	Computer	99.4	Computer	116.2	Building Blocks	198.8	Building Blocks	365.2	Building Blocks	116.4	Building Blocks	265.5	Building Blocks	414.9	Building Blocks
315.3	Computer	99.2	Computer	116.2	Building Blocks	166.2	Building Blocks	83	Computer	298.8	Building Blocks	199.2	Building Blocks	315.4	Computer
182.6	Computer	248.8	Building Area	99.3	Building Blocks	182.9	Building Blocks	166.1	Computer	182.5	Computer	198.7	Computer	431.6	Building Area
116.2	Computer	414.7	Building Blocks	265.8	Building Blocks	281.8	Computer	232.2	Building Area	348.5	Building Blocks	216.1	Building Area	166	Building Area
298.7	Computer	266	Building Area	265.4	Computer	116	Building Area	132.7	Building Area	99.3	Computer	82.9	Building Blocks	116.1	Computer
166	Computer	182.9	Computer	580.3	Building Area	381.7	Building Area	182.6	Building Blocks	132.7	Computer	232.2	Building Blocks	348.5	Computer
232.6	Computer	149.4	Building Area	99.7	Building Area	414.8	Building Area	165.8	Computer	165.8	Building Area	132.5	Computer	249.4	Computer
116.1	Computer	99.1	Computer	132.7	Computer	83.2	Computer	133	Building Area	165.7	Building Area	182.5	Building Area	215.8	Computer
198.9	Computer	331.9	Computer	132.7	Computer	315.3	Computer	215.3	Building Area	547.9	Building Area	116.2	Computer	149.4	Building Blocks
115.9	Computer	232.3	Computer	133.3	Computer	282.3	Computer	232.3	Building Area	99.7	Computer	116.3	Computer	398.3	Building Blocks
149.8	Computer	215.7	Computer	116.3	Building Area	66.6	Computer	132.9	Building Area	215.9	Computer	248.9	Computer	166.1	Computer
99.4	Computer	82.8	Building Blocks	182.5	Building Area	115.7	Building Blocks	99.5	Computer	315.7	Computer	116.1	Computer	182.6	Building Area
83.3	Building Blocks	83.4	Building Blocks	166.2	Building Area	66.5	Building Blocks	166	Computer	116	Computer	116.4	Building Blocks	99.5	Building Blocks
115.9	Building Blocks	282.6	Building Blocks	99.5	Computer	133	Building Blocks	215.7	Computer	82.8	Building Blocks	132.7	Building Blocks	199.1	Building Blocks
149.4	Building Blocks	365.3	Computer	248.6	Computer	132.9	Building Blocks	332.1	Computer	166	Building Blocks	115.9	Building Blocks	216	Building Area
166	Building Blocks	165.4	Building Area	116.3	Computer	133.1	Building Blocks	83.2	Building Blocks	182.6	Building Blocks	182.3	Building Blocks	464.8	Building Area
148.9	Building Blocks	447.7	Building Area	232.8	Building Blocks	248.9	Building Blocks	215.8	Building Blocks	132.7	Building Blocks	166.1	Building Blocks	663.9	Building Area
166.1	Building Blocks	115.8	Computer	132.6	Building Blocks	166.1	Computer	332	Building Blocks	298.6	Computer	99.8	Building Blocks	132.9	Building Blocks
182.5	Computer	215.9	Building Blocks	132.7	Building Blocks	99.5	Computer	282.4	Computer	597.3	Building Area	282.6	Computer	132.8	Building Blocks
249	Computer	66.7	Building Blocks	580.9	Building Blocks	116.2	Building Area	83	Computer	149.5	Building Blocks	83	Computer	365.4	Building Blocks
166	Computer	365	Building Blocks	82.8	Building Blocks	132.8	Building Area	116.2	Building Blocks	215.5	Building Blocks	166	Building Blocks	82.6	Building Blocks
298.9	Building Area	99.3	Building Area	248.6	Computer	182.6	Building Blocks	215.7	Building Blocks	149.3	Building Blocks	298.9	Building Blocks	348.2	Building Blocks
215.6	Building Area	597.3	Building Area	165.8	Computer	149.2	Building Blocks	132.7	Building Blocks	382	Computer	182.4	Building Blocks	282.1	Building Blocks
116.1	Building Area	182.5	Computer	99.5	Computer	448.1	Building Blocks	99.6	Building Area	166.1	Building Area	165.9	Building Area	298.4	Computer
116	Building Blocks	298.4	Computer	66.4	Building Blocks	132.7	Building Area	149.3	Building Area	116.1	Building Area	116.3	Building Blocks	215.6	Building Area
166.1	Building Blocks	166.2	Computer	99.8	Building Blocks	165.9	Building Area	464.7	Building Area	232.1	Building Area	398.1	Building Blocks	232.3	Building Area
282.4	Building Area	331.4	Computer	365	Building Blocks	1045.6	Building Area	99.6	Computer	697.1	Building Area	331.9	Building Blocks	132.7	Building Area
282.2	Building Area	82.9	Building Blocks	182.5	Building Area	149	Building Area	232.4	Computer	215.8	Building Area	166	Building Blocks	132.6	Building Area
199.2	Building Area	116.1	Building Blocks	166.3	Building Area	83	Building Area	332	Computer	82.7	Computer	166	Building Blocks	415.3	Building Area
82.6	Computer	199	Building Blocks	83.1	Computer	431.4	Building Area	198.8	Building Blocks	83.1	Computer	133	Building Area	547.4	Building Area
315.9	Computer	415	Building Blocks	198.7	Computer	149.3	Building Area	166.1	Building Blocks	182.5	Computer	232.2	Building Area	348.4	Building Area
132.6	Computer	182.4	Building Blocks	132.8	Building Area	431.7	Building Area	165.8	Building Blocks	331.9	Computer	331.9	Building Area	215.6	Building Area
99.8	Computer	99.9	Building Blocks	215.8	Building Area	99.6	Computer	182.6	Building Blocks	298.7	Building Blocks	133	Building Area	481.1	Building Area
199.3	Computer	182.9	Building Blocks	116.5	Building Area	132.8	Computer	99.4	Building Blocks	232.4	Building Blocks	116.3	Computer	514.6	Building Area
332.3	Computer	249.2	Building Blocks	182.7	Computer	215.8	Computer	132.6	Building Blocks	116.3	Building Blocks	165.9	Computer	83.1	Computer
298.8	Building Area	199.5	Building Blocks	182.5	Computer	647.2	Computer	83.2	Building Blocks	165.8	Building Blocks	365.1	Computer	215.9	Computer
365.1	Building Area	99.8	Building Blocks	763.9	Building Area	83.1	Building Blocks	182.6	Building Blocks	580.9	Computer	149.6	Building Area	331.9	Computer
332.2	Building Area	298.5	Computer	564.3	Building Area	265.9	Building Blocks	199.3	Building Blocks	182.8	Building Area	1709.5	Building Area	215.7	Computer
630.7	Building Area	348.5	Building Blocks	99.7	Building Area	397.9	Computer	381.7	Computer	182.6	Building Area	215.6	Computer	265.2	Computer
132.7	Computer	165.9	Building Blocks	116.4	Building Area	198.6	Building Area	132.8	Building Blocks	182.6	Building Area	100.1	Computer	149.2	Building Area
730.5	Computer	165.9	Computer	182.6	Building Area	149.8	Building Area	630.8	Building Blocks	398.4	Building Area	248.9	Building Area	199.1	Building Area
149.5	Building Blocks	149.7	Computer	514.4	Building Area	1925.1	Building Area	149.2	Building Area	713.4	Building Area	199.4	Building Area	348.6	Building Area
115.9	Building Blocks	182.4	Building Blocks	166.1	Building Area	166	Building Area	298.4	Building Area	116.1	Building Area	232.4	Building Area	680.6	Building Area
282.3	Building Blocks	82.7	Building Blocks	199.2	Computer	215.8	Computer	199.3	Building Area	182.6	Building Blocks	132.7	Building Area	265.6	Building Area
199	Computer	298.4	Computer	216.2	Computer	232.1	Building Area	298.2	Building Area	182.5	Building Area	364.9	Building Area	364.9	Building Area
116.3	Computer	580.5	Computer	116.1	Computer	115.8	Building Area	149.5	Building Area	1079	Building Area	199	Building Area	66.5	Building Area
