T1		T2		T3		T4		T5		T6		T7		T8	
166.4	Computer	232.7	Computer	99.9	Building Blocks	99.6	Computer	215.4	Building Blocks	165.9	Building Blocks	83.2	Building Blocks	149.1	Building Blocks
166	Computer	514.9	Building Blocks	133	Building Blocks	182.6	Building Blocks	265	Building Blocks	281.9	Building Blocks	464.3	Building Blocks	215.9	Building Blocks
248.8	Computer	149.1	Building Blocks	166.2	Building Blocks	133	Building Blocks	381.7	Building Blocks	232.4	Building Area	298.6	Computer	282.1	Building Blocks
166.5	Building Blocks	149.6	Building Blocks	215.5	Building Blocks	132.7	Building Blocks	83	Computer	132.8	Computer	133.1	Computer	82.9	Computer
298.5	Computer	132.7	Computer	149.2	Building Blocks	116.5	Computer	165.9	Computer	248.5	Computer	232.3	Building Area	133	Computer
132.8	Computer	464.4	Computer	116.1	Computer	232.7	Building Blocks	282.2	Building Area	166.2	Computer	133.2	Computer	133	Computer
414.4	Computer	315.4	Computer	248.9	Building Blocks	215.6	Building Blocks	115.9	Computer	514.6	Computer	331.7	Computer	132.6	Computer
166	Computer	182.7	Building Area	166	Building Area	448	Building Blocks	182.5	Computer	149.6	Computer	199.1	Computer	365.2	Computer
149.3	Building Blocks	99.8	Computer	365.1	Computer	447.6	Building Area	298.6	Computer	166.1	Building Blocks	364.9	Computer	331.7	Computer
99.6	Building Blocks	298.5	Computer	166.3	Building Blocks	199.6	Building Blocks	132.7	Computer	115.9	Building Blocks	165.7	Building Blocks	149.1	Building Blocks
165.9	Building Blocks	116.4	Computer	182.5	Building Blocks	364.9	Computer	99.4	Building Blocks	132.5	Building Blocks	182.6	Building Blocks	298.8	Building Blocks
265.6	Building Blocks	99.5	Computer	166	Computer	381.8	Computer	166.4	Building Blocks	83.3	Building Blocks	132.8	Computer	464.9	Building Blocks
83	Computer	215.4	Computer	165.6	Computer	314.9	Building Blocks	364.7	Building Blocks	464.7	Building Blocks	133.1	Computer	365.1	Computer
199.5	Computer	132.8	Building Blocks	166	Building Blocks	232.4	Building Blocks	132.5	Computer	232.7	Computer	215.7	Building Blocks	464.6	Building Area
149.5	Computer	66.6	Building Blocks	215.8	Building Blocks	248.9	Computer	116.1	Computer	365.3	Computer	99.6	Building Blocks	132.8	Building Blocks
83.2	Building Blocks	414.7	Building Blocks	132.8	Computer	215.7	Building Blocks	149.5	Computer	116.1	Building Blocks	448	Building Blocks	464.5	Building Blocks
149.2	Building Blocks	99.8	Computer	99.7	Computer	298.7	Building Blocks	99.7	Computer	249	Building Blocks	332	Computer	381.9	Building Blocks
166.3	Building Blocks	82.7	Computer	149.4	Building Area	99.5	Building Blocks	100.1	Building Blocks	248.9	Computer	166	Building Area	99.9	Computer
315.7	Building Blocks	132.8	Building Blocks	464.6	Building Blocks	365.1	Building Area	282	Building Blocks	348.5	Building Area	249	Building Area	199.1	Building Area
149.4	Building Blocks	132.9	Building Area	199.2	Computer	215.7	Building Blocks	199.1	Building Blocks	149.3	Building Blocks	116.2	Building Blocks	149.3	Computer
613.8	Computer	116.1	Building Blocks	116.2	Building Area	879.6	Building Blocks	115.6	Computer	149.7	Building Blocks	547.7	Building Blocks	132.9	Computer
265.6	Building Area	331.8	Building Blocks	365.1	Computer	182.2	Building Area	398.3	Building Area	248.7	Building Blocks	215.7	Computer	282.3	Computer
166	Building Area	82.3	Computer	348.6	Computer	83.3	Computer	182.9	Computer	198.8	Computer	265.7	Building Blocks	99.6	Computer
199.2	Building Area	132.7	Building Area	215.7	Building Blocks	149	Computer	149.6	Computer	497.8	Computer	3434.8	Building Area	165.8	Computer
199.1	Computer	364.6	Computer	249	Building Blocks	133	Building Area	99.6	Computer	199.3	Building Area	730.3	Building Area	83	Building Blocks
149.5	Computer	464.2	Computer	82.9	Building Blocks	99.6	Building Area	282.3	Computer	299	Building Area	365	Building Area	597.4	Building Blocks
1095.1	Computer	315.5	Building Area	115.6	Computer	315.5	Computer	82.7	Computer	497.6	Building Area	1907.9	Building Area	298.7	Computer
132.9	Building Area	265.6	Computer	281.7	Computer	431.9	Computer	729.8	Building Blocks	265.6	Computer	414.9	Building Area	448.4	Building Area
99.4	Building Area	133.4	Building Blocks	265.5	Computer	281.9	Building Area	381.7	Computer	331.7	Building Area	580.9	Building Area	265.8	Building Area
448	Computer	265.6	Building Blocks	166.1	Building Area	613.6	Building Area	232.5	Building Area	514.6	Building Area	647.1	Building Area	116	Building Area
149.8	Building Blocks	314.9	Computer	215.3	Building Area	282.1	Building Area	348.5	Building Area	149.6	Building Area	198.9	Building Area	1858.7	Building Area
83.5	Building Blocks	116.2	Building Blocks	199.1	Building Area	215.7	Computer	232.4	Building Area	149.3	Computer	215.7	Building Area	398.1	Building Area
481.3	Building Blocks	215.6	Building Blocks	414.6	Building Area	116.1	Computer	166.1	Building Area	99.8	Computer	713.9	Building Area	149.7	Building Area
547.8	Computer	381.6	Computer	83	Building Area	813.6	Building Area	83.2	Building Area	398.6	Building Area	232.3	Computer	1278	Building Area
99.5	Computer	116.1	Computer	315.3	Building Area	663.9	Building Area	813.1	Building Area	265.1	Building Area	248.9	Computer	1045.3	Building Area
