T1		T2		T3		T4		T5		T6		T7		T8	
265.7	Computer	149.7	Computer	132.7	Building Blocks	82.5	Computer	116.1	Building Blocks	166	Building Blocks	99.6	Building Blocks	182.9	Building Blocks
149.5	Computer	215.4	Computer	398.4	Building Blocks	199.3	Building Blocks	132.8	Building Blocks	1094.9	Building Blocks	249.6	Building Blocks	232	Building Blocks
132.7	Computer	82.9	Building Blocks	132.8	Building Blocks	99.6	Building Blocks	597	Building Blocks	116.6	Building Area	647.4	Building Blocks	315.3	Building Blocks
215.7	Computer	165.9	Building Blocks	348.5	Building Blocks	116.1	Building Blocks	99.6	Computer	265.7	Building Area	132.6	Building Area	348.5	Building Blocks
182.6	Computer	232.3	Building Blocks	564.3	Building Blocks	763.6	Building Blocks	82.7	Building Area	83	Building Area	282.7	Building Area	182.6	Building Blocks
182.1	Computer	132.9	Building Blocks	183.1	Building Area	216	Building Blocks	249.1	Building Area	348.2	Building Blocks	116.1	Building Blocks	381.9	Building Blocks
249	Computer	630.5	Building Blocks	215.7	Building Area	132.7	Building Blocks	432.1	Building Area	215.7	Building Blocks	83.1	Building Blocks	148.9	Building Blocks
82.9	Computer	348	Computer	364.9	Building Area	265.5	Building Area	149.2	Building Area	315.3	Building Blocks	630.6	Building Blocks	265.6	Building Area
165.9	Computer	298.7	Computer	149.3	Building Area	199.2	Building Area	132.8	Building Blocks	431.5	Building Blocks	398.2	Building Blocks	630.5	Building Area
99.5	Building Blocks	464.7	Building Area	99.8	Building Blocks	132.9	Building Blocks	282	Building Blocks	232.3	Building Area	265.2	Building Blocks	132.7	Building Blocks
82.9	Building Blocks	199.1	Building Area	82.9	Computer	514.5	Building Blocks	298.9	Building Blocks	265.7	Building Area	365	Building Blocks	464.7	Building Blocks
249.1	Building Blocks	448	Building Area	99.5	Computer	464.9	Building Blocks	298.9	Building Blocks	215.7	Building Area	82.8	Building Area	115.9	Building Blocks
99.2	Computer	315.4	Building Area	182.6	Building Blocks	265.4	Building Blocks	448.1	Building Blocks	299	Building Area	199.1	Building Area	82.7	Building Blocks
265.6	Computer	249.1	Building Area	116	Building Blocks	132.9	Building Blocks	149.4	Building Area	149.4	Building Blocks	431.2	Building Area	465	Building Blocks
182.5	Computer	133	Building Blocks	182.2	Building Blocks	82.8	Building Blocks	431.7	Building Area	365.1	Building Blocks	232.3	Building Area	530.9	Building Blocks
132.6	Building Area	199.2	Building Blocks	165.9	Building Blocks	116.6	Building Area	199.6	Building Area	166.3	Building Area	132.7	Building Area	282.1	Building Blocks
315.6	Computer	132.5	Computer	182.7	Computer	149.4	Building Area	149.6	Building Area	348.6	Building Area	99.5	Building Blocks	182.9	Building Blocks
182.3	Building Area	133.2	Computer	182.8	Building Blocks	514.1	Building Area	232.5	Building Area	132.4	Building Area	796.7	Building Blocks	149.4	Building Blocks
182.7	Building Area	165.9	Computer	315.8	Building Blocks	232.4	Building Area	83.1	Building Blocks	696.8	Building Area	464.2	Building Area	83.2	Building Blocks
365.1	Building Area	149.4	Computer	116.2	Building Area	315	Building Area	83.2	Building Blocks	199.1	Building Area	348.6	Building Area	116.3	Building Area
116.2	Building Area	116.2	Computer	82.8	Building Area	199.1	Building Area	846.1	Building Blocks	183.1	Building Area	364.5	Building Area	182.7	Building Area
166.3	Computer	166.1	Building Blocks	83.3	Building Blocks	132.7	Building Area	348.5	Building Area	597.5	Building Area	265.8	Building Area	265.9	Building Area
183.1	Computer	182.8	Building Blocks	83	Computer	115.9	Building Area	1195	Building Area	315.4	Building Area	116.5	Building Area	83	Building Area
365.3	Computer	149.4	Building Blocks	464.7	Building Area	166	Building Blocks	115.8	Building Area	166.1	Building Area	945.8	Building Area	281.8	Building Area
265.5	Computer	215.7	Building Blocks	431.5	Building Area	547.7	Building Blocks	99.4	Building Area	846.4	Building Area	116.2	Building Area	99.5	Building Area
132.6	Computer	149.4	Building Blocks	248.9	Building Area	663.8	Building Area	812.9	Building Area	215.9	Building Area	614	Building Area	149.4	Building Area
365.3	Computer	132.8	Building Blocks	116.3	Building Area	149.3	Building Area	597.4	Building Area	680	Building Area	730.3	Building Area	116.2	Building Blocks
248.7	Computer	331.9	Building Blocks	132.3	Building Blocks	265.8	Building Area	149.7	Building Area	249	Building Area	99.2	Building Area	365.1	Building Blocks
331.9	Computer	66.7	Building Blocks	663.5	Building Blocks	165.9	Building Area	265.6	Building Area	83.1	Building Area	116.2	Building Area	199.1	Building Area
265.7	Building Blocks	83.1	Computer	116.2	Building Blocks	680.2	Building Area	796.6	Building Area	149.4	Building Area	165.8	Building Area	232.4	Building Blocks
298.8	Computer	99.6	Building Blocks	265.8	Building Blocks	364.6	Building Area	116.2	Building Area	132.8	Building Area	331.8	Building Area	431.7	Building Area
99.6	Computer	348.4	Building Blocks	150	Building Area	447.9	Building Area	182.5	Building Area	149.1	Building Area	464.5	Building Area	116	Building Area
182.8	Computer	82.9	Building Area	298.7	Building Area	166	Building Area	149.4	Building Area	215.7	Building Area	464.5	Building Area	829.5	Building Area
116.7	Computer	132.5	Building Area	879.6	Building Area	1427	Building Area	149.4	Building Area	547.9	Building Area	282.3	Building Area	165.9	Building Area
83	Computer	149.5	Building Area	265.7	Building Area	481	Building Area	149.4	Building Area	365.1	Building Area	132.9	Building Area	248.5	Building Area
66.4	Computer	82.9	Computer	1095	Building Area	497.7	Building Area	1095.3	Building Area	763.7	Building Area	149.2	Building Area	829.5	Building Area
397.9	Building Blocks	83.2	Computer	332.1	Building Area	249	Building Area	514.1	Building Area	713.4	Building Area	381.5	Building Area	216.1	Building Area
149.3	Building Blocks	249.1	Building Area	448.1	Building Area	199.5	Building Area	514.7	Building Area	215.6	Building Area	779.9	Building Area	99.8	Building Area
132.9	Building Blocks	199.3	Building Area	580.8	Building Area	1909	Building Area	281.8	Building Area	580.6	Building Area	614	Building Area	99.8	Building Area
282.3	Computer	232.5	Building Blocks	133	Building Area	182.4	Building Area	348.6	Building Area	995.5	Building Area	99.7	Building Area	597.7	Building Area
66.8	Building Area	232.1	Building Blocks	265.2	Building Area	282.5	Building Area	215.6	Building Area	199	Building Area	99.6	Building Blocks	746.8	Building Area
83.1	Building Area	166.3	Computer	248.9	Building Area	531	Building Area	514.3	Building Area	249.1	Building Blocks	514.1	Building Blocks	149.2	Building Area
133.1	Building Area	216.1	Computer	149.3	Building Area	414.8	Building Area	248.9	Building Area	248.7	Building Blocks	232.5	Building Area	232.5	Building Area
232.5	Building Blocks	182.4	Building Area	531	Building Area	398	Building Area	83.3	Computer	630.6	Building Area	166.1	Building Area	497.7	Building Area
198.9	Building Blocks	249.5	Building Area	497.9	Building Area	763.2	Building Area	547.7	Building Blocks	82.6	Building Blocks	414.9	Building Area	398.3	Building Area
298.7	Computer	215.7	Building Area	813.3	Building Area	165.9	Building Area	663.8	Building Area	299	Building Blocks	99.5	Building Area	862.7	Building Area
182.5	Computer	730.3	Building Area	282	Building Area	132.8	Building Area	331.5	Building Blocks	846.3	Building Area	348.8	Building Area	199	Building Area
