T1		T2		T3		T4		T5		T6		T7		T8	
232.3	Computer	166.1	Computer	182.5	Computer	331.7	Computer	282.3	Computer	82.9	Computer	116.2	Computer	116	Computer
166.2	Computer	99.8	Computer	83.1	Building Blocks	398.2	Computer	116.2	Building Blocks	149.3	Building Blocks	132.7	Building Blocks	381.8	Computer
82.8	Computer	149.5	Building Blocks	248.7	Building Blocks	265.5	Building Blocks	298.6	Building Blocks	232.5	Building Blocks	165.9	Building Blocks	132.6	Building Blocks
99.3	Building Blocks	298.5	Building Blocks	215.9	Building Blocks	680.4	Building Blocks	481.4	Building Blocks	647.2	Building Blocks	398.5	Building Blocks	232.4	Building Blocks
116.4	Building Blocks	564.3	Building Blocks	215.5	Building Blocks	198.7	Building Blocks	182.6	Building Blocks	83	Computer	99.7	Building Area	199.2	Building Blocks
132.8	Building Blocks	282.1	Building Blocks	647.4	Building Blocks	149.1	Building Blocks	132.8	Building Blocks	232.2	Building Area	564.5	Building Area	365.1	Building Blocks
182.4	Building Blocks	547.9	Building Blocks	232.4	Computer	382.2	Building Area	398.3	Computer	83.1	Building Area	165.8	Building Blocks	165.8	Computer
265.7	Computer	83	Computer	314.9	Building Area	298.7	Computer	282.2	Building Area	165.9	Building Area	265.4	Building Blocks	99.7	Computer
929	Building Blocks	149.4	Computer	249	Building Area	215.7	Computer	132.8	Computer	99.6	Building Area	132.9	Building Area	663.6	Building Area
348.3	Building Blocks	116.2	Building Area	132.6	Building Area	99.4	Computer	115.8	Building Area	398.3	Computer	182.4	Building Area	182.4	Building Area
398	Building Blocks	165.9	Building Area	448	Computer	448.2	Building Area	248.9	Building Area	199.1	Computer	149.2	Building Area	182.6	Building Area
132.6	Building Area	132.6	Building Area	149.4	Computer	182.6	Building Blocks	166	Building Area	199.2	Building Blocks	83.1	Computer	199.1	Building Area
249.2	Building Area	481.3	Computer	215.9	Computer	198.9	Building Blocks	199.2	Building Area	116	Building Blocks	182.8	Computer	199.3	Building Blocks
149.5	Computer	116.4	Computer	166.2	Building Blocks	514.5	Building Blocks	448.4	Building Area	232.3	Building Blocks	249	Computer	580.7	Building Blocks
66.6	Computer	232.5	Computer	149.2	Building Blocks	298.6	Computer	365.4	Computer	282.2	Computer	115.9	Building Blocks	199	Building Blocks
149.4	Building Blocks	581.1	Building Blocks	149.3	Building Blocks	166	Computer	165.8	Building Blocks	99.7	Computer	116	Building Blocks	215.8	Building Blocks
481.3	Building Blocks	149.4	Building Blocks	132.8	Building Blocks	116.1	Computer	99.5	Building Blocks	298.6	Building Blocks	332	Building Blocks	83	Building Blocks
365.3	Building Blocks	249	Building Blocks	182.5	Building Blocks	182.5	Building Blocks	149.4	Building Blocks	265.5	Building Area	398.1	Building Blocks	199.1	Building Blocks
182.6	Building Area	298.7	Computer	464.6	Building Blocks	232.4	Building Blocks	149.2	Building Blocks	215.7	Building Blocks	365.3	Building Blocks	149.2	Building Blocks
481.1	Building Area	132.8	Building Area	232.4	Building Blocks	149.6	Building Blocks	199.2	Building Blocks	149.4	Building Blocks	414.7	Building Blocks	83	Computer
166.1	Computer	431.3	Building Area	132.9	Building Blocks	99.6	Building Area	215.9	Building Blocks	547.6	Building Blocks	116.1	Computer	232.5	Computer
166.3	Building Blocks	265.3	Building Area	149.5	Building Blocks	132.8	Building Area	116	Computer	281.9	Computer	232.5	Computer	116.1	Building Blocks
896.1	Building Blocks	83.2	Building Area	116	Building Blocks	133.2	Computer	199	Computer	182.8	Building Area	216	Building Blocks	182.3	Building Blocks
331.7	Building Blocks	265.5	Computer	282.1	Building Blocks	464.7	Building Area	132.5	Building Area	182.6	Building Area	182.8	Building Blocks	232.7	Computer
116.3	Computer	282.1	Building Area	199	Computer	298.4	Building Area	215.8	Building Area	132.8	Building Area	414.9	Building Blocks	166	Building Area
315.2	Computer	132.7	Building Area	182.3	Building Area	165.9	Building Blocks	331.6	Building Area	132.4	Building Area	331.7	Computer	132.6	Building Area
132.8	Computer	132.8	Computer	763.2	Building Area	465	Building Blocks	199.3	Building Area	365.2	Building Area	116	Building Area	232.5	Building Area
182.5	Computer	199.1	Computer	132.6	Computer	365.4	Computer	132.8	Computer	863.1	Building Area	381.5	Building Area	431.5	Building Area
149.3	Computer	116.1	Computer	99.6	Computer	381.6	Computer	282.1	Computer	199	Computer	166.2	Computer	132.7	Building Area
149.4	Computer	115.8	Building Blocks	514.3	Building Area	149.3	Computer	398.2	Building Blocks	165.9	Building Blocks	149.4	Computer	447.9	Building Blocks
282.3	Computer	813.1	Building Blocks	99.5	Computer	216	Building Area	282.1	Computer	331.7	Building Blocks	365.4	Building Blocks	298.8	Building Blocks
348.5	Computer	365	Computer	182.6	Computer	99.5	Computer	365.2	Building Blocks	99.5	Computer	82.8	Building Blocks	116	Computer
282.1	Computer	82.9	Building Area	464.6	Computer	365.2	Building Area	199.1	Building Blocks	166	Computer	83.1	Building Area	182.7	Computer
82.8	Building Area	282.2	Building Area	132.9	Building Blocks	99.5	Building Area	149.4	Building Area	149.7	Computer	148.9	Building Area	331.7	Computer
83	Building Area	99.3	Building Area	431.3	Building Blocks	282	Building Area	1526.7	Building Area	498	Computer	282.2	Building Area	149.4	Computer
149.2	Building Area	1294.6	Building Area	531	Building Blocks	149.2	Building Area	265.5	Building Area	132.7	Computer	166	Building Area	232.2	Building Area
249	Building Area	946.2	Building Area	149.5	Computer	166.2	Building Area	215.6	Computer	149.3	Building Area	132.6	Building Blocks	83	Building Area
149.4	Building Area	315.6	Building Area	215.4	Computer	116.2	Building Area	414.8	Building Area	83	Building Area	265.4	Building Blocks	249	Building Area
83.3	Computer	2340.1	Building Area	99.7	Building Blocks	132.8	Building Area	1675.9	Building Area	149.2	Building Area	332	Building Blocks	464.9	Building Area
216	Computer	447.7	Building Area	481.2	Building Blocks	116.3	Computer	265.3	Building Area	165.9	Building Area	149	Building Blocks	182.8	Building Area
315	Building Area	82.9	Building Area	132.9	Building Blocks	199.1	Computer	165.9	Building Area	282	Building Area	282.1	Computer	331.9	Building Area
149	Computer	348.5	Computer	382	Computer	531.3	Building Area	1659.5	Building Area	1593	Building Area	116.2	Computer	282.2	Building Area
215.8	Computer	198.9	Building Area	132.5	Building Area	82.9	Computer	282	Building Area	431.3	Building Area	182.5	Computer	680.2	Building Area
83	Computer	614	Building Area	431.4	Building Area	82.9	Computer	232.2	Building Area	182.4	Building Area	265.1	Computer	166	Building Area
149.4	Building Area	115.8	Computer	365.4	Building Area	282	Computer	182.5	Building Area	298.7	Building Area	298.7	Computer	99.7	Building Area
315.4	Building Area	298.9	Computer	166	Building Area	132.9	Building Area	182.5	Building Area	132.8	Building Area	232.4	Building Area	215.9	Building Area
165.9	Building Area	99.5	Building Area	83	Building Area	1842.4	Building Area	99.9	Building Area	1742.3	Building Area	149.4	Building Area	962.7	Building Area
116.1	Building Area	1526.7	Building Area	331.7	Building Area	282.4	Building Area	1211.3	Building Area	614.4	Building Area	763.5	Building Area	365.2	Building Area
132.9	Building Area	315.2	Building Area	83	Building Area	182.5	Building Area	232.2	Building Area	1211.5	Building Area	182.9	Building Area	282.3	Building Area
