T1		T2		T3		T4		T5		T6		T7		T8	
99.7	Computer	148.8	Computer	99.3	Building Blocks	66.8	Building Blocks	199.1	Building Blocks	100.1	Building Blocks	99.6	Building Blocks	348.3	Building Blocks
265.5	Computer	99.8	Building Blocks	216.1	Building Blocks	82.8	Building Blocks	166	Building Blocks	232.6	Building Blocks	166	Building Blocks	132.9	Building Blocks
99.7	Computer	116.1	Building Blocks	431.6	Building Blocks	149.3	Building Blocks	182.7	Building Blocks	215.5	Building Blocks	431.3	Building Blocks	680.6	Building Blocks
182.5	Computer	199.1	Building Blocks	83.1	Building Area	348.1	Building Blocks	315.5	Computer	182.7	Building Blocks	182.5	Building Blocks	199	Building Area
249.3	Computer	564	Building Blocks	149.7	Building Area	548	Building Blocks	182.7	Building Blocks	182.8	Computer	165.8	Building Blocks	348.9	Building Area
232.1	Computer	497.6	Building Blocks	597.6	Building Area	165.6	Building Area	298.3	Computer	82.4	Computer	149.5	Computer	248.9	Building Area
199.3	Computer	166.4	Computer	165.7	Computer	663.9	Building Area	265.5	Building Blocks	265.7	Building Blocks	149.2	Building Area	99.6	Computer
315	Computer	282.2	Computer	149.3	Computer	199.1	Building Area	83	Computer	564.5	Computer	829.7	Building Area	149.4	Computer
697.1	Computer	116.4	Building Area	182.3	Computer	149.4	Building Blocks	614	Building Area	182.7	Computer	116.2	Computer	249.1	Building Blocks
115.9	Computer	364.9	Building Area	116.2	Building Blocks	182.4	Building Blocks	99	Computer	249.2	Computer	99.8	Computer	165.9	Building Blocks
763.1	Computer	530.6	Building Area	82.9	Building Blocks	166	Building Blocks	199.4	Building Area	331.9	Building Blocks	82.9	Computer	116.2	Building Blocks
182.3	Computer	216	Building Area	82.9	Building Blocks	165.7	Building Blocks	348.5	Building Area	480.9	Building Area	132.8	Building Blocks	265.9	Building Blocks
232.4	Computer	99.8	Computer	249.1	Building Blocks	149.3	Building Blocks	83	Building Blocks	166.4	Building Area	215.6	Building Blocks	148.9	Building Blocks
149.3	Computer	83	Computer	149.2	Computer	232.8	Building Blocks	132.9	Building Blocks	215.9	Computer	232.5	Building Blocks	133.1	Building Blocks
83	Building Blocks	646.7	Computer	332	Computer	381.9	Building Blocks	199.2	Building Blocks	99.4	Building Blocks	282	Building Blocks	564.7	Building Blocks
99.8	Building Blocks	182.8	Building Blocks	149.7	Building Blocks	116.2	Building Blocks	165.8	Building Blocks	166	Building Blocks	597.4	Building Blocks	166.2	Building Area
564.2	Computer	199.2	Building Blocks	182.3	Building Blocks	83.2	Building Blocks	165.7	Building Blocks	166	Building Blocks	166	Building Area	497.7	Building Area
348.8	Computer	133	Building Blocks	165.9	Building Blocks	99.2	Building Blocks	82.7	Building Blocks	249.2	Building Blocks	1045.4	Building Area	829.9	Building Area
99.4	Computer	83	Building Blocks	680.4	Building Blocks	165.8	Building Blocks	216.2	Building Blocks	182.4	Building Blocks	248.8	Building Area	331.9	Building Area
82.7	Building Blocks	116.2	Computer	315.3	Building Area	116.5	Building Blocks	348.5	Building Blocks	149.1	Building Blocks	232.7	Building Area	82.9	Computer
