T1		T2		T3		T4		T5		T6		T7		T8	
232.3	Building Area	1925.1	Building Area	149.3	Building Blocks	315.3	Computer	281.8	Computer	99.4	Building Area	729.9	Building Area	464.7	Building Area
149.2	Building Area	299.2	Building Area	199.2	Building Area	215.9	Computer	232.5	Building Area	82.6	Building Blocks	630.5	Building Area	232.7	Building Area
216.1	Building Area	215.8	Computer	2190.4	Building Area	216	Building Area	498.1	Building Area	132.8	Building Blocks	1294.1	Building Area	216.1	Building Area
165.9	Building Area	66.5	Computer	663.9	Building Area	514.7	Building Area	182.4	Building Area	547.8	Building Blocks	332.1	Building Area	315.4	Building Area
564	Building Area	182.2	Building Area	1045.6	Building Area	116.2	Building Area	1410.5	Building Area	149.7	Building Blocks	99.9	Computer	83.3	Computer
265.3	Building Area	663.8	Building Area	846.6	Building Area	116.2	Building Area	165.8	Building Area	730.2	Building Blocks	431.3	Computer	365.1	Computer
82.9	Building Area	564.2	Building Area	630.4	Building Area	663.5	Building Area	232	Building Area	896.4	Building Area	215.6	Computer	82.9	Computer
83	Computer	713.5	Building Area	447.6	Building Area	812.6	Building Area	1526.7	Building Area	116	Computer	166.3	Building Blocks	199.2	Building Blocks
166	Computer	796.6	Building Area	448.1	Building Area	99.5	Computer	780	Building Area	431.3	Computer	149.4	Building Blocks	182.6	Building Blocks
431.8	Computer	1228.2	Building Area	1079.2	Building Area	132.6	Building Area	199.4	Building Area	299.1	Computer	165.7	Building Blocks	149.3	Building Blocks
332.2	Computer	398.6	Building Area	182.1	Building Area	580.7	Building Area	149.6	Building Area	116.2	Building Area	182.7	Building Blocks	348.3	Building Blocks
879.6	Computer	780.4	Building Area	199.1	Building Area	298.9	Building Area	199.2	Building Area	713.4	Building Area	497.9	Building Blocks	614.1	Building Blocks
99.5	Building Blocks	431.5	Building Area	83	Building Area	2289.8	Building Area	481.5	Building Area	1393.9	Building Area	149.7	Building Area	132.8	Building Area
99.3	Building Blocks	132.6	Building Area	1145.2	Building Area	1061.8	Building Area	431.2	Building Area	332	Building Area	298.8	Building Area	182.5	Building Area
248.6	Building Blocks	348.1	Building Area	232.1	Building Area	99.5	Building Area	215.7	Building Area	1875.4	Building Area	232.3	Building Area	381.2	Building Area
83.2	Computer	365.1	Building Area	431.4	Building Area	149.5	Building Area	83	Computer	431.3	Building Area	398.2	Building Area	132.6	Building Area
215.9	Computer	249	Building Area	116.1	Building Area	1377.5	Building Area	198.9	Computer	132.7	Building Area	398.3	Building Area	182.7	Building Area
215.6	Building Blocks	232.4	Building Area	265.4	Building Area	215.9	Building Area	348.5	Computer	1327.6	Building Area	348.5	Building Area	315.3	Building Area
116	Building Blocks	182.5	Building Area	215.7	Building Area	265.7	Building Area	99.4	Computer	796.6	Building Area	431.7	Building Area	1095	Building Area
100	Building Blocks	481.6	Building Area	215.7	Computer	166.3	Building Area	182.8	Building Blocks	398.5	Building Area	132.9	Computer	597.4	Building Area
132.2	Building Blocks	979.1	Building Area	332	Computer	116.4	Computer	82.6	Building Blocks	265.4	Building Area	116.1	Computer	115.9	Computer
99.6	Building Blocks	165.9	Building Area	414.9	Computer	132.9	Computer	547.6	Building Blocks	232.1	Building Area	232.2	Computer	365.3	Computer
99.6	Building Blocks	365.1	Building Area	116.3	Computer	232.6	Computer	315.1	Building Area	99.5	Computer	132.8	Building Blocks	66.8	Computer
281.7	Computer	431.6	Building Area	132.5	Building Blocks	232.2	Computer	497.5	Building Area	199.2	Computer	132.9	Building Blocks	165.9	Computer
481.2	Computer	348.4	Computer	149.8	Building Blocks	166.3	Computer	431.6	Building Area	282	Computer	348.9	Building Blocks	149.5	Building Blocks
182.3	Building Area	66.3	Building Area	166	Building Blocks	216	Building Blocks	166	Building Area	116.2	Computer	166.3	Building Blocks	100.2	Building Blocks
99.4	Building Area	166.2	Building Area	249	Building Blocks	82.6	Building Blocks	315.3	Building Area	99.5	Building Blocks	132.5	Building Blocks	264.9	Building Blocks
348.7	Computer	116.2	Computer	232.3	Computer	232.3	Building Blocks	132.7	Computer	199.3	Building Blocks	165.9	Building Area	182.3	Building Blocks
