T1		T2		T3		T4		T5		T6		T7		T8	
99.8	Computer	282.2	Computer	332	Computer	83	Building Blocks	597.3	Building Blocks	531.3	Building Blocks	298.7	Building Blocks	165.9	Building Blocks
99.6	Computer	265.7	Computer	132.8	Computer	299.2	Building Blocks	514.1	Building Blocks	580.9	Building Blocks	1261.2	Building Blocks	829.7	Building Blocks
83.1	Computer	133	Building Blocks	298.6	Computer	265.3	Building Blocks	132.8	Building Area	1128.6	Building Blocks	912.5	Building Blocks	332.1	Building Area
116.1	Computer	232.5	Building Blocks	199.5	Building Blocks	1659.4	Building Blocks	381.3	Building Area	713.8	Building Area	215.8	Building Area	547.7	Building Blocks
348.6	Computer	182.5	Building Blocks	447.5	Building Blocks	232.2	Building Area	199.1	Building Area	232.6	Building Area	448.2	Building Area	165.9	Building Area
83	Computer	99.6	Building Blocks	216	Computer	929.5	Building Area	248.9	Computer	83	Building Area	332.1	Building Blocks	116.3	Building Area
232	Building Blocks	331.9	Building Blocks	314.9	Building Area	348.5	Computer	182.6	Computer	199	Computer	132.9	Building Area	166.3	Building Blocks
216	Building Blocks	996	Building Blocks	182.5	Building Area	647	Building Area	331.9	Computer	133	Computer	415	Building Area	199.3	Building Blocks
398.4	Building Blocks	331.7	Computer	199.1	Building Blocks	332	Building Area	332.2	Computer	82.9	Computer	232.3	Building Blocks	547.5	Building Blocks
481.4	Building Blocks	912.5	Building Area	729.9	Building Blocks	331.9	Building Area	166.1	Building Blocks	149.6	Building Area	415.1	Building Blocks	946.1	Building Blocks
199.2	Building Blocks	266.1	Building Area	265.8	Building Area	182.4	Building Area	99.2	Building Blocks	199.1	Building Area	198.9	Building Area	232.4	Building Area
149.2	Building Blocks	298.4	Building Blocks	199.3	Building Area	232.3	Computer	249	Computer	99.7	Building Area	149.5	Building Area	166	Building Area
298.4	Computer	132.3	Computer	116.6	Building Area	116.2	Computer	165.8	Computer	199.4	Building Blocks	215.3	Building Blocks	481.2	Building Area
132.6	Computer	248.6	Computer	199.2	Computer	165.9	Computer	281.8	Computer	132.9	Building Blocks	398	Building Blocks	215.8	Building Area
182.3	Computer	298.7	Computer	116.3	Computer	149.7	Building Blocks	265.2	Building Blocks	315.3	Building Blocks	182.5	Building Blocks	248.9	Building Area
398.1	Building Area	166.3	Computer	115.9	Building Blocks	133	Building Blocks	365.4	Building Blocks	216.2	Building Blocks	979.1	Building Blocks	381.6	Building Area
133.1	Computer	99.3	Computer	166.2	Building Blocks	215.4	Building Blocks	133	Building Blocks	99.5	Computer	248.6	Computer	249.1	Computer
116.1	Computer	216	Building Blocks	165.9	Building Blocks	100	Building Blocks	729.8	Building Blocks	248.3	Building Blocks	249	Computer	713.4	Computer
182.5	Building Area	216	Building Blocks	382	Building Blocks	597.4	Building Blocks	613.7	Building Blocks	696.8	Building Blocks	199	Computer	630.7	Building Area
232.6	Building Area	133	Building Blocks	215.8	Building Blocks	564.2	Building Area	1925.2	Building Blocks	547.8	Building Area	82.9	Computer	1145.1	Building Blocks
232.6	Computer	365.1	Building Blocks	66.7	Computer	215.4	Building Area	199	Building Area	680.3	Building Area	99.6	Building Area	82.9	Building Area
133.1	Building Area	1493.4	Building Blocks	1178.2	Building Area	447.7	Building Area	597.6	Building Area	66.6	Building Blocks	199.1	Computer	348.5	Building Area
182.8	Building Area	248.7	Building Area	133	Building Area	83	Building Blocks	149.6	Building Area	779.7	Building Blocks	265.5	Computer	464.6	Building Area
630.6	Building Area	265.1	Building Area	331.9	Building Area	183	Computer	348.5	Building Area	332.1	Building Blocks	82.5	Computer	248.9	Building Area
99.4	Building Area	166	Building Area	979.1	Building Area	1360.9	Building Blocks	199	Building Area	166.1	Building Area	232.3	Building Area	564.4	Building Area
630.7	Building Area	514.3	Building Area	663.6	Building Area	232.6	Building Area	381.4	Building Area	597.3	Building Area	497.9	Building Area	199	Building Area
132.4	Building Area	215.8	Building Area	1510.5	Building Area	1527	Building Area	315.3	Building Area	381.6	Building Area	796.4	Building Area	613.9	Building Area
232.2	Computer	99.5	Building Area	116.3	Building Area	464.9	Building Area	315.3	Building Area	3119.7	Building Area	398.3	Building Area	962.5	Building Area
149.4	Computer	265.6	Building Area	99.6	Computer	614.5	Building Area	680.3	Building Area	165.9	Building Area	115.9	Building Blocks	99.6	Computer
82.8	Computer	165.9	Building Blocks	198.7	Computer	281.9	Building Area	498.2	Building Area	199.2	Building Area	1294.5	Building Blocks	348.6	Building Area
265.9	Computer	232.4	Building Blocks	198.7	Building Blocks	613.7	Building Area	115.7	Building Area	1078.7	Building Area	829.8	Building Area	464.6	Building Area
249	Computer	149.3	Computer	597.9	Building Blocks	531	Building Area	498.3	Building Area	365	Building Area	780	Building Area	514.3	Building Area
232	Computer	232.8	Computer	2008.3	Building Blocks	431.8	Building Area	1128.6	Building Area	1676.3	Building Area	564	Building Area	282.1	Building Area
298.8	Computer	99.6	Computer	82.9	Building Blocks	248.9	Building Area	165.8	Building Area	248.7	Building Area	149.3	Building Area	364.7	Building Area
83	Computer	182.4	Computer	182.7	Building Area	1194.4	Building Area	1194.6	Building Area	298.9	Building Area	165.9	Building Area	182.4	Building Area
348.5	Computer	116.1	Computer	198.7	Building Area	465	Building Area	464.4	Building Area	1045.3	Building Area	1261.4	Building Area	2124	Building Area
165.8	Computer	99.5	Building Blocks	82.8	Building Area	1161.7	Building Area	1260.8	Building Area	730	Building Area	1128.6	Building Area	248.9	Building Area
215.9	Computer	331.9	Building Blocks	199.3	Building Area	962.6	Building Area	2290.2	Building Area	148.9	Computer	646.8	Building Area	265.2	Building Area
83.1	Computer	83.1	Building Blocks	2058	Building Area	796.7	Building Area	812.8	Building Area	381.9	Computer	1178.2	Building Area	149.2	Building Area
182.8	Building Blocks	315.7	Computer	762.8	Building Area	332	Building Area	447.8	Building Area	381.8	Computer	298.8	Building Area	1061.7	Building Area
199.2	Building Blocks	199.1	Computer	414.9	Building Area	614.2	Building Area	215.7	Building Area	215.5	Computer	315.2	Building Area	249.3	Building Area
232.1	Building Blocks	133	Building Blocks	199.1	Building Area	281.9	Building Area	149.6	Building Area	199.3	Computer	780	Building Area	315.7	Building Area
332.3	Building Blocks	165.3	Building Blocks	265.6	Building Area	166.1	Computer	232.1	Building Area	182.6	Building Blocks	199.2	Building Area	746.8	Building Area
879.9	Building Blocks	132.7	Building Blocks	1029	Building Area	82.9	Computer	1178	Building Area	165.9	Building Blocks	895.8	Building Area	348.3	Building Area
215.5	Building Blocks	265.4	Building Blocks	382.1	Building Area	66.4	Computer	946.4	Building Area	531	Building Blocks	132.6	Building Blocks	995.7	Building Area
531.3	Building Area	830.1	Building Blocks	265.7	Building Area	82.9	Building Blocks	1062.1	Building Area	183.1	Building Area	580.5	Building Blocks	365.4	Building Area
581.1	Building Area	299.1	Building Blocks	215.8	Building Area	182.5	Building Blocks	1227.7	Building Area	1327.6	Building Area	282.3	Building Area	829.5	Building Area
166.4	Building Area	398.2	Building Blocks	99.7	Building Area	115.9	Building Blocks	1675.9	Building Area	995.6	Building Area	182.4	Building Area	912.9	Building Area
99.9	Building Area	199.3	Computer	199.1	Building Area	248.6	Building Blocks	182.6	Computer	166	Building Area	647.4	Building Area	282.1	Building Area
1278.3	Building Area	116.1	Computer	945.8	Building Area	199.2	Building Blocks	880	Computer	348.4	Building Area	182.4	Building Area	282.3	Building Area
331.9	Building Area	132.9	Building Blocks	431.8	Building Area	381.6	Building Blocks	99.8	Computer	199.2	Building Blocks	979.2	Building Area	331.7	Building Area
282	Building Area	116.2	Building Blocks	481.2	Building Area	365.3	Building Blocks	199.1	Computer	116.2	Building Blocks	232.3	Building Area	713.7	Building Area
132.7	Computer	215.8	Computer	332.2	Building Area	2306.9	Building Area	100.1	Computer	1078.5	Building Blocks	348.5	Building Area	448.1	Building Area
149	Computer	115.9	Building Area	779.9	Building Area	1344.5	Building Area	166.2	Computer	547.6	Building Blocks	132.7	Building Blocks	564.2	Building Area
282.3	Computer	530.8	Building Area	514.3	Computer	115.8	Computer	149.3	Computer	464.6	Building Area	149.2	Building Blocks	597.4	Building Area
298.5	Computer	945.7	Building Area	614.5	Computer	199.6	Building Blocks	132.7	Computer	215.9	Building Blocks	896.1	Building Blocks	1593.6	Building Area
265.5	Computer	199	Building Area	265.6	Computer	198.7	Building Blocks	215.4	Building Blocks	116.2	Building Blocks	149.5	Building Blocks	846.2	Building Area
298.6	Computer	680.1	Building Area	99.5	Computer	282.3	Building Blocks	99.7	Building Blocks	398.4	Building Blocks	182.5	Building Blocks	431.6	Building Area
182.7	Computer	2455.7	Building Area	133.1	Building Blocks	166	Building Blocks	332.3	Building Blocks	116.2	Building Blocks	431.5	Building Blocks	447.9	Building Area
1078.8	Computer	663.6	Building Area	281.7	Building Blocks	315.2	Building Area	331.5	Building Area	215.7	Building Blocks	331.7	Building Blocks	431.6	Building Area
863	Computer	2555.4	Building Area	182.3	Building Blocks	149.1	Building Blocks	1991.5	Building Area	182.4	Building Blocks	912.6	Building Blocks	133	Building Blocks
165.5	Building Area	149.2	Building Area	249	Building Blocks	249.2	Building Blocks	614	Building Area	281.7	Building Blocks	846.5	Building Area	248.9	Building Blocks
198.9	Computer	547.7	Computer	1161.3	Building Blocks	199.4	Building Area	796.3	Building Area	232.4	Building Blocks	564.2	Building Area	481.1	Building Blocks
281.9	Computer	564.2	Building Area	365.3	Building Blocks	348.5	Building Area	232.4	Building Area	165.5	Building Blocks	995.6	Building Area	116.3	Building Area
116.2	Building Blocks	182.5	Building Area	149.3	Building Blocks	265.5	Building Area	398.2	Building Area	414.9	Building Blocks	1095	Building Area	962.6	Building Area
597.6	Building Blocks	265.6	Computer	116.2	Building Area	99.7	Computer	481.2	Building Area	215.7	Building Blocks	199.1	Building Area	1178.5	Building Area
149.5	Computer	149.8	Building Area	879.4	Building Area	99.6	Computer	630.6	Building Area	415	Building Blocks	282.1	Building Blocks	315.4	Building Area
298.7	Building Blocks	481.4	Building Area	116.2	Building Area	100	Computer	265.5	Computer	697.1	Building Blocks	381.7	Building Blocks	116.1	Building Area
265.5	Building Blocks	596.8	Building Area	315.7	Building Area	215.4	Computer	348.8	Computer	166.2	Building Area	663.8	Building Blocks	166	Building Area
298.6	Building Area	149.1	Building Area	713.7	Building Area	547.8	Computer	364.8	Computer	1377.4	Building Area	730.3	Building Area	299.1	Building Area
149.1	Building Area	514.2	Building Area	381.6	Building Area	597.5	Computer	448	Computer	365	Building Area	282	Building Area	182.4	Building Blocks
315	Building Area	497.3	Building Area	315.1	Computer	99.3	Building Blocks	116	Computer	165.9	Building Area	415	Building Area	232.3	Building Blocks
182.2	Building Area	282.2	Computer	298.7	Computer	646.9	Building Blocks	364.8	Building Blocks	1526.9	Building Area	514.6	Building Area	215.7	Building Blocks
464.9	Building Area	83.1	Computer	216	Computer	232.4	Computer	265.1	Computer	348.8	Building Area	530.9	Building Area	1028.9	Building Area
381.3	Building Area	266	Computer	115.9	Building Blocks	116.6	Building Blocks	199.3	Building Blocks	298.6	Building Area	680.2	Building Area	116.3	Building Area
132.8	Building Area	332	Computer	182.4	Building Blocks	149.6	Building Blocks	132.6	Building Blocks	381.7	Building Area	962.6	Building Area	165.9	Building Blocks
730	Building Area	182.7	Computer	497.6	Building Blocks	132.9	Building Blocks	630.6	Building Blocks	680.2	Building Blocks	597.3	Building Area	497.7	Building Blocks
714.1	Building Area	182.4	Building Blocks	99.6	Building Area	232	Building Blocks	215.7	Computer	149.4	Building Area	83	Building Blocks	83.1	Building Area
