T1		T2		T3		T4		T5		T6		T7		T8	
132.5	Computer	199.2	Computer	99.6	Computer	83	Computer	99.4	Building Blocks	116.1	Computer	149.5	Building Blocks	182.7	Building Blocks
265.5	Computer	99.6	Building Blocks	83.1	Building Blocks	99.8	Building Blocks	182.8	Building Blocks	116.2	Building Blocks	149.1	Building Blocks	331.4	Building Blocks
182.5	Computer	132.8	Building Blocks	149.6	Building Blocks	132.5	Building Blocks	265.5	Building Blocks	829.9	Building Blocks	132.6	Building Blocks	381.7	Building Blocks
431.6	Computer	215.8	Building Blocks	215.6	Building Blocks	248.7	Building Blocks	99.8	Computer	348.4	Building Blocks	414.7	Building Blocks	132.9	Computer
116	Building Blocks	282.3	Building Blocks	132.6	Building Blocks	464.7	Building Blocks	282	Building Area	315.4	Building Blocks	66.4	Building Blocks	348.7	Building Blocks
82.6	Building Blocks	365.1	Building Blocks	547.6	Building Blocks	149.3	Building Blocks	99.7	Building Area	497.9	Building Blocks	132.6	Building Blocks	115.9	Building Area
215.9	Building Blocks	265.6	Computer	282	Computer	265.5	Building Blocks	82.6	Building Blocks	99.2	Building Blocks	166	Building Blocks	149.3	Building Blocks
331.7	Computer	133	Building Area	232	Building Area	149.4	Computer	116.4	Building Blocks	99.6	Building Area	215.7	Computer	281.9	Building Blocks
132.8	Computer	248.5	Building Area	83.2	Building Area	99.6	Computer	132.7	Building Blocks	115.9	Computer	265.8	Building Area	182.6	Building Blocks
215.7	Building Blocks	99.8	Computer	182.8	Building Blocks	298.5	Building Area	182.5	Building Blocks	199.1	Building Area	99.8	Building Area	497.9	Building Blocks
182.4	Building Blocks	215.9	Computer	332.3	Building Blocks	99.2	Building Area	82.9	Building Blocks	132.9	Building Area	464.7	Building Blocks	165.5	Building Area
215.7	Building Blocks	265.5	Computer	199.2	Building Blocks	132.9	Computer	215.7	Building Blocks	232	Building Blocks	630.8	Building Blocks	282.1	Building Area
647.3	Building Blocks	282.2	Computer	348.4	Building Blocks	149.1	Building Area	381.5	Building Blocks	846.4	Building Blocks	182.7	Building Area	232.3	Building Blocks
166.3	Building Blocks	166.2	Computer	813.3	Building Blocks	248.7	Building Blocks	215.9	Building Blocks	99.2	Building Blocks	83.1	Building Blocks	249.1	Building Blocks
99.7	Building Area	215.7	Building Blocks	331.7	Building Area	215.5	Building Blocks	265.7	Building Blocks	331.9	Building Blocks	1029.1	Building Blocks	199.1	Building Area
83	Building Area	315.4	Building Blocks	149.1	Building Area	315.2	Building Blocks	132.6	Building Blocks	116.2	Building Blocks	132.8	Building Blocks	215.9	Building Area
299.1	Building Area	315.6	Computer	216	Building Area	149.2	Building Blocks	232.5	Building Blocks	149.4	Building Area	83	Building Blocks	99.6	Building Blocks
149.5	Building Area	215.9	Building Area	100	Building Blocks	232.5	Building Area	116	Building Blocks	232.3	Building Area	431.5	Building Blocks	713.6	Building Blocks
132.8	Computer	331.5	Building Area	232.3	Building Blocks	232.4	Building Area	315.3	Building Area	199.2	Building Area	282.1	Building Blocks	398.3	Building Area
99.4	Building Area	82.8	Computer	282.4	Building Blocks	116.4	Building Blocks	215.6	Building Area	431.8	Building Blocks	116.2	Building Area	580.8	Building Area
116.2	Building Area	82.9	Computer	149.3	Building Blocks	182.4	Building Blocks	149.2	Building Blocks	580.9	Building Area	116.1	Building Area	1908.3	Building Area
498.1	Building Area	99.7	Building Blocks	331.9	Building Area	480.9	Building Area	282	Building Blocks	116.4	Building Area	99.6	Building Area	265	Building Blocks
83.3	Computer	298.7	Building Blocks	166.4	Building Area	83.1	Building Area	215.3	Building Area	481.3	Building Blocks	498	Building Blocks	198.9	Building Area
133	Computer	116.6	Building Area	613.8	Building Area	82.5	Building Area	431.5	Building Area	83.1	Building Area	149.4	Building Blocks	132.8	Building Area
298.7	Computer	116.2	Building Area	846.4	Building Area	99.2	Building Blocks	580.9	Building Blocks	99.7	Building Area	215.6	Building Blocks	514.1	Building Area
182.5	Computer	862.9	Building Area	331.9	Building Area	448.5	Building Blocks	199.1	Building Blocks	365.6	Building Area	149.7	Building Area	116.1	Building Area
149.8	Computer	66.5	Building Blocks	248.9	Building Area	99.7	Building Area	132.5	Building Blocks	2240	Building Area	398.3	Building Area	282.1	Building Area
199.1	Computer	414.6	Building Blocks	564.2	Building Area	149.4	Building Area	431.7	Building Area	663.4	Building Area	265.2	Building Blocks	99.6	Building Area
215.6	Computer	298.6	Building Blocks	83.2	Building Area	514.4	Building Area	315	Building Area	331.6	Building Blocks	199.1	Building Blocks	149.5	Building Area
199.1	Computer	381.9	Building Area	497.6	Building Area	912.2	Building Area	315.5	Building Area	132.5	Building Area	232.5	Building Blocks	630.5	Building Area
116.1	Computer	99.4	Building Area	597.8	Building Area	3369	Building Area	1659.2	Building Area	133.3	Building Area	149.1	Building Area	265.3	Building Area
182.4	Building Area	680.2	Building Area	697.1	Building Area	99.7	Building Area	381.5	Building Area	315.5	Building Area	514.5	Building Area	149.1	Building Area
614	Building Area	613.6	Building Area	1377.1	Building Area	232.3	Building Area	2174.1	Building Area	365.3	Building Area	796.2	Building Area	779.6	Building Area
149.6	Building Area	82.8	Computer	166	Building Area	365	Building Area	165.8	Building Area	464.8	Building Area	215.7	Building Area	215.7	Building Area
115.7	Computer	99.6	Computer	216	Building Area	332	Building Area	99.6	Building Area	182.7	Building Area	680.6	Building Area	1493.4	Building Area
132.6	Computer	332	Computer	215.7	Building Area	2721.4	Building Area	165.9	Building Area	149.4	Building Area	249	Building Area	199.1	Building Area
182.4	Computer	132.9	Computer	232.5	Building Area	746.8	Building Area	132.8	Building Area	99.5	Building Area	1145.1	Building Area	215.7	Building Area
149.6	Building Blocks	99.5	Computer	564.3	Building Area	647.4	Building Area	2074	Building Area	116.4	Building Area	116	Building Area	132.7	Building Area
166	Building Blocks	132.8	Building Blocks	1111.9	Building Area	265.8	Building Area	99.6	Building Area	249	Building Area	232.5	Building Area	132.7	Building Blocks
182.4	Building Blocks	182.3	Building Area	82.9	Building Area	82.8	Building Area	99.5	Building Blocks	431.4	Building Area	232.5	Building Area	232.4	Building Blocks
464.9	Building Blocks	132.5	Building Area	580.9	Building Area	149.5	Building Blocks	149.6	Building Blocks	1111.8	Building Area	115.9	Building Area	149.3	Building Blocks
132.7	Building Blocks	299	Building Area	547.6	Building Area	282.1	Building Blocks	663.5	Building Blocks	149.3	Building Area	149.2	Building Area	82.8	Building Blocks
182.7	Building Blocks	481.3	Building Area	331.8	Building Area	332	Building Area	82.8	Building Area	232.3	Building Area	215.9	Building Area	116	Building Blocks
99.6	Computer	133.2	Computer	680.6	Building Area	1510	Building Area	1261.3	Building Area	713.6	Building Area	680.5	Building Area	166.3	Building Area
199.3	Computer	215.6	Computer	165.7	Computer	381.6	Building Area	929.3	Building Area	846.3	Building Area	1228.1	Building Area	149.8	Building Area
813	Building Area	514.6	Building Area	365	Computer	149.3	Building Area	182.7	Computer	215.7	Building Area	115.9	Building Area	265.5	Building Area
132.8	Computer	116.5	Building Area	199	Building Area	365.1	Computer	199.3	Computer	83	Building Area	199.1	Building Area	83	Building Area
149.7	Building Blocks	414.7	Computer	116.6	Building Area	166	Computer	82.9	Building Area	265.5	Building Area	82.8	Building Area	132.6	Building Blocks
746.8	Building Blocks	115.7	Building Area	99.1	Computer	166.1	Computer	83.2	Building Area	165.8	Building Area	912.9	Building Area	630.2	Building Blocks
332	Building Area	315.5	Building Area	165.7	Computer	265.6	Computer	82.8	Computer	149.4	Building Blocks	381.8	Building Area	99.7	Building Area
547.5	Building Area	216	Building Area	199.1	Computer	83.2	Building Area	199.3	Computer	713.5	Building Blocks	199.1	Building Area	846.3	Building Area
248.9	Building Area	248.9	Building Area	182.5	Building Area	132.3	Building Area	149.3	Building Area	215.7	Building Area	99.6	Building Area	414.9	Building Area
199.1	Computer	299	Building Area	165.6	Computer	116.1	Computer	315.4	Computer	929.6	Building Area	83.2	Building Blocks	249	Building Area
