Participant	P5
T1	CCCBBAAAAAAAACCCCBBAABCACCCBBCCBAAAAAAAAABAAAAACAAABBBCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCBBBAAAAAAAAAAAAACCCCCAAACCBBBBBACCCCCBBAACCCCCBBACCAAAAAAAAACCCCCCCCCBBAAACCAABBAAAAACCCCBBBACCCBBBAAACCCCCCCAACCBBACCCCBBCCAACCAAAAABAAAACCCCCBBBCCCCCBBBAAAABACCCCCAACCCCCBBAAAABAAACCCCCAABBAABAAACCCCBACCCCCAAAAAAAAAAAAWWWWCCCWC
T2	CBBBBAACBBBCCCCBBBAAACCBCCCBBAAAAAAAAAAAAABBAAAAAAAAAAAABAAAACCCCBBBAAAAAAAAACCCBBBBBACCCCCBBBAACCCCBAAACCAAAAACCCCCBBAABBAAAAAACCCBBBAAACCCBAAACCCCCBBACCCCBBBAAAAAAAAAAABAAACCCCBBBAAABAACCCCBBAAAABAACCCCBABAACCCCCBAAAAAWWWCCCCCCWW                                                                                                  
T3	BBBBAABBAABBAAAAAAAAAAAAAAAAABBBAAAAACCCCCCBAAAAAAAAACCCCBBBABBBAACCCCCABBAACCCCBAAAAAACCCCBAAAAAABAAAACCCCCCCCCBBBAAABAACCCCBAAACCCBBBAAAAAAAAAAAAAAAAAAACCCBBAAAAABBAACCCBAAAAAAAAACCBAAAAAAAACCCBAACCCAAAAAAAAWWWCCCCWC                                                                                                               
T4	CBBBBAAABAABBBAAAAAAAAAAAAAAAAAAACCCCCCBBAAAAAACCCCCABBBAABBBAABBAACCCCAAAABAAABBAAAAAAAAAAAACCCCABBBAABAAACCCAACBBAACCCCBBBAAAACCCBBAAACCCCBAAABAAACCCCBAAABBAAAAACCCBBBAAABACCBBAAABACCCCBAAAAAAAAAAAWWCCCCCCCCCWC                                                                                                                     
T5	BBBAAAACCCBBBAAAACCCCBBAAAAAAAAAAAAAAAAAAAACCCBAAAABBBCCAABBAACCCCCBBBBBABBAABCCCCAAAAAAAACCCBAABAAAACCCCBBACCCBBACCCBAAAAACCCCBBBAAABAAACCCCCBBAAABAACCCBBAAABAACCCBAABAAAACCCBAAAAAAAWWCCCCWC                                                                                                                                          
T6	BBBBBAAABBAABBBBBBBBCAAACCCCAAAAAAAAAAAAAAAAAAAAAAAAAABBCCCBBAABAACCCCCCCBBBBBCCCBAABBAAAAAAAAAAACAAAAAAACCCCCBBAAABAACCCCBBBAACCCCBAACCCCBBAAACCCCBBAABAACCCBBAABACCCCBBAAAABAAABBABABAAAAAAAWWCCCCCCCCWC                                                                                                                               
T7	BBBAAABBAAABBBAAAAAAAAAAAAAAAAAAAAAABBACCCBAAAAACCCCBBBBBBBBBBBBBBBBABAABCCCCCAAAAAACCABBAAAAAAACCCCCBBBACCCBBAAAACCCBBAACCCBBAABAACCCBBCBAABBAAACCCCCBAABACCCCBBABABAAAAAAAAAAAACWCCCCCWC                                                                                                                                               
T8	BBCBBAAABAABAABBBAAAAAAAAAAAAAAAAAAAABBABCAAAAAACCCAACCCCCBBBBBBBBAAAAAAAAAAAAAACCCCCCCBAAAAABBBAACCCBBACCCCBBAACCCCBAACCCCBBAAAAABAAACCBBAABBAAACCCBBAABAABABAAABAAAAAAAWWCCCCCWB                                                                                                                                                       
T9	BBBBBBBBBBBBBBBBBAABBBAAAAABBAAAAAAAABBBBBBAAAAAAAABAAAABBAAAAAAAAAABBBABAAACCCCCAABBBBBBBBBBBBAAAAAAAAAAAAAAAABAABAAABBAABBBABAAAAAAAAAAAAAABBBAAAAABBABBBAABBAABAABBAAAAAABAABABAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                               
