Participant	P17
T1	CCCBBBBBBBBCCCCBBBCACCCCCCCBBBBCAAAAACAAAAAAAACCCCBBBCBBCCAAAAAAAAAAAAAAAAAAACCCCCBBBBCAAAACCCCBCAACCCCCCBBBBCAAACCCCBBCAACCAAACCCAACCCCBBCCAAAAAACCCCCCBBAAAACCCCCBBCAAACCCCBBBCAACCCCCBBCAAAAAAAAAAAACCCBBCCBBBAACCCAAAAAAAAAAAACCCCBBCCAAAACCCCBBBCAACCCCBACCAAAAAAAAAAAACCAACCCCCCACCCCAAAAAAAAACCCAACCCCCWC
T2	CBBBBBCCAACCCCCCBBCAAAABBBBCBCAACCACCAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCBCCCBBCAAAAACCCCBCCCCCCCCCCBBBBCCBCCAAACCAAAACCCCCCCCBAACCBBCAAAAAACCCBBCAACCCCCCBBBCABBAABCCBBBCAAAAAAACCCCBCBBCAAAAAAAAAAAACCCCBBBBCCCCAACCCCCCBBCAACCCBBAAACCACCAAAAAACCCCCCCWWC                                                      
T3	BBBBCAACCCCBBCAAAAAABBCCCCAAAAAAAAAAAAAAAAAAAAAAACCCCBBACCAAACCCBBBCCCCCCCBBCABCCACCAACCCCCBBABBBAAACCCCCCBBBBCAAAAAAACCACCCCCCBBBBBAAAAAACBBBCAAAAAAAACCCBBAAAABCCBBACCCBAAAAAAAAACCCACCCCAAAAAAAAAAAAAAACCCCWB                                                                                                
T4	BAACCCCBCAABACCCCAAAAAAAAAAAAAAAAAACCCCCBBBCCCBAAAAAAACCCCCCCBBBBCCCBBAAAAAACCCAACCCCCCBBBBAAAAABCCACCCCCBBBBCCCAAAABBBCBACCCAACCCCCCCBBBAAAAAAAABBAAAAAAACCCBBAAAAABBAAACCCBAACCCAAAAAAAAWCCCWC                                                                                                                
T5	CBAAACCCCBBBAABBBBCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBAAAAAACCCCCBBBBBCCBCBBACCAACCCCAAAAACCCCCBBAAAAAAAABBBCACCCCBAAACBBCBBAAACCCCCBBAAAAAAAAAAAAABBCAAAAAACCCBBAABBACCCBBAACCCCAACCAAAAAAAAAWCCCWB                                                                                                      
T6	AACCCCBBCAAABCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCCBBBBACCBBBBCAACCCCAAAACCCCCCBBBCCBBBBBBCBBBCACCCCAAACAAACCCCCBBBCAABCAACCBAAABCCCCBBBBCAACCCCCBBAAAACCBBABAACCCCCBBAABCCAABBCCCCCCCAAAAAAAAWCCCCWC                                                                                                     
T7	BBCBBCCBCCABBCAAAAAAAAAAAAAAAAAAACCCCBBABAAAAAACCCBBBBCCBBAAACCAAAAACACCCCCBBBAAAAAAACBAACCCCBBBCAACCBBCCAAACCCCBBCAAAAACCBCAAAAACCCBAABAACCCBAAAAAAAAAAAAAAAAAAAAAAAAWWWCCWC                                                                                                                                   
T8	BCCCCBBBCBCCCBCCCABBCAAAAAAAAAAAAAAACCCCBAAAAAAAAACCCCBBBBCCAAAABCAACCCCCBBCAAAAACCBBAACCBBBCAABBBBCAACCCCCBBBAAAABAAAACCACCCCBBBBABBBAAABCCCCCCCCCCCCCCCCAACCCCAAAAACCCCWB                                                                                                                                     
T9	BBBCCABBBAAAAAAAAAAAAAAAAAAAAAAAAABAAAABBBBAAAABBBBBBBBBBBBBBBBBAAAAAAAABBBBAAAAAABBBBBBBBBBBBAAAABBAABBBBAAAAABBBBBBAAABBAABBABBBAAAAABABBBBBABBABBBBBBABBBBBAAAAAABBBBAABBBBBABBBAAAAAAAAAAAAA                                                                                                                
