Participant	P9
T1	CCCCBBBCCAACCCCCCCCBBBBCCAAACCAACCCCCCBBCCCAAAAAAACCAAAAAAAAAAAACCAACCAACCCCBBBBCAAAAAAAAAACCCCCCCACACACCBCCCACCCCCCBBBCCCCAACCBCAAAAAAAAACCCCCCCAACCCCCCBBAAAAAACCCCCBBACCCAACCCCBBBBBACCCAAAACCCCCABBCAACCCCCCCBACCCCAAAAAAAAAAAAAAAAACCCCBBBBCCCACCCCACCCCCCCCACCBBCCAACCCACCCAAAAAAAAAAAACCCCCCCCAACCBBBACCAAACACCCCCCCCCCCCAACCCCCCCCCCCCCAABBCCCCCCACCCABBCACCCCCCBBCCACCAAAAAAAAAAAAACCCACACCCCCCCACCCCCAAAAAAAAAAAACCAAAAACCCCACCCCCCCCCACCCCCCWC
T2	CBBBCAACCCCCBBCAAAACCAAACCCCBAAAAAAAAAAAAAAACCCAAAAAACCCCCBBBAAAAAACCCCCCBACCCCCCBBAAACCCCBBCCAAAAAACCCBBBAAAAAAACCCCCCCAACCBBBCCAACCACCCBCACCCCBBACCCCCBBCCAAAAAAAAACCCCBBAAACBBAAAACCCBBAACBBAAACCCCAABBCCAABAACCCCCCCBAAAACCCAAAAAAAAAAACCCCWC                                                                                                                                                                                                        
T3	CBBBBCCCCCCCBCAACCCAAAAAAACBBCACCCAAAAAAAAAAAAAAAAAAAAAAAACAAACCACCBBBAAAAAAAAAACACCCCCBBAAACCCCCBBBACCCBCCAAAACCCBAAAAACCBBBAACCCBBBCACCCCACCCACCCCCCCBBBBCABACCCCCCBBBBCAAAACCCBBAAAACCCCCCBBAAABAAAAAAAAAAAAACCCBAAAAAAAAACCAAACCBBBCBBACCAAACCABACCCCAAAAAAAACCWC                                                                                                                                                                                    
T4	CBBBAAAAAAAAAAAAACCCBAAAACCCBBBAAAAAAAAAAAAAAAAAAAAAAAACCAACCCBBAAAAACCCCBBACCCBBAACCCCCBCCCCAAAAAACCCBBBAAAAACCCCBBACCCCBBBCACCCCBBBACCCCBBAAAAACCCBBAAAAAAAACCCCBBCAAAACCCCBBBAAAACCCCBAAAAAAAAAAAAAAAAAAAAACCCCAAAAAAAACCCWC                                                                                                                                                                                                                          
T5	BBBBAAACCCACCBBBAAAAAWWCCAAAACCCCCCCCCCCBCCAAAAAAAAAAABBAACCCCCCBBBAAACCCCABBBACCCBBCCCCCBAAAACCCCCBBAAAAAAACCCCBBBAACCCCBBBBBACCCCBBBBBAAACCCBBAAAAAAAAABCCCBBAAAAAAAAAAAAAACCCBBAAAACCCBBBAAAACBAAACCCAAAAACCCWC                                                                                                                                                                                                                                       
T6	CCBBBBAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAACCCBBBAAAAAAAAAAAAACCCBBBBAABCCCBBACCCBAAAACCAAAACCCCBAAABBAAAABBBBBCBBACCCAABBAACCAAACCCCBBACCCBAACCAAACCCCCBBBAAAAAAAAABAABBAAAABBCCCCBAAABBAABBAAABBAAAAAAAAAAAAAACCCCCCWB                                                                                                                                                                                                                                    
T7	BBBBAABBAABBBBBBAABBCCAAAACCCWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWCCCCCCCCAACCAACBBAAAAAAAAAAAAAAAAAAAAAAAABBCCBBBAACCCACCAAAAAAAAAAACCCCCBBBBABBBCAAACCCCABBCACCCAAAAAAACCCCCCBBBAAAAAABBAAAABBBBBBBBBBCAABBBBAABBBACCCAAACCCBBAAACCCCBBBAABBAAAAABBBBBCCCCBBAAAAAAAAAAAAACCCBBAAABBAAABBAAABAAAAAACCCCCCCCCWB                                                                                                                                        
T8	BCCCBBCAABBBAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAABAAAAACCCCCCCCABBABBBBBABBAAAAAABAABBAAAAAACCCCCBBBBBBBBAAAABBBAAABBBBAABBBAACCAAABBABBBBAAAACCCCCABAAAAAAAAAAAAAABBBBAAACCBBAAAAAAAAAAABBAAAAAAAAAAACCCCCBBBBAAAAAABBBBBBAABBAAAABBBAAABAACCCCAAAAAAAAACAAACACCWB                                                                                                                                                                             
T9	BBBBBBBBBBBBBBBBBBBBAABBBBAAAAAAAAABBBAAAAAAAAAAAAAAABBBBBABBAABBBBBBBBABAAABBAAAAAABBAABAAABBAAAAAABBBABBBABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAABBBAAAAAAAABBBBBAABBAAAAAABBBBBBBAAAABBAABBAAABAAAAAAAAAAA                                                                                                                                                                                                                                      
