Participant	P18
T1	CCCCBBBBCCCCCCAACCCCCCAAAACCCBBBBACCCAAAACCCCCBBBBCCAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCBBBAAAACCCCCBCCABBBCCACCCCCBBBBAACCCCCBBAAACCAAAAAAAACCCCAACAAAACCAAAACCCCBBBBCCCAACABABBBAAACCCCCCBBAAACCCCCBBBACCCCBBBACCCAAACCCCCBBCAACCBBCCAAAAAAACCCCCBCCCCBBBAAAAAACCCCCCCCBBAAAAAAAAAAAAAAACCCCCBBBCAAAACCCAAACCCCCBCCCAACCCCAAAAAAACCCAAAACCCAACCCAAACCCAAAAAAAACCAAAAAACCCAACCCCCCCCCCCCCAAAAAAAAAACCCCAAACCAAACCAAAAAAAAACCCAAAAAACCCCAAAAAAAAACCCCCCBBAACCCAACCAAAAAAAAAACCCAACCCCAAAAAAACCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
T2	BBBCCAAAACCCCCBBCAAAAAAAAACCCBACCCCAAAAAAAAAAAAAAAAACCCCBBBAACCCAAAAACCCCBBBBCCCCCCBBACACCCCBBCCAAAACCAAACCACCCAACCAACCBBAACCCABBAACCCCCBBBBAACCCBBCACCCCCCBBACCCAAACCCAAACACCCCBBACCCCCCAAAAAAAACCCCCAABBBBCCCCCCAAAACCCBBBBAAAAAAACCCCBAACCCCAABBAAACCCCCBBCCCAAACAACCCCBAACCCCCACCAAAAABCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
T3	CCCCCCCCCCBBBCCCAACCCBBCAAACCCBBAACAAAAAAAAAAAAAAAACCCBBAAACCAAAAAAACCCCCBBCCCCCCBBBACCACCCBCCCAAACAACCCCBBCAAACCCCBBACCBBACCCCAACCCCBBBAAACCCCCCBBAAAAAABBACCBBCCCCAACCCCBBBABBACCCCCBBBAAABBBCCCCCCAAAAAAAAAAAWCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
T4	BABBBBBABBBACCBBBCCBAAAAAAACCCBCAAAAAAAAAAAAAAAACAAACCCCBBBCAAAACCCCBBBBCCCCBBBAAAACBAACCAAAACCCCBBBBAACCAAACCCCBCCACCCCBBCAACCCBACCCCCCBBAAACCCCBBBBAAAAAAACCCBBBBAABBCCCAAAAAAAACCCCBAAACCCCAAAAAAAAAAWCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
T5	CBBBCAACCCBBBAAACBCCCCBBAAAAAAAAAAAAAAAACCCCBBBBBBAACCCAAAACCCCBBBBCCCCCCBBCAACCBAAACCAACCCBAACCBBCAACCCBBBCACCCBCAACCCBBAAAAAAACCBBAAACCCBAAAAAACCBBCCCAAAAACCCCBAACCCAAAAAWCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
T6	BBBCCCABCCCBBBAAAAAAABBBBCCCCAAAAAAAAAAAAAACCCBBBBAAAAACCCCBBBBCCCCCBBACACCCCCBBCAACAAACCCCBCCAABBAACACCCCBBBCCAACCCBBAACCCCCCBBAAACACCCBBAAAAAACCCBBAAAAAAAACCCBBAAAAACCCBAAACCCCBAAAAAAAWCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
T7	BAAAAACCCBBAAAAABCCCBBAAAAAAAAAAAAAACCCCCBBBBCAAAACCCCBBBBCCCCCCBBCACCCBAAAAAACCCBBBAACCCBBBCACCBBACCCCBAAAAACCCBBAAAAAAACCBBABAACCCBBAABBAAAACAAACACCCCCAAAAWCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
T8	BCCAACCCCBBAAABBAAAAAAAAAAAAAACCCCBBBBBAAAAACCCBAAACCBBAACCCBAAAACCCCBBBACCCBBBACBBACACCCBBBBAACCBBCAAAAACCBBAABBAACCCBBABBBAAABAAACCCCCCCAAWCCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
T9	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAABBAAAAAAAABBBAAAABBAAAAAAAAAAAAAABAAAAAAAAABBAAAAAABBBBBBBBBAABBBBBBBBBBBBBBBBBAAAABBBBBBBBBBBBBBBBBBBAABBAAABBAAAAABBAAAABBBAAAAAABBBBAAAABBBBBBAABBABBBBBAAAABAABBAAABAAAAAAABBBBBAAABBAAAAABBAABBABBAAAAAAABBBBAAACCCCCBBBBBAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAABBAAAAAABBBBBAAAAAAAAAABBBBBABBAABBBBAAABBAAABABBBAAAAAAAAAAAAAABBBBBBAAAAAABBBAAAABBAAAABBAAAABAAAAAAAAAAAAABBAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAW
