Participant	P8
T1	CCCBBBBAAAAAAAAAAACCCCCBBBBCCCCCCBBBCCAAAAAAAAAACCCCCCCBCCBAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAACCCCCCCBBBBBAAAAAAAACCCCAABABBBCAACCCCBBCBAAACCCCCBBCCAABAAAAAAAACCCCCBBBBCBBBAAABBAAAAAAAAACCCCCBBAAACCCCBBBCAAAAACCCCCAABBACCCCCCBBCAACAAABBAAAAAAAAAAAACCCCCCCBAACAAAAABBAAAAAAACCCAAABAAAAAAAAACCCBBAAABAAAACCCBAAAABBCCCCCCBBAAAAAAAAAAAAAACCCCCWC
T2	CCCBBBBCAAAAAACCCBBBAAAAAAAAACCCBBCCCBAAAAAAAAAAABBAAAAAACCCCBBBBCCAAAAAAAAAAAACCCABBBBBBCACCCCCBBAAACCCBCAAAACCCBBBAAAAAACCCCBBAACCCCCCCBBBBCAACCCCBAAACCCCCBBBAAAAAAAAAAAACCCCBBBAABBAAAACCCCBBBAABAAACCCCCCCBBCAAACCCCCBAAACCCAAAAAAAAAAAAAAAAAAACCCAAAWWC                                                                                        
T3	BBAAAAAAACCCCCBBBAAAAAAACCCBBBCCAAAAAAAAAAAAAAAAAAAAABAAAACCCCCBCAAAAAAAAAAACCCABBBBBBACCCCCBBBBAACCCCCBAAAACCCCCBBBAAAACCCCBBBAAACCCCCBBBAAACCCCCBBBBAACCCBBAAAAAAAAACCCCBBBAAAAAAAAAAAAACCCCCCBAAAAAAAACCCCBBBAAACCCCBBACCCAAAAAAAAAAAAAAACCCCCWC                                                                                                  
T4	CBBAAAAAAACCCCCBBAAAAAAAACCBBBAAAAAAAAAAAAAAAAAACCCCBBAAAAAAAAACCCCCBBBBBACCCCCBBBAACCCBCAAAAAAAACCCCBBBAAAAAAAACCCCBBBBBBAACCCCCBBAACCCCCBBAAAACCCCCBBBAAAAAAACCCCCBAAAAABAAAAAACCCCBBAAACCCCCBAAABBACCCCCBACACCCAAAAAAAAAAAACCCCCWC                                                                                                                
T5	BBBAAACBBCCCAAAAAAAAABBBBCCCAAAAAAAAAAAAAAAABBCCCCCAAAAAAAAAACCBBBBBBBBAAACCCAACCCBBAAAAAAAACCCCCBBBBAAAAAAACCCBBBACCCCBBCCCAACCBBBBAAACCBBCCAAAAAAAAAAACCCBBBAAAAAAAAACCCCBBAAAAAAABABBABACCCCCCCCABBAAAAAAAAAAAACCCCCCWC                                                                                                                           
T6	CBBBBBBBAAABBAAAAAAACCCCBBBBBAAAAAAAABAAAAAAAABBAAAAAAAACCCCBBBBCABBAABAAAAACCCCCCCBBBAABAAACCCBBBACCCCBBAACCCCBAAACCCBBACAAAAAAAAAACCCBBAABBBBAABBAAABBAAAABBAAAABABAAAACCCCCAAAAAAAAAAAAWWCCCCWC                                                                                                                                                   
T7	BBCCAAAAAABBBBBAAAAAAAABBAAAAAAAAABBBAAAAABBAAAAAAAAABBBBCCCCCCBBBBABBBAABAAAAAABCCCCCCCBBBBAAAABBABBBBAAAABBAAAAACCCCCCCCBBAAAAABBAAAAABBAAABBAAAAACCCBBABABABAABAAAAAAAAAAAAAAAAAAAAACCCCCAAAWWWC                                                                                                                                                  
T8	CBBBAABBAAAAAAAAAAAAABBAAAAAAAAAAABBBAAAAAABAAAAAAAAAABBBBBBABBAAABAAAAAAAAAAAAAAAABBAAAAAAAABBBBBAABBBAAABBBAABBBAAAAAAAAAAAAAAAAABBBBAAABBABBABABAABBAABAAAAAAAAAAAAAAAACWWCCCCCCCCCWB                                                                                                                                                             
T9	BBBBBBBBBBBBBBBBBAAAABBAAAAAAAAAAABBAAAAAAAAAABBBBAAAABAAAABBBBAABBAAABAAAAAAABBAAAABAAAAABBBBBBAABAAABBAAAABAAAAAAAAAAAAAAAABBBAAABBAABBBABAABAABAABAAAAAAAAAA                                                                                                                                                                                      
