Participant	P28
T1	CCBBBBCCACCAAACCCCCCCCBBBBCCBCAAAACCCCCAAACCBBBCAACAAAAAAAAAAAAAAAACCCCCBBBAACAAACCACCBCCCCCCCCAAACCBBBBCACCCCCBBACCCBCCAAAACCCCAACCCCBBBCCCAAAAACCCCCBBBBACAACCCBBAAACCCCCBBBAACCAACCCBBBAACCAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBCCACBBBAAAAAAAACCCCCCBBBBBCABBBBBBACCACCCCCCCAAAACCCCCAAAABBBBBCCCACCAAAACCCCCCCCCCCCCCCAAACCCCCCAAACCCCAAACCCCCCCBBBBBBCCCAAACCCCCCCAAACCCCBBBBBBBBBCAAAAAACCCCCCCAAACCCACCAAAAACCACCACCAAACCAAACCAAAACCCCCACCCCACAAAAAAAAABBBBAAACCCCCAAABBBBAAACCCCCCAABAAACCCCAAAAAAAACCCBBACCCCBACCAACCCACCCAAACCAAAACCCCCWC
T2	CCBBBACAACCCBBBAAAABBBBAACCCCAAAAAAAAAACCCCCCBBAACCCCCCBBAAAAACCCCBAACCCBBCCBBAACAAAACCCAACCCCBBAAAAAAAAACCCCBAACCCCBAACCCCBBBAACCCCCBBAACCAAAAAAAABBBBCCCAAAAAACBBBCCCAAAAAABCBBBBBBBCCCBBAAACCAAAACCCCAAAAAAAAAAAAAAAAAAAAAAAAACCCCAAAACCCCACCWC                                                                                                                                                                                                                                                                                                  
T3	BBAAAAABBBAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCABBAAABBAAAAAAAAAAAAAAAAACCCCBBBAAAACCCBABBBBBCCAACCBBBBCCCAAABBBBCCCBBAAACAAABBBCCCCBBBAAAAAAAAACCCAAACCCBBBAAABBBBACBBACCCCAAAABBCCCBBBBAACCCCBBAAAACCAAAAAAAAAAAABBBBBBBBBCCCCCBBBBAAAAABBCCCCCCCAAAABBAABBBBBCCCCBBBBBAAAABAAAAAAAAAAAAACCCCCAACCACWC                                                                                                                                                                                                                                  
T4	CBBBAABBBABBBBAAAABBAAAAAAAAAAAAAAAAAAAABBBBCCCBBAAAAAAAAAABBBCCCCAABBBBBBBBBBBBBBAAAAAAACCCCABBBBBBBBBABBABCCAACCCCCABBBBBBAABBBBBAABBBCCCBBAAAACCBBCAAABBBCCCCBBAABBCCCCCAAAAAAAABBBCCCCAAAAAAAABBBBBBCCCAAAAABBBBBBCCCAAAAAAAABBACCCAAAAAAAACCCCCCWC                                                                                                                                                                                                                                                                                             
T5	CBBBAAAAABBBBBBBBAAAAAABBBAAAAAAAAAAAAAAAAAAAABBBBBABBBBBBCCCCBAAAAAAAABBAABBBABBBBBAAABAAAACCCAABBBBBBAABABBAAAAAAAAACCCCCCABBAAAABBBACCCCBBBBBBBBCCCCBBACCAACCAAAABBBAAAAAAABBBBBBBAABBAAAABAAAAAAAAAAAAAAAAAAAAACCCCCCACWB                                                                                                                                                                                                                                                                                                                       
T6	BBBAAAABBAAAAABAABBBAAAAAAAAAAAAAAAABBBBBBCCBBBBBBAAAACCCCABBBABBBAABAAAAABBBAABBBAAABBBAABBBBACCCACCCCABBBAABBBAAAACCCCBBBAAAABBBBAAAAABBBAAABAAAAAAAAAAACWCCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                
T7	BBABBBBBAABAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAABBAAAAAABBBBBABBABBBABAAAAAAAAAABBBAAAAABAAAABBBABBABBAAABBAAAAAAAAAAAAAAAAAAAAAABBBAAAAAABBBAAABBBAAAAAAAAAAAAACWCCCCCCCCCWB                                                                                                                                                                                                                                                                                                                                                                         
T8	BBBBBAACCCBBAAAAAAABBBBAAAAAAAAAAAAAAAAABBBABBAAAABBBBBBBAABBBBBBAAAAABABBAAAABBBAABBAABBAAAAABBBAAAAAAAAAAAABBBBAAAAAAAABBBBBAABBAABAAAAAACCCCCCCCCWB                                                                                                                                                                                                                                                                                                                                                                                              
T9	BBBBBBBBBABAAABBBBBBAAABBBBAAAAAAAAAAAAAAAAAABBAAAAAABBBBBBBBBAAAABABBBBAAABAABBABBBBAAAABBAAAAAAAAAAAAAAAAABBAAAABBBAABAAABAAAAA                                                                                                                                                                                                                                                                                                                                                                                                                   
