Participant	P2
T1	CCCCCCBBCCCCACCCCCAACCCCCBCAAAAAAACCCCCCBBCCBBAACCACCAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBCCAAAAAAAACCCCCCCCACCACBBBBACCCCCCBBBBBCAAAAAACCCCCCBBAACCCCAAAAAACCCCCCBBBBAABBCAAAAACCCCCCBBBACCCCCCCCBCAACCCCBBBAAAACCCCCCCBBCCAAACCAAACCCCCCACCACCCCBBBAAAAAAAACCCCCCCBBBCCAAAAAACCCCCCCBBAAACAAAAACCCCCBACCCCAAACCCCCCCCCACCCAAAAAAAACAWWACCCCCCCWC
T2	CCBBBBBBACAAAAAAACCCCCABBBBAAAAAAAACCCCCBBBBBBBCCAAAAAAAAAAAAAAAAAAAAAAACCCCBBBBBAAACCCCCCBBAAAACCABBCCCCBBBBBBCCBCCAAACCCCBCCCAAAAACCCCBBBBBBBBBBBCCCAAAAACCCCCBBBBAACCCCCCBBBBAAACCCCBBBBBAAAACCCCCBBCAAAAACCCACCCCCBBAAABBAAAACCCCCCBBAAAAAACCCCCCCBBBBBAACCCCCCBAAAACCCCCAAAAAAAAAAAACAACCWWWWW                                           
T3	CBBBBBCAAAACCBCBAAAAAAAAACCBBBBAAAAAAAAAAAAAAAAAAACCCCCCBBBBAAAAAACCCCABBACCCCBBBBAAACCCAAAACCCCCBBBBBBBBBAAAAACCCBAACCCCBBBAAACCCCBBBAAACCCCBBBAAAAAACCCBBBAAAAAAAAACCCCBBABAACCCCBBAACCCCCCCBBAAAAACCAAAAAAAAAAAAAAAWWC                                                                                                                     
T4	CBBBBCCACCCBBBBAAACCCBBBAAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBBAABBAAAAACCCBBACCCBBBCAACCBCAAAACCCCBBBAABBBAACCCCCBAACCCCCCBBCCCBAAAAACCCCBBBBAAACCCCCBBBAAAAAAAAAACCCCBAAAABAAAACCCCCBBAAABBAABAAACCCCCACCCBBBBAAACCCBBAAAACCCCCAAAAAAAAAAWWCCCCCCCWC                                                                                              
T5	BBBBBBBAACCCBBAAAAACCCBBAAAAAAAAAAAAAAABAAAACCCCCBBBAABBAAACCCCBBACCCCBBBBCAACCCCCAAAACCBBBBBAAAAAAAACCCCCBBBAACCCCBBACCCCBBAAACCBBAAAAAACCCCBBAABBAAACCCBBBAACCCCCBBBACCCBCCAAAAAAACCCCAAAAWCCCWC                                                                                                                                            
T6	CBBBCAAACCACCCBBAAAAAAAABBBBAAAAAAAAAAABBAAAACCCCCCCBBAAAAAAAAAACCCCBBBACCCCBBACCCCAAACCBBBAAAAAAAABBCCCBBAACCBCCCCCCACCCCABBBCAACCCBAACCCBBBAAAAAACCCCBBAABBAAAACCCCBBBACCBBBBBAACCAAAAAAAAAAAWWWWCCCCWWC                                                                                                                                    
T7	BBBBAAACCCCBBAAAAAACCCBBAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAACCCCBBAABBAAACCCCBACCCCBBBBAACCCAAAAACCBBBAABAAAACCCCBBBBAACCCCBBAAACCCBBBAAAACCCCCBBBBBBAAAAAAACCCBBBAAABBAAACCCBBBAACCCCCBBBAACCCBBAAAAAAAAAWWWWWWCCCCCCCWC                                                                                                                        
T8	CBBBBBBBBBAAAAAACCCCBBBBAABBAAAAACBBBCCAAAAAAAAAABAAAAAACCCCBBAAAAAAAACCCCCCBBAACCCBBBAACCCBAAAAAACCCBBBAABBAACCCCCBBBAACCCBBBACCBBBBAACCCBAABBAACCCCBAABBBAAAACCCCBBBAAAAACCBBBAAACCCAAAAAAAAAWWCCCWWCCCCCWB                                                                                                                                 
T9	BBBBBBBBBABBBAAABBAAAAAAABBBBBBBBBBAAAAAAAAAAAAAABBAAABBBAABBAAAAAAAAAAAABBBBBBBBAABAAAAAAABAABBAAAAAAAABBBBABBAAABBAAABBBBABAAAAAAABBBABAAAABBBAAABBBAAABBAAAAAAAAA                                                                                                                                                                          
