Participant	P16
T1	CCCCCBBBBBBAAACAAAACCCCCCCBBBABBBBAAAAAAAAAAACCCCCCBBBBCCBBBBBBBBCCCCAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAACCCCCBBBBBBAAAAAAAAAAAAAAACCCCCBBBBCACCACCCCABBBAAAAACCCCCCCBBAAAAAAACCCCCCBBACCCAABAAACCAAAACCCCCBBBAAAAACCCCBBBAAACAAAAAACCCBBBAACCCCCCBBBAAAAAAAAAAAAAAAACAACCCCCBBCAACCCCCCAACCAABBACAAAABAAAAAAACCCCCCAABBBCCAAACCACCAAAAAAAABCAAACCBBAAAAACAAAACCCCCBBBAAAAAACCAACCCCBAAAAAAAAAAAAAAACCCCACCCAAACCAACAAACCAACCAAAAAAAAAAAACCCCAAAACCCCCWC                                                                                                                                                                                                                                                                                                                                                                           
T2	BBBBBBCCAAAAAACCCCBBAAAAAAAACCCCBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAACCCCCCCBBBBBAAAAAAAAAAAAACCCCCCBBBBBBAABBCAAAAACCCCCCBAAAAAACACCCCCCBBAABAAACCCBBBAACBBCAAAAACCAAAAACCCCBBBAACCCCBBAAACCCAAAAAAACCCCBBAABCACAAAAAAAAAAAAACCCACCBBBAAAAAAAAAAAACCCCBBBAACAAAACCCCBBAAACCCCCAAAAAAAAAAAAAAAAAAAACAAAAAAWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
T3	CCBBBBCAAAAAAAACCBBBCCAAAAAAAAAAAAABBBAAAAAAAABAAAAAAAAABBAAAAAAAAAAAAACCCCCCCBBBAAAAAAAAAAAACCCCAABBBCAACCCBBBAAACCCCCBAAAAACCCCBBBACAAACCCCCBBAAAAAAAACCBBAAACCCCCCCCBBBBAABBBBBCCAAAAACCAAAAAAACAACCBBAAAAAAAAAAAAAAACCCCBBBBAAAAAAAAAAAAAACCCCBAAAAAAACCCCBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAACCCCCCCCCAAWA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
T4	AAACCCBBBCCAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAACAAAAACCCCCBBBBAAAAAAAAAAAAAAACCCCCABBBBAAACCCCCBAAACCBAAAAAAAAAAAACCCBBAAAAAACCCBBBAACCABBCAAACCCCBAAACCBBAAAAAAAAABBAAAABBAAAACCCBBBAACCACCCBBBAAAAACCCBAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
T5	CBBBBBBAAAABBAAABAAAAAAAABBAAAAAAAAAAABBBAAAAAAAAAACCCCCABAAABAACCCAABBBBBBBBCAABBBBABAAACCCCCCBAAAAAAAAAAAAACCCBBBABACCCBBBAACCCCCBBBAAAAACCCBBABBBBBBBCCCCBBAAAAAABAAAAABBBBAAAAACCCCCBBAACAACCCBBAAACCCBAAAAAAAAAAAAAAAAAAAACCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
T6	CBBAAAAAAAAABBAAAAAABAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACBBBAAAAAAAAAAAAAAACCCBBBBBABBAAABAAAAAAAAAACCCCCBBABAAACCCCBBAACCCCBBAAABBAAAAACCCCBBAAAAAAAAAAABBAAAAAAAAAAAACCCBBBAAAAAABBBAACCCCAABACCCCAAAAAAAAAAAAAAAAAACCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
T7	BBBBAAAABAAAAAABBBAAAAAAAAAAAAAAAAAAABBAAABBBBAAAACCBBBBAAAAAAAAAAABBBBBABBAABBAAAAAAACCCCCCCCBBAABAAAACCCBBAAACCBBAAACCCBBBAABBAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAABBAAAAACBBAAAAACCCCCCAAAACCBBAAAAAAABAAAAAAAAAAAAAAAACCCCCACCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
T8	BBBAABAAABAAAAAABBAAAAAAAAAAAAAAAAAAAABAAAAAAAABBAAAAAAAAAAAAACCCCCBBABBAABAAAAAAAAACCCBBAAAAAACCCCBBCAABAAAACCCCBBBAACCBBBAAAABAAABBAAAAAAABBAAACCCBCCCBBBAAAAABBAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCACCACCCCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
T9	BCBBBBBBBBBBBBBBBBBBBBBBBBBBBBBABAAAAAAAABBBBBBBBBBAABABBBBBBAABBBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBAAABBBBBBBBBBBBAABBBBBBBBAABAAAAAAABBAAAAAAAAABBAAAAABBBBBBBBBBAAABBAAAAAAAAAAAAAAAABAAAABAAAAAABBBAABBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAABBBAAABBBBAAAAABBAAAAAAABBBBBBAAAAAAAAAABABAAAAABBBBABBBBAAAAAAABBBBBABBAAAAAAAABBBAAAAAAAAAAAAABAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAACCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCCCCCAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBABBBBBBBAAAAAABBBBBBBBAAAABAAAABAAAAAAAAAAAAAAAAAAABBBBBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABABABBBAAABAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAA
