Participant	P4
T1	CCCCCCBBBCCCCCCCCCCCCBBCCCAAAACCCCCCCAABBBCCCCCBBCCACCCAAAAAAAAACCCCCCCBBBCCCAACAACCCCCCCCCCBCABBCCCCCCCCCCCBBBCAACCBCCCCCBBAAACCCAAAAACCCCCBBBBAACCCCCCCBACCCCCCCCCBACCCCAACCCBAAACCCCBBAACCCCAACCCAAAACCCCCBBAACCAACCCBBBBCAAAAAACCCCBBCBAACCCCCCCBAAAACCCCAAAAAAAAAACAWWWWWCWC
T2	BBBABBCCCBAAAACCCCCCCCCBBCCAAAAAAAAAAACCCBBBAAAACCCCCBCCCCCCCCBBBCAACCCCCBAAAAACCCCCCBBBBAAAACCCCCCBACCCCCCBBCCCBCCCBCCCCBBBAACCCCCBBBACCCCBBCCCCAAACCCCCCAACCAAAABCCCCCCCCCBBBAACCCCCCCCBBBBABACCAAACCCCCAAAAAAAAAAAAAAAAAAAAAAAWWCCCCCCCCCCCCWC                                
T3	BCBBBAAAACCCCCBBAAAAAAAAAABAAACCCBBAAAAACCCBBBBCCCCBBBAAAAAAAABBCCCCCCAAACCCCBBBACCCCCBBACCCCCCBCAACCCCBBAAAAAAACCCBBBBAABBBBAAAAAAACCCCCCCCCBBBAAAAAAAAAAAAAAAAWCCCCCCCCCCWC                                                                                                    
T4	CBBBBABBBBAABBBBBAAAAAAAAAAABBBBBBBBAAAAABBBBCAAAACCCCCCCCCBBBBBBBBAAAAAAAAAAAAAACCBAAAAACCCCCBBBAAAAABBBAAABBBBCCCCCBBBAABAAACCCBBBBAAAABBBBBBBAAAAACCCCCCCAAAAAAAAAAWCCCCCCCCCCCWB                                                                                             
T5	BBBBBBABAAAAAAABBBBAAAAAAAAAAAAAABBCBBBBBBAAAAAAAAAABBBBBABBBBBBBCCCCCCAABBAAAAABBAAAACCCCCCCBBBBABBAAABBBBBAAAAACCCCCCBAAAAAAAAABBBBAAAABBBBBBBBBBBBAAAAAAAAAACCCCCCCCCCAAAAAAWC                                                                                                
T6	CCCBBBBBBBBABBABBBAAAAAAAAAABBBBAAAABBBBBBBBBBBBBBAAAABBBBAAAAAAAAAAABBAAABBBBBBBBAABBBBBBAAABAAAAAAAAAAABBBBBBBBBABBBBBAAAAAABBBAAAAAAAAABAAAAAAAWWWWWB                                                                                                                         
T7	BBBBABBBBAAABBBBBBBAAAAAAAAAAAAAAAAABBBBBBBABBAAABBBBBBBBBBBBAAABBAAAAABBBBBBBBBAAAAAAABBAABAABBBBBAAABBAABBBBAABBBBBBBBBAAAAAABAAAAWB                                                                                                                                           
T8	BBBBBBBBAAAAAABBAAAAAAAAAAABAAABBBBBAAAAABBBBBBBBBBBAABBBBBBAAAABBBBAAABBAABBBBBBAAAAAAAAAAAABBBBAABBBBAAAAAABAAAAAAAAAAAWB                                                                                                                                                      
T9	BBBBBAAAABBAAAAAAAAAAAAAAABBAAABBAAAAAABBBBBBBAAAAAABBBBBBBAAAAAAAAABBAABBBBABBBBAAAAAAAABBBAAABBBAAAAAAAABAAAAAAAAA                                                                                                                                                             
