Participant	P6
T1	CCCCCCBBBCCCAAACCCAAACCCCBBCBBCCBBBAACCAAAAAACCCBBCCCBBAAACCAAAAACCCAAAAAAAAAAAAAAACCCCCCCBBBAAAAAAAAAAAAACCCCCBCCABBCACCCCCBBCAACCCCBCCCAACCAAACCCCCBBBCCAAAAAAACCCCCCCBBACCCCBCAACCCCBBBAACCCCCACCCBBCAAAAAAAACCCCCCBBCCCAAABBAAAACCACCCCCBBACCCAACCCCBBAACCCAAACCCCACCCCCCAAAAAAACCAAAAAAAAAAACAACCCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                              
T2	CCBBBCCAAACCCCCBBBAAAAAAAAACCCCBBCCAAAAAAAAAAAAACCCCBBBAAAAAAAAAAACCCBBBACBCCCCBBBCCCCABCAAACCCAAACCCCBBAAAAACCCBBBAAAACCCCCBBACCCCBBAACCCBBAAAAAAAAAAAAAAAACCCBBBAAAAACCCBBAAACCCCCBAAAAAAAACCCCBACACCAAAAAAAAAAAAAWCWWCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
T3	CBBAAABCBBCAAAAAAAAACCCBBBAAAAAAAAAAAAAACCCBBAAAAAAAAAAACCCBBBABCCCCBBBBCCBBBBCCCBCCCBBCCACCCAAAACCACCCCBBBBBAACCCBBCCAACCCAAACCCCBBBAACCCCBBBBBAAAACCCBBBCCAABBBBBBBCAAAAAACCCBBBBBBCCAABBABBBCCCAACCACCAACCABBBBBCAACCAAACCAAACCCCBBAACCCCBBBACCCCCBBBACCAAAAAAAAAAAAACCCCBBAAAAABBBACCCCCBBAAAACCCCBBBBCCCACCCCBACCCAAAAAAAAAAACCCCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                  
T4	BBBBACAACCBBBCCCAAAAAAAAACCCCBBBCCAAAAAAAAAAAAAAAAAAAAAAACCCCBBBBAACCAAACCCCBACCCCBBBBBBBCBBBAAACCCCBCCBBAACCAAAAAAAACCACCCCBBBAACCCCBAACCCCBBACCCCBACCCCCBAAAAACCCBBBAAAAAAAAAAAACCCCBBBAABBAAACCCAACCCCBBAACCCCBAAAAAAAAAAAACCCAAAAAAAAAWWWCCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
T5	CCBBBACACCBBCCAAAAACCCBBBABAAAAAAAAAAAAAACCBBBAAAACCCCCCCBAABCCBBBBCAAACCBAACCCCAAACCCAAAAAACCCCBBAACCCCCCCBCBBBBBCAAACCAAAACCCCBAACCCCBABBAAAAAAAAAAAACCBBBAAAAACCACCCCBBBAACCCCBBAAAACCBCAACCAAAAAAAAAAAAAAAAACCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
T6	CBBBCCAACCCBBBAAAAAACCCCCBBAAAAAAAAAAAAACAABBBAAAAAACCCCCCCCCBBBBAAACCCCBBACBBCAAAABBBAACCCCBBBBBACAAAAACCCCCCCBBABBBAAAAAAAAACCCBBBBBAAAAAAAAAAACCAABBACCAACCCCCBBBAAAAAACCCCCCCAAAAAAAAAAWWWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
T7	CBBCAACCBBCAACCCBBBBAAAAAAAAAAAACCCCBBBAAAAAAAAAAACCCCBBBBBBCACCCCBAAAAACCCCBBBAAAABBACBBCBBACCCCCBBWAABBBCAAACCCCCBBAAAAAAAAAABBAAAAACCCCCBBBACCABAABAAACCAACCCCCCCCCAAAAAAAAAAAAAAAAWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
T8	CCCCCBBBBBBCAACBAAAAAAAAAABCAACCCCABBCCCCCBBBAAAAAAABBBWCBBBACCCCCCABBAACACCCCBAAAAACCCCCBBAAABAAACCCCBBBBAABBAAAAAAAAAACCCCCCCCCCBBAAAAABBACCAAABBAAAAAAAABAAAAAAAAAAAACCCCCCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
T9	BBBBBBBBBBBBBBBBBBBBBBBBBBAABBBBBBAAABBBBBBAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAABBBBBBBBBAABBAAAAAAAAAABBBBAAAAAAAAABBBBAABBBBAAAAABBBBAAAAAAAABBAAAABAAAAAAAAAAAAABBBBBBBBBBBBBBBAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAABBBAAAAAAABBAAAAABBBBBBBBBBBBBBBABAAABBAAAAAAAAAAAAAABBBBAABBBBBAABBBBBBBBBBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAAAAAAAAAABBBBAAAAABBBAAAAAAABBBBBBBBAAAABBBBBBBBAAAABBBBBBBBBBBBBBBBBBAABAAAAAAAAAAAAAABBBAABAAAAAAAAABBBBBBAABBAABBBBBBBBBAABBBABBBBBAAABAAAAAAAAABBBAAAAAAAABAAAAAAAAAABBBBBAABBBBBBBBAAAABBBAAABBAABBAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAABBBAAABBBAAAAABBBBAAAAAAAAAAAAAAAABBA
