Participant	P7
T1	CCBBBBCCAAAAAAACCCCCBBCCCAAAACCCCCCBCAAAAAAAAAABBAAAAAACCCCBBBAAAAAAAACCCBBBCCAACCBBBAACCCBCCAAAACCBAABAAAAAACCCCBBAACCCCBBAAAAACCCCCBAACCCCBBBAAAACCCBBCBBCBBAAAABBAACAAAAAAACAAAABABBAAABBAAAACCCCBBBBAAAAAACCCBBAAAAAAAAACCBBAACCCCCAAAAAAAAAAAAAAACCCWC
T2	CBBBBBAACCBBAAAAACCBBAAAAAABAAAAAAAAACCCBBBBAABAACCCBBBAAACCCCCBBBAACCCCBBAAAACAACCCCBBAABBAAAAAAACCBBAACCBBBBAACCCBAAACACBBBAAAACCBAABBBBAACCBAAAAAAAAAABCCCBBAAAACCBAAACAAAAAAAACCCCCAWWCCCCWC                                                           
T3	CCCCBBBBCBABBBAAAACCCCBBBCCCABCBBBBAAAACCAAAAAAAAAAAAAACCCACCCCBBBAAAACCCBBBAAAACCACAAAACCBBCCAACCCCCBAAAAAACCCBBBAABAABBAACCCCBBACCCBBBAAAAACCCBBABBAACCCBBBBAAACCBBAABBBAACBBBAAAAAABBBABBAAAAAABBAAAAAAAAAAAAWWCCCCCCCCWB                               
T4	BBBAAABBBBAAABAAAAABBAAAAAAAAAAACCCCCBBBAAAAACAACCCBBBCCBBBCCACCCBAAAAAACCCBBABBAAACCBBACCBBBBAACCBBAACCCBBBBAAAAAABBAAABBBAABAAAAAAABAAAAAAABAAAAAAAAAAAAAAAAAACCCCCCCCCCWC                                                                               
T5	CBBBBAACCCBCCAABBBAAAAAAABAAABBBAAAAAAAAAAAAAACCCBCCBAAAAAAAAABBAACCBCCCCCBCCAAAACCCBCCCCAAAABBAAACCCBBAABBAACCBBBBBAAAABBBAABBAABBBABBAAAAAAAAAAACCCCCBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWWCCCCCCWB                                                         
T6	BBBCBBAABBABAAAAAAAAAAAAAABBAAAACCBBBCBBBBBCCAAACAAAAAABABBAAAAACCCCBBBBAAAAAABBBBBAABCCCCBAAAAABBABBAAABBAAAAAAABAAAAAAABAAAAAAAAAAAAAAAAAACWWCCCCCCCCCCCWC                                                                                               
T7	CCCBBBAAABAAAABBAABBAAAAAAAAAABBBBBAAAAACCBBBBBAABBAAABBCCCCCCCBBBAAAAAACCBBAABBBABBABAABBAAABBAAAAABBBAAABBBAABBBAAAAAAAAAABAAAAABAAAAAAAAAAACCWWCCCCCCCWB                                                                                                
T8	BBAABBBBAAAAAAAAAAAABBAAAABBBBBBBBBABBAAAABAABBAAABBBAAABAAABBBBAAABBAAAABBAAABBAAAAABBAAAAAABAAAAAAAABBAABABAAAAAAAAAAWWWWCCCCCCCCCCCCCCCWB                                                                                                               
T9	BBBBAABBBAABAABBBAAABBAAAAAAAAAAAAAABBAAAAAAABBBBBBAAAABBBAAAABBAABAAAAABBBAAABBABBBAABBBBABAAAAABBBBAABBAABBAAAAAABBAABAABBAAAAAAAAAAAAA                                                                                                                  
