Participant	P20
T1	CCCBBBCABBCAACCCCCCBBBBCAAACCBBBAAACCCCCBBBBCCBBBBBBBBCCCAACCAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBBBBBBBBBCCCBBACCACCAAACCCCAAAAAAAAACCBBBBBCCCAACBBCCCCCCCBBCAAABABBBBAACCCCCBBBACCAAAAACCCACCAAAAACCCBBCAAACAAAAACCCCBBBBBAAAAACCCCBBBBCBCAAACCCAACCCBBBBACCAAAACCCCCCBBBCCBBCCAAAAACAACCCCACCCAABBBCBBBBACCAAAAAAACCCCBBBBBCCAAAAAAAAAAACCCCBBBBBBBCCAAACCAACCCCCCBBBACCACAACCCCCAACCCAAAAACCCAAAAAAAACCCCWC             
T2	CBBBBBCCAAAAAAACCCBBBBBBCCBCCAAAAACCCBBCAAAAAAAAAAAAAAAACAAAAAAAAACCCBBBBCCAAAACCCCBAACCCBBBBBBCBBCCCBBBBBACAAACCCCBBBAACCAAAACCAACCAACCCBBAACCCBBBBCBAAACCCCCBBBBACAACCCCBBACCAACCCCBBBBBBBCAAAAAAAAAACCCCCBBBBBBCAAAAAAAAAAAACCCCBBBBBCAAAACCCCBBBBCCAAAACCCCBBACCCCCAAAAAAAACCCWC                                                                                                                                     
T3	CBBBCAACCCCBBBBCAACAAAAAAAACCCBAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCBBBBCBBACAAAAACCCCBBBBAAACCCCBBBBAACCCCBBBCCAAAAAAAACCCBBBBAAAAACCCCBBBACCCCBBBBCACCCBBAAACCCCCBBBBBACCAAAAAAAAAAAACCCCBBBCAAAAAAAACCCCBBBBCAAAAAACCCBBBBBBBBCCAAAACCCCAAACCCBBBBAACCCCAAAAAAAAAAAAWWWWCCWC                                                                                                                                                
T4	CBBBBCAAACCCBBBBBBCAAACCCBBBCAAAAAAAAAAAAAAAAAACCCBBBBBCAAAAACCCCBBBAACCBBCAACCCCBBBAAACAAAAAACCCBBBAAAAAAAACCCBBBACCBBAACCCCBBBACCCACCCCCBBBBBACAAAAAAAAAAACCCBBBACCAAAAAAACCCBBBBACAACCCCBBBBBCAAAAAACCCCCBBBACCAAAAAAAAAAAAAAAAAWWWCCWC                                                                                                                                                                               
T5	CBBBBBBCCAAACCBBBBBBBBBCABBBBBCCCBBAAACCCCAAAAAAAAAAACAAACCBBAACCAAAAAAAAAAAAAAAAAACCCCBBBBCAAAAAACCCCBBBBACCCBBBAACCCCBBAAAAAAACCCCCCBBBBBAAACCBAAACCCBBBAAAACCCCBBBAACCCBBBBBAAAAACCAAAAACCCBBBCAAAAAAAACCCCBBBBAAAAACCCCBBBCAAAAAAACCCCBBBBACCCAAAAAAACCCWWWWWCWWWCCCCCCCWC                                                                                                                                           
T6	CBBBCAAAACCBBBBBCBBCBBAACAAAAACCBBBCCCBBBBBBBCAAAAAAAAACCAAAAAAAACCCCCCCCCBBCAAAAAACCCCCAAABCAABBBCBCCBBBBCCBBBBCCBBCCCBBBAACCAACCCBBAAAAAACCCCBBBBABBAAACCCCBBBBAAABBACCCCBBACCCCBBBBCAAAAAAAAAACCCCBBAAACCAAAACCCCBBBAACCAAAAACCCCCBBBBAAACAAAACCBBBAACCCCAAAAAAAAAWWWWWWWWWWCCCCCCWC                                                                                                                                  
T7	BBBBCCBAACCBCBBBCAAAACACCCBBCAAAAAAAAAAAAACCCCCBBAACACCCBBAACCBBBBAAACCBBAAAAACCCBBBBAAAACCCBBBAACCCBBBBBBACCCCBBBBAACCCBBBBAACAAAAAAAAAAACCBBAAAAAAAAAAAAACCCBBBAAAAAACCCCBBBBBAAAAAACCCBBACCCAAAAAAAWWWWWCCCCCCCCWC                                                                                                                                                                                                    
T8	BBBBBCAAABCBCBBBBCAAAAAAACCBCAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBBBAACCAACCCCBBBACCCCBBBAACBBCCAAAACCCCBBBAAAAACCCCBAACCBBAACCCBBBBAACCCCBBBBBACAAAAAAAAAACCACCCBBAAAAAAAAAACCCCBBAAABBACCCBBBAABBBBCAAACCCCBBBBAAAAAAACCAAAAAAAAAAWWCCCCCCWB                                                                                                                                                                                
T9	BBBBBBBAAABAAAABBBBAAAAAAAAABBBAAAABBBBAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAACCBBBBBAAAABAAAAABBBBBBBBBBAABBAAAAAAAAAAABAAAAABBBBBAAABBBAAAAAABBBBBBBAAAABBBBBBBAAAAAAABBBBBAAAAAAAAAAAAABBAABBBBAABAABBBBBAAAAABBAAAAAABBBAAAAAAAAAAAABBAAAAABBBBBAAAAAAAAAAABBBBBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAA
