Participant	P21
T1	CCCCBBBCCBBBBBAAAACAAACCCCCCCCCAAACCCBBBBBBCCACBBAAACCCCBCCCBBCBBBCAAACCAAAAAAAAAAACAAAAAAAAAAACCAAAAAAAAAACCCCCCBBBBBBBCCBBCCAAAAAACCCCCCCAAAABBCBBACCCCCCBBCBBBBAAACCCBAACAAACAACAACCCCBBAAAAACCCCCBBBAAACCCCCBAAAACCCCCCBACAAAAACCCCCCBBBCAAAAABBBAAAACCCCCBBBBCCAABBBBCACCCCBBBAAAAAACBBAACCCBBBCAAAABBAAAACCCCBBBAAAACCCCCCAAAAAAACCCCCCACWC
T2	CBBBBBCAACCCCCBBCAACCBBAAABBBAAAACCCCCBAAAACCAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCBBBBBACCAAAAACCCCBBCCCCCCBBBBBAACCCCBBBBCAAAAAACAAAACCCCCBBAAACCCABBAAAACCCCBBCAAACCCCCCBBBCAAAACCCCBBAACCCCCCCBBBCAAABBAACCCCBBBCAABAACCCCCBBBAAABAACCCCCCCBBAAAABCAACCCCBBBBAAAACCCCAAAAAAAAAACCCAACCCAACCWC                                              
T3	CBBBBBCAABBBBBAAABBBBAAAAAAAAAAAAAAAAAAAAAAACCAACCCACAABBCAAAAAAAAAACCCCBBBABBBBAACCCCCBBAAAAAAAAAACCCCBAAAAAAAAAAAACAAAAAAACCACCCCCABCCAAACCCCCBBAAAAAACCCCBBBACCBBCABAAAAACAACCCBBCAAAABAAACCCCCBBAABACCCCCCCBBBBBBAABBBCAAACCCCBBBBAACCAACCCCAAAAAAAAAAAAAAAAAAACCCCCAACWWWWC                                                                 
T4	CBBBBBBCCAACABBBBAABBAAABBAAAAAAAAAAAAAABBAAAACCCCAACCCCBBAAAAACCCCBBBBBBBCCCBBBAABAAAACCCCCCCCBBBAAAACCCCBAACCCBBBAACCCCBBBBACCCCBBBCCCAAAAABAAAAACCCCCBBBCAAAAABBBBAACCCCBBBBAAACCCCBBAAAAAACCCCBBBACAAAACCCCCAAAAAAAAAAACCAWWWWC                                                                                                              
T5	BBBCAABBBBBBBBBBBBAABBAABBBAAAAAAAAAAAABBBAAACCAACCACCCCAACCCBBBBBBBBABBAAAAAABBAACCCAACCBBAACCCCBBACCCBAACCCCBBBCAABBACCCCBBBAABAACCCBBBBBAAACCCBBBCBBBAAAACCCCBBBACCCAAAAAAAAACCCCCAAAACAACCCWWWWWWWWC                                                                                                                                         
T6	CBBBBBBACAABBBBBAAABAABAAAAABAAAAAAAAAAAAAAAAAAAABBAAACCACCACCCCBBBBAABBAAAAABBAAAAAABBBCCCCCCBBABBAACCCCBAACBBCCCCBBBCAAABAACCBBBAAAABBAACCCCBBBBBBABBBCCCCBAACCCBAACCCCAAAAAAAAAAAAAAAAWWWWC                                                                                                                                                   
T7	BBBBBBBCAABBABBBBBBAAABBBAABBBAAAAAAAAAAAAAAAAAAAAAABBBAAAAAACCCCCACCCCCCBBBBBBBBBBBAAABBAABBABBAABBBBBACCCCCCAACCCAACCCCBACCBAABBBBBBAABAAAABBAACCCCACCBBBCBBBBBAACCBBBBAAACCCBBACCAAAAAAAAAAAAAAAAAWWWC                                                                                                                                        
T8	BBBCBABBBBAABBAABBAAABAAAAAAAAAAAAAAAABBBBBAAAABBAAAAABBAAACCCCCAACCCBBBBBBBAABBAAAAAAAAAABBBAAAAABBABAAABAABBBBABAAABBBABBAACCCACCCCACAACCCCAACCCBBBAABBACCCBBBAAAACCCBBACCCCAAAAAAAAAAAAAAAAACCAAACCCCWB                                                                                                                                       
T9	BBBAAAABBBBAABBAAAABBBAAAAAAABAAAAAACCCCCAAABCCAAAAABBBAAAAAABBBBBBBBBBBBBBBBBBBBBBBBABBBAAAAAABBAAAAABAABBBAAAAAAAABBAABBAAABABBBABBAAAABBAAAABBBBBBBABAAAAAABBBBAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAA                                                                                                                 
