Participant	P27
T1	CCCCCBBBBCCCCBBCCCCAAAAACCCCCCCCAAAAAAAAAAAACCCCCCCCCAACCAAAACCCCCBBBCCAAABBCCAAAACCCCCCCCCAAAAACCCCCCBBCCCCCCAAAAAAAAAAAAAAAAAAAAAAACAAAAAACCCAACCCCCCBBBBBBCCACCCAACAAAACCCCCCCCCCCCCABBBCCCCCCACCCAACCACAAAACCACCCBBBBCCAACCAAACCCBBBBCCCCAAAACAAACCACCBBBBCACCAAAAAAAACCAAACCCCCACBBBAAAACCCBBBBBCCAAACCCCCBBBCAAAACCCCCCBBBBBBCCCAAACCAAAAAAAAAACAAAAAAAACCCBBBBBBCCAABBBBBBBCCCAAAAAACCAAAACCCCACCBBBCCCABBBBBAAABBCAAAAACCCCCCBBBAACAAAAABBBCCAAAAACCCCCBBBBCAAAAAAAAAACCCACCCCACCCACAACCCCAACCACCCCCCCAAAAAAAAACCCAAACAACCCCCCCCCCCCCAAAAAAAWWWWC
T2	CCBBBBBBBBCCAAAACCCCBBBBCCBBBAAACCAACAAACCCAABBBCCAAAAAAAAAAAAAAACAAAAAAAAACCCCABBBBBBCAAAACCCCCCCABBCAAACCCCBBCCCCAAACBCCCCBBBCCCCAACCAAAACCCCBBBBBBCAAAAAAAAAAACCCCCBBBACCCCCBBBCAAAACCCBBBBACCAAAACCCBBBBCCBBCCAAAAAAAAAAAACCCCBBBBBBCAAAAACAAAAACCCCABBBBBCCAAAACCCABBBBBCBCAAAAAAAACCCCCCCBACCAAAACCCCCAAAACCCAAAAAAAAAAAWWWWWWCCCCWC                                                                                                                                                                                                               
T3	CBBBBCAAACCCBBBBBBBBBBBBCCBBCAAAAAAAAAAACCACCCBBCAAAAAAAAAAAAAAAAAAAAAACCCBBBBACBBCACAAAACCCBBAACCCBBBCACCCCBBCCAAAAAAACCCCABBBBBBBACCAAAAAAAACCCBBBACCCAACCCCBBBCAAAACCCCBBBACCACCCBBBBCCBABBBAAAAACAAAAACCCCBBBAAABBAAAACCCCBBBCBAACAAAACCCBBBBBAAACAAACCCBBBAACCAAAAAAAAAAAAAAAAABBBBAAWWWWWWWWWWWWWWWWWWWWWCCAAAAAACCCCAACAAAAAAAAAAACCCACCWC                                                                                                                                                                                                        
T4	CBBBBBCAAACCCABBCCACCBBBBCAACCCABBCBCAAAAAAAAAAAACCAAACAAAAAAAAAAACAAAAAAACCCBBBCAAAAACCCCCBAAACCBCAACCCBBBCAAAACCAAACCCBBBCAAAAACCCCBBACCAAACCCBBCCAAAACCCCCBBBBAACCCCCBBBBBBCCAAAACCAAAAAACCCBBBAAABCCAAAAACCCBBBBBCBBBAAAAAACCCCCBBBABACCAAAACCBBBAACCACCCCCAACCAAAAAAACAACWCCWC                                                                                                                                                                                                                                                                      
T5	BBBBBCACCCBBBBBBCAAAACCBBCBCAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAACCCCBBBBBCAAACCCCBBCCCCCCBBBCCCCBBBCCCBBBBBAAAAAAAAAACCCBBBBAAAAAACCCCBBAAACCCBBBAAACCBBACCCBBBBBCCAAAAAAACCACCCBBBBABAAAAAACCCCBBBBBAACCAAACCCBBBCCBBBBAAAAAAACCCCBBACCCAAAAAAAAAAAAAAAAAAACAAWWWWWCCCCCWC                                                                                                                                                                                                                                                                                
T6	CCBBBBCCAAACCBBBBCBBCCAAAAACCCBBBCAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAACCAAACCCCBBBCCAAAACCCBBBBAACCCCBBCCCCCBBBAAAAAAAAACCCCBBBBAAAAAAAACCCCBBBBACCAAACCCBBACCCBBBBBACCCCBBBBBBCAAAAAAAAAAAAAAAACCBBAABAAACCCBAAACBAACCBBABBAAACCCCCBBBACCCAAAAAAAAAAAAAAAAWWWCWC                                                                                                                                                                                                                                                                                            
T7	BBBBBBBCAAACBCCBBBBBCAAAAAACCCBBBAAAAAAAAAAAAAAAAAAAAAAAAACCCCCBBBBCAAACCCCBAACCCBBBBAACCBBCCAAAAACCBBBBAAAAAAAAAACCBBAAACCCBBAACCCCBBBBAACCCBBBCBBAAAAAACCCBAAABBAAAAAACCBBBCAABAAAAAACCCBBBAABBAACCCBBAAAAAAAAACCCAAAAAAAAAAAAAWWWWCCCWC                                                                                                                                                                                                                                                                                                               
T8	BBCCAACCBCBBBBBCBAAABCCCAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAACCBBBBCAACAACCCBBBAACCBBCBBBBAACCCBBBAAAAACBBBCBAAAAAAAAAAAACCBBBBBBAACCBBBBCCACCCBBBAAACCBBBCAAAAAAAAAACCBBABCCCAAAAACBBBACCAABBBBACCCBBBABAAACCCBBBBAAAAAAAAAAAAACCCAAAAAAAAAAAAAAAAAAACCWWWWWWWB                                                                                                                                                                                                                                                                                              
T9	BBBBBBBBBBBBBBBAABBBBBBAAAAABBBAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAABBBAABAAAAAAAABBBBAAAAAAAABBBBAAAAAAAABBAAAABAAAAAAAAAABAAAAABBBBBBAAAAAAAAAAAAAAAAAAAABBBBBABBBAAAAAAAAAAAAAAAAAABBBBBBBAAABBBAABBAAAABBBAABAABBBBAAABBAAAAAAAABBBAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAA                                                                                                                                                                                                                                                                          
