Participant	P14
T1	CCCBCCCCBBBBCCCBBBBBCAAACCCAACBBBCCBBAAABBCAAAAAACBCBBCBBBBCCAACCAAACAAAAAAACCCAAAACCAAAAAAAAAACCACCCCCCCBBBBBBBCCCBBCCACACCAACCCCCACCBBBBCCAACCCCCCBBCCBBBBBBCAACCCBBBCCAAAAAAAAACAAACCCCCBBBCACAAACCBBACAACCCCBCACCCCBBACACCCCCBBBCBBCCBBBBBCCAACCAACCCCAACCCCBBBBBBCCCBBCCBBBCAACCACCAACCCACBBBCBCBCACAACCBBBBCCBCBCCAACAACCCCCBBBCCCCCACCCCCAACAAAACCCCCCCCCCCAAAAAABC
T2	CBBBCCCACCCCCBBBCCBABBCACCACBBCBBCCCBBCCCACACCABBBAAAAAAACCCCCCCCAAACCCAACCCCCBBBBCCBBACCCBBCCCACAACCACCACCCBBBBCACCCCBBBBBCCCCCBBCCCCACCCCABCCCCAACCCBBBCAACCAAAAAAAAAAAAAAAAAAACCAAACCAAAAAAACACCCCBBBCACCCCCBBBCCAACCCCCCCBBAACCACCCBBBCCBBBCAACCACCCAACCBCBBCAAAACACCCCCBBBCCACCAACACCCCBBBCBAAACCCBBCAACCCCAAAAACCCCCCCAAAAAWWWC                                     
T3	BBBBBCBACBBCCBBCCABCACCBBBCCCAAAAAAAAAAAACCAACCCCBBCAABBCCACCCBBCCCCCBBBBCCCCCBBBCCCAAAAACCCBBAAAACCCCCCBBCCCCCAACBBBACCCCBBCCCAACBCBBCCAAAACCCCBBBCBAABCCACCACCCCCBCCBCBBBAACCCCBBCCBBBAAACCCCBBCCCAACCAAAACWWCCCC                                                                                                                                                       
T4	CBBBCBBBABCCBBCBBBABBACCAACCAAACCAAAAACCAAACCBBBBCCAABBBBAACCCCBBCCCCBBBCBABCCCAACCAACBBBCCCAACCCCCAACBBBCAACBBBCCACCBCCAACCBBBCBCAAACCCCABBBCAABBCAAACCCCBBCCAABCCCAAACCBBCBBBAACCCCCBBBBAAAAAAACWWWWC                                                                                                                                                                   
T5	BBBCCACCCCBBBCCCCBBBCACCCCCBCAAAAAACAAAAAAAAAAAACCBBBCCAACCBBACCCCCBBBCCCCBBBBCABBCACCABBBBACCCBBBAACCCBBCABBBBBCACCBBCCBBACCAACCCCAACCAABBCABBCAACCCBBBCCBCCCCCCAACCBBBBAACCCBBBCCAAAAAAWWWWWC                                                                                                                                                                           
T6	BBACCCCCBBBBBCCBBCABBBCCAAACAAACCAAAAAACAAAAAAAAACCCCCBCCAACAACCCCCCCBBBBBCCCCCBBBCCAAABBBCAAACCABCCBBCACBCAACBBBAACCBBCBCCCAACCCCCACBBCAABCAACCCCBBBBBBCCCCBBABBCCAAAAACCCBBBBACAAAAACWWWCCWC                                                                                                                                                                            
T7	BBCCACCCCBBCCBBBCAABBCBAAAAAAAAAACCCCBBBCCABCAACCCCBBBCCCCCCBBBBCAAACCBBBBAAACCCBBBCACCCCBBBBCCCCABBCCACCCCCBBCACCAAACCCCBBBCABCAACBBCACCBBBCCCAACABBBAAAAAAWWWCCCCCWC                                                                                                                                                                                                    
T8	BBBCCCCCCBBBCABBBCACCCCCBBCAAAAAAAAAACCCBBBCACACCCBBCCCBBBBCBBACCCBBBBAAACCBCCCCAACBBAACCBBBAACCBBBBCCAAAACCCBBCAAAAACCBBCACBBBBCCCCCAAACCBBBBBAAACBBBAAAAAAWCCCWB                                                                                                                                                                                                        
T9	BBBBBBBBBBBBBBBBBBBBBBBBAAAAAABBBBBBBBBBBAAAAAAABBBBAAAAABBBBBBBBBBBBBBBAAAABBBBBBBBCBBBBACBBBBBBBBBBBBAAAAAAAABBBBBBBBBBBBBAAAAAAABBBABBBAABBAAAABAABBBAAAAAAAAAAAAAABBBBAAABBBBAAABBAAAAABBBAABBBBABBBAAAABBBAABAAAAAABBBABBBBAAAAAAABBBBBAABBAAAAAAAAAABBBBBAAAAAAAAABBBBBBAAAAAAABBBBBAAAAAAAAAAAAAABAABBBBBBBBBBAAAAAAAAAAAAAAA                                      
