Participant	P13
T1	CCCCBBBBBCCCCCCBBBCAAACCAAAACCCCCCCCCBBBCCBBCCAACCCAAAAAAAACCCCCCBBBBCCCBBBAACAAAAAAACCCBCCCAAAAAAACCCCCCCBBBBBBBBBACCAACCCCAAACCCCABBBBBACCCAAACCCBCCAACCCCCBBBCCBBBACCCCAAAACCCAAAAAAAAACCCCCCBBBBBCCCACCAAAAAAAAACCCCCBBBCCAACAACCCCBBCCCAAAACCCCBBBACCAAACCCCCBBBBBCCABCCBBBBCCCCAAAACCCAAAAACCCCCBBBBBBBBCBBBBBBBBBBBBBBACCCCBBBBBBBCCAACCAAAAAACCCCBBBBCBBACCACCAAACCACCCBBCCBBBBACCAAAACCAAAAAACCCBBBBBACCAAACCCCCCACCCAAACCAAAAAAAACCCCCCCCCAWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
T2	CCCCBBBBBCCCCBBCAACCAAACCCCBBBCBBBCCBBBAAAACCCAAAAAACCCBBBCCAAAAAAAAAAAACCCCBBBBBBBBCCBBCCAAACCACACCCCCBAAAACCCCBBBBCAACCCBCAAAAACCACCCBBBBAACCCAACCCCBBCAACCCCCBBAAAAAACCCBBCCCAACCAACCCBBBBCCBBBBBCCAAAAACAAACCCCBBBBBBCBBCCCAAAAAAAACCCCBBBBCAACCAAAAAAACCCBBCCBBACCAAAAAACCCBBCAAAAAAAAAACCCAAAAAAAAAACCCCACCAAAAAACCCCCAWWWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
T3	CBBBBBCCBBBAAACBBCCBBBBCCBAAAAAAACCCCBBBCAAAAAAAAAAAAAAAACAAAACCCBBBBBCBBBBCCAACCCCCACCAAACCCCACBBCBCAAAACAAAACCCCCCCCCCACCCCBBCACCCCBBBCAAAACCCBBBAAAACAAACCCBBBAACCCBCACCCBBBCCAACCCCBBBBBCCBBCACAAAAAACCCCCCBBBBBBBCCCAAAAAAAAACCCCCBBBCCAAAAAACCCCCBBBBCAAACCAAAAAAAACCCCBBBAAAAACCCCCAAAAAAAAAAAAACCCAAAWWWWWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
T4	CBBBBBBBCCCAAAAAAAAACCCBBBCCBBBBCAAAAAAACCCCCBBBBBCCBAAAAAAAAAAAAACCCCBBBBBBCCACCAAAAAACCCBBBCCAACCCCBBBBBBAACCCCBBCAAACCCBBBBCCCAACCAAAAAAAACCCCCBBBAACCCCCBBBBCCAAAACCCBBBBCCAACCCBBBBCBBBBCAAAAACCAAACCCCBBBCBCCCAAAAAAAAAAAACCCBBBBBCAACCAAAAACCCCBBBBBBCCBBCAAACAAAAACCCCBBBACCCCAAAAACWWWCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
T5	CBBBCBBBBBBAAACBBBCBCAAAABBCCCCAAAAAAAAAACAAAACCCBBBBBBBBCCAAAAAACCCCBBBAAACCCCBBAAABCCBCCAAAAACCCBBAACCCAACCCCBBBAACCCBCCAAACCCCBBBCAAAAAACCCAACCCCCAAAAAABBCCAAAAAACCCCBBBCCAAACAAAACCCCBBBAACCBBACCCCBBBCAACCCCAAAACCCWWWWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
T6	CBBBBBBBCCAAABBCCBBBCCBBCBACAAAAACCBCCAAAAAAAAAAAAAAACCCBCCBBBBAAAAACAACCCAACCCBBBBBBBBBCCBBBAACCBBBBCCAAAACCCBBAAACCCBBBAAACCCBBBAAACCCCCBBAAAACCCCCBBBBBCCABBBAAACCACCCCBBBBBCBBCCAAAAACCAAACCCBBBACCAAAAAACCCCCBBCCAABBCCAACCCCBBCAAAAAAAAAAAAAAAAAACCCCCCAAAACCWWWWWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
T7	CBBCCAAAAACCBBCCBBCCAACCCACCBCCBAAAAACCAAAAAAACCAAAAAACCCBBBBBCCCBBAACCAAAAACCAACCCBBBBBCBBBABBCCCCAAACCAAAABBCCCCAAAAAAAABBBAACCCCCBBCCCCCAAAAAACCCCBBBAACCCCBBBBBBBCAAAAAAAAAAAAAACCCCCCBBBBBCBAAAAAAAAAACCCCBBAAAABCAACCBBBABCAACCCCBBAAACCCAAACCCCCCCWWWWWWWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
T8	BBBCAACCCCBBCBBCAAAAACAABCCCCAAAAAAAAAAAAAACCCBBBBBBCCBCAAAAAAACCCBBBBBBBBACCBBCCCCAAAAAAABBCCCCAAAAAAAACCCBBBABBAABBBBBCCBCCAACCCBBBAAACCCBBBBBBCCAAAAAAACCCBBBBBBBBBBBCBBCCAAAAAAAAAACCCBBBBCCAAAAAAAAAAACCBBBACCAABAACCCCCCBBCAACCCAAAACCAWAWWWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
T9	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBABBBABAAAAAAAAAAABBBAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAABBBBBAABAABBBAABBAAABBBBAAAAAAAABBBBBAAAAABBBBBAAAAAABBBBBAABBAAAAAAAAAAAAAAAAAAAABBAAAAABABAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAABBBBBAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAABBBAAAAAAABBBAAABBAAAAAAAAAAAAAABAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAAAAAABBBBBBBBBBBBABBBBBBBAAAAAAABBBBBBBBABBAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAABBBBBBBABBBBABBAABBBBBBBBBBBBBBBAABBBBBBBAABBBBBBBBBAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBAABBBBBAABBBBBBBAAAAABBAAAABBBAAAAAAAABBAAAAAABBBBBBABBBBBABBAAAABBBBBAAABBBBBAABBAAAAAABBAAAAAAAAAAABBAAABBAAAAAAAABBBBAAAAAABBBBBAAAAAAAAAAABBBBBAAABAAAAAAAAAAAAAABBAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAA
