Participant	P12
T1	CCCCCCCBBBBBBBCBCCCAACCAACCCCCCCBBBBBBBBCCBBBCCBBBBCBAAAAAAAAAAAAAAACCCCCCBBBBBAACACAAAAAAAAAAAAAAACCCCAAAAAAAACCAACCCCCBCCBBBBBBCAAAAAAAAAACCCCCBBBBCBBBAACCCCCCCBBBBBAACCCCCCBBBBCCAAAAAAAACCACCAAAAACCCCCCCCCBBBBBCAACAAAAAAAAACCCCCBBBBBBBAAACCCCCCBBBAAAACCCCBBBBBBAACAAACCCCBBBBBBBBACCCCAACAACAAAAAAACCCCCBBBBBBCCAACCCAAAAAAAACCCBBBBBCCAAAACAAACCCCBBBBBBBAAAACCCCCBBBBACCCAACCACCAAACCAAACCCCCCCCCAACAAAACCCCAAAAAAACCCAAACAACCCCAACCCCCCCCCCCCCCCCAAAAAWC
T2	CBBBBBBCCAACCCCCAABBBBBBBBCAAAAACAACCCCCCCBBBBBBBBCCAAAAACCAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCBBBBBCAAAAAAAAAACCCCCBBBBAACCCCCBBBCAACCCCCCBBACAAAACCCCBBBBBAAAACAAAAAAAACCCBBBBAACCCCCCBBBAAAACCCCBBBBACBACCAACCCCBBBBBBCCCCAACCAACAAAAAAAAAAAAAAAAAAAAAAAAAACACCCCCACBBBBCAACCAAAAAAAAAAAAACCAAAAAAAAAACCCCBBBBBBCCAACCBBBBBBAACCCCCBBCAACCCCCCCAAAAACCCAAAAAAAAACAACCCAACCAAACCCCCCCCAAWWWC                                                                           
T3	CCBBBBBBCAAAACCCCCBBBBBCCAAAACCCCCBBBBBBCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAACCCCCCCBBBBBBCCAAAACCAACCCBBAAAACCCCCBBBAACCCBAAAACCCBBAAAAAAAAAAACAAAAAAAAAAAAAAACCCCCCBBBACCCCCCBBAACCCCCBBBACCCAAACACCCBBBBBBCCACCAACAAAAAAAAAAACCCBBBBBBBBBBBCAACCAACCCAAACCCBBBBAAAACCCCBBBBAACCAAAAACCCCCCBBBACACCCCCAAAAAAAAAAAAACCCCCAWWC                                                                                                                                 
T4	CBBBCCAAAACCCCCBBBBBBCAACCCCBBCBBAAAAAAAAAAACAAAAAAAACCCCBBBBBBBCACCAAAAAAACCCCBBBBBCACCCCCBBABBBBAACCBBCCCAAAAAAAAACCCCCCBBAAAAAAAAAACCCCCBBBBBAAACCCCCCBBBBCAAAAACCCCCAABBBBBBCAAACCCCBBBBBBCAACAAAAAAAAAAAAAAAAAACCBBCAAAAAABBCAACCCAAACACCCBBBBBBAAAACCBBBBBBAACCCAACCBBBAAAAAAAAAAAAACCCCCAACAAAAAAAAAAAACCAAACCCCAAACCCAAWWWWWC                                                                                                                               
T5	BBBBBBCACCCBBBBBBCAAACCCCBBBCBBAAACAAAAAAAAAAAAAAAAAAAAACCCCAAAAAAACCCCBBBBCAAAAAAAACCCCCCBBBBBBCCCCCBBBAACCCBCAAAAAAAAAACCACCBBAABAAAAAAAAAAAACCCCCBBBBBAAAACCCCBBCAAACCCCCBAAAACCCBBBBBCAAAAAAAACCAAAAACCAAAAAAAAAAAAACCCCCBBBBCAAAAAAAAAAAACCCCCCBBBBBBAACCCACCCBBBBBAACCCCCCBBABACAAACCCCACCCCAAAAAAAAAAACCCCCCCCAWWC                                                                                                                                           
T6	CBBBAAACCCCCABCBBBBBBCCAAAAACCCCBBBBAAAAAAAAAAAAAAAACCAAAAAAAAAAAAACCAAAACCCCCCCBBBBBCCCAAAAAAAACCCCBBBAACCCCBBACCBBBAAACCAAAAAAAAAAAAAACCCCCCCBBBAAAAAAAAAAAACCCCCBBAAACCCAAACCBBAACCCBBBBAAAAAAAAAAAAAAAAAAACCCCCBBBBCAAAAAAAAAAAAAACCBBBBCAACAAAAAAAAACCCBBBBBACCAAAACCCBBBBAAAACCCCCBBBBCCAAACCAAAACCCCCAAAAAAAAAAAACWWCCCWC                                                                                                                                    
T7	CBBBCACCCCBBBBBBCAAACCCCBBBBAAAAAAAAAAAAAACCCCBBBCCCAAAAAACCCBBBCACCCCCBBBBACCCCBBAAAAAAAAAAAACCCCBBAAAAAAAAAAAAAACCCBBAACCCBBAAAAACCCCBAAAACCCCCCBBBBCCAAAAAAAAACCCBBBCABBAAACCCCBBBBAAAACCCCCBBBBBAACCBBABAAACCCCAAAACCCAAAAAAAAWWWCCCCWC                                                                                                                                                                                                                         
T8	BBBCAACCCBBBBCCAAACCCBBBBAAAAAAAAAAAAAAAAACAAAAAAAACCCCCBBBBCAAAAAACCCCBBBBCACCCCCCBBACCBAAAAAAAAACCCCCBBACAAAAAAAACCCBBBAACCCCCCCBBBBAAACCCCCBAACCCBBBCAAAAAAAAAAAAAACAAACCCCBBCAAAAAAAAACCCBBBBBAACCCCBBBBBAABBAAACCBAAAAAAACCCAAAAAAAAAAWWWWWWWCCWC                                                                                                                                                                                                              
T9	BBBBBBBBAAABBBBBBBBAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBAAAAAAAAAAAAAAAAABBBBBBBBBABBAAAAAAAAAABBBBBBBAABBAAAAAAABBBABBBAABBBAAAAAABBBBBAAAAAAAAAAAAAAAABBBBAAAAABABBBBAAAAABBBBAAAAAAAAAAAAABAABBAAAAAAAAAAAAAAABBBBBBBAAAAAAAAAABBBBBBBBBBBBBBBBBBBBAAAAABBBAAAAAABBBBAAAAAAAAAAAAAAAAAAAA                                                                                                                                                                
