Participant	P11
T1	CCCCCBBBCCCBBBAAAAACCACCCCCCCCBBBCBBBACCAAAAAAAAACCCCCBBBCCBBBBBBCCAACCCAAAAAAAAAAAAACCCCCCCBBBBBBBBBBBBCCCAACCCCAAACCCCCCABBBACAACCCCCCBCCCBBBBBBAAAAAAAAAAACCCCCBBBBBCBCCCCCAAAAACCCCCBBBCAAAAAAAAACCCCCCCCACCBBBCAAACCAABBBBCCCAACCCCBBBBCAAACCCCBBBBBCBBBBBBCCBBCAACCCAAAAAAAAAACCCCCBBBCCCBBBCCAACCCAAAAAAAAAACCCCCAACCBBBCCCCAAAAACCCACCCCBBBCCBBAACCCCCCACCCAAAACCCCBBBACCCACCCCCAAACAAACCCCCCCCCCCCCAAAAAWWWWWWB                                                                                                    
T2	BBBBBBAAACCCCCCBBBBCBBCCAAAAACCCCBBBBCCBBBAACCAAAAAAAAAAAAAAAAAAAACAACCCCCBBBBBBBCCCAAAAAAACCAACCCCBBBCCAAAACCCCCCBBBBCBBAACCCCCBBBBCCAAAAAAAACAACCCCCBBBBBAAAAAACCCCCBBCAAACCCCCCBBBBCCAAACCCCCBBBBAACCCCCBBBBBBBBAAAAAAAAACCCCCBBBBCAAAAAAACCCCBBBBBBACCAACCAACCCCBBCBBBCCAAAACAAAAACCCCCBBBCAACCCAACCCCAAAAAACAAAAAACCCCCCCCCCCWAAAWB                                                                                                                                                                                    
T3	BCCBBBBCCAAACCCBBCCBBBCCAAAAAAACCCCBBBBBBBBAAAAAAAAAAAAAAAAAACCCCBBBBCCAACCAAAAAAAACCCCBBBBBAACCCCBBBBCCBBBBBAAACCCCCCBAAAAACCCCCCBBBAAAAACCCCBBBAACCCCCCCBBBBBAAAACCCCCBBBBBBBAABBBBBACCCCCBBBBBBBBCAAAAAAAAAAAAAACCCCBBBBAAACAAAAAACCCBBBBBAAACCAACCCCCBBBCCAAAACAACCCCBBBBAACCCAAAAAAAACCCAWC                                                                                                                                                                                                                            
T4	BBBBBBBCAAACCCCBBBBBBBBCCACAACCAAAAAAABBBBCCAAAAAACAAAAAAAAAAACCCCCBBBBBAAAACAAACCCCCBBBBBCCCBBBBBCCCABBAAACCCCBBCBBAAACCCBBBBBAAAAAAACAACCCBBBAAAACCCCBBCCAAAABCCCCBBBBAAAAABBBCCCBBBBBBBBAAACCAAAABBBBCCCCBBBBCCAAAAACCCCBBBBCCAAAAAAAAABBCCBBBBBBACCAAAAAACCCACCCCCBBBBBAAACCCAAAAAAAAAAWWWWCCCCWC                                                                                                                                                                                                                       
T5	CCBBBBBBBBBBBBCACCCCBBBBBCCCCAAACCCCBBBBBCCAAAAAAAAAAAAAACCCCBBBAAAAACCCCBBBCCCBBBBBCAACCCCBBBBBBAAAACCCCCBBAAAAAACCCCBBAACCCCBBBAAAACCCCCBBAACCCBBCBBBBBBBCAAAACCCBBBBBCCAAAAAAAACCCCCBBBBBAAAAAAAACCCCBBBBBCCAAAAAAAAACCCBBBBAAAAACCCAAAAAAAAAWWWWCCCWC                                                                                                                                                                                                                                                                   
T6	CBBBBBBBBACCCCBBBBCBBBBBBBBCCAAAACAAAAAAAAABBBBBACCCAAAAAAAAAAAACCCCBBBBCAAAAAAAAACCCBBBBBBCCBBBBBAAAACCCCCBBAAAAAAAAAAACCCCCCCBBAAAACCCCCBBAACCCBBBCAAAAAACCCCBBBACCCCCBBBBBBBCAAACCCCCBBBBBAAAAAAACCCCBBBBBBAAAAACCCCCBBBBBCCAAAAAAABBCCCAAAAAAACCCCCAAAAAAAAWAWWCCWC                                                                                                                                                                                                                                                     
T7	BBBBBBBBBBACCCCBBBBBCAAAAAACCCCBBBBAAAAAAAAAAACCCBBBBBAAAAAAACCCBBBBBAABCCCBBBAACCCBBBCAAACCCCBBBAAAAAAACCCBBBBAACCCCBBBBBBBBBBBBBAAAACCCCCBBBBAACCBBBBAAAACCCCBBBBBAAAAAAAAAAACCCCBBBBBAAAABBBCCCCACCAAAAAAAAAAAAACCCCBBBAAACCCCAAAAAAWWWWCCCWC                                                                                                                                                                                                                                                                            
T8	CBBBBAACCCCBBBBBAAAABBCAACAAAAAAAAAAAAAAAAAAAACCCBBBBBAAAAAAAACCCCBBBBBBCCCBBBAAAAABBBBAAAACCCCCBBBBBAAAAAAACCCCBBBAAACCCBBBBAAACCCCCBBBAAAAACCCBBBBBBBCAAAAABCCCCBBBBAAAAAAAACCCCBBBBBBBBAAAABBBCCCCAAAAAAAACCCBBBAAAAAAAAAACCCCCCCAAAWWWWB                                                                                                                                                                                                                                                                                
T9	BBBBBBBBBBBBBBBBBBBBAAABBBBBBBBBBBBBBBBBBBBBBBBACCCCCAAAABBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAAAAAAAAABBBBABBBBBBBBAAAAAAAAAAAAAAAABBBBAAAAAAAAAAABBBBBBBBBBBABBBAAAAAAAABBBBBBBBBAAAAAAAAAAAAAAAABBBBBBBBBBBBBBBBAAAAABBBBBBBBBAAAAAAAAABBBAAAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAAABBBBBBBBBBBBBBBBBBBBAAAAAAAAABBBBBBBBBAAAABBBBBBBBBBBAAAAAAAAAAABBAAAAAAAAAAAABBBBBBAABBBBAAAABBBBAAAAAAAAAAABBBBBBBBBAAABBBBBAAAABBBBAAAAAAAAABBAAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAAAABBBBBBBAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
