Participant	P19
T1	CCCCCCCCCCCCCCBBBBBBCCCAAABBAAACCCCCCAAAACCBBBCCCAAAACCBBAAAAAAAAAAAAAAAAAACCCBBBBBBBCCCACBBBACCAAAACCCAAAAAAAAAAAAAAAAAAAAAACCCCCCCBBBBBBCCCACACBBACAACAAAACCCCCCBBBBBACCCAAAACCCCCBBBBBBCBBBACAAACCCCCCBBBCCCBACCAAAAAAACCCCACCCCAAAAAAACCCCCBBBCAACACCCBBACCCAAACCCCBBBBCAAACCCCCBBBBACAAACCAABBBBBACCAAAACCCCCCCCCBBBACCAAACCCBBBCCAACCAACCAAAACCCCCBBBBBBCBBBBCBBCCAACCCBBBBCCCCAAAACCCAAAAAAAAAABAAAAAAABBBAAAACCAAAAAAAAAAACCCCCCBBBCAAACCBAACCCCCCCCBBBBCACCCCCCAACAAAAAAAABBACAAAAAAAACCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAACCCAAAAAAAACCAACCCCCCBBBBBAAACCCACCAAACCCCCCCCAACCCACAAAACCCAAAAAAAAAACCCCCAAAACWC                                                                                                                                                                                             
T2	BBCCABACACCCCBBBCAACBBBAACCCCBBBBBBBBBBCBBCCBBCCCAACCCACCAAAAAACACCAACCBBBBAAAAAAACCAACCCCCCCBBBBBBCCCAAAAAAAACCCCCAAACCAABBCCAAACCCCCBBBBBCACCCCBBBBBCCBBBBBBCCAACAACCCCCCBBAACBBBBAAAAAAAAACCACCCCCAACCCCBBBAACCCCBBCAAABBCAACCCAAACCCAAAAAACCAAAAAAAACCACAAAAAAAAABBBBBCCCAACCCCCAACAACCACCCAAAAAAAAAAACBAAACAAACCCCCBBBBBBCCCBABBCAAAAAAAAAAAAACCAACAAAAACCCACCBAAACCAAAAAAAAACAAACAAACCCCCAABBBBBBBBBBBCAACCAAAAAAAAAAAAAAAAABBAAAAACCCCAAAAAAACCCCCCCCCCCCCCCAAAAAAAAAAACAAAAAAAAWWWWWWWWWWWAAAAAAAAAAAACAAACAAAACCCCCCAAACCCAACCAAAAAAACCCAACCCCAAAAAABBBAAACBBBBBACCCBBBCCBBBBBBBBBAACCACCCCAAAAACCCCCBBAAAAAAAAAACCCCACCAACCCBBAAACCABBBBBBCCCAACCCCCCAAAACCAACCCCCCCCCCAACCAAACCCCCCBBAAAAAAAACCCCCBBBCAAAAAACAACAACACCCCAAABAAAACBBBBAAAAAACCCCCBBCBAAAAAACCAACCCCCBBBBCAAAAAAAACCCBBBCAAAACCCCAACCAAAAAAAAACCAACCAAAAWWC
T3	CBBBBBCAACCCAAACCCBBBBBCCCBBBAACCAAACCAAAAAAACCCCBBBBBBBBBBBBBBBCAAAACCAAAAAAAAAAAAACCCCBBBCAAAAAAACCCCBBBCAACCAAACCCCCBBBBBCACCCCBBBCAACAACCCCBBBBAAAAACCCCCBBBACCCBBBBCACCCCCCCBBAACACCCBBBBAAACCAACCAAAAAAAAAAAAAAAAAAAAACCCABBBBBBAACCAACCAAAACCCCCBBBCBACCCBBBCBBAACCCCCBBBACCCCAAAAAAAAAAAAAAAAAAAAAAWCWWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
T4	CBBBBCAAACCCCBBBBBBCCAABBBAAAAAAAACCCCBBCAAAACAAAAAAAAAABBBCAAACCCCCCABACAACCAAAAAACCCCCABBBCCBBBBCABBBCCCBCCAAAAAAACCAACCCCCBBAAAAACCCCBBACCCCCBBBBCAACCCCBBAACCCBBBCBCAAAAAAAAAAAAAAAAAACACCCACBBBBBBBBBBBACCAAAAAAAAAAAACACAACCBBBBCAACCCCBBBBCBBBAACCCCBBAACCAAAAAAAAAAACCAAAAAACCCCCCCAACCAAAAAAAWWWCCCWWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
T5	CBBCCAABCAAAACCCCBBBCCBBBAAACCCBBBBBBBBBCBBAAAAAAAAAAAAAAAAAAAACACCCBBBBAAAACCAAACACCCBBBBCAACCCCCBBBBBABBBCCCCBBAACCAAAAACCCCCBBBAAAACCCCCBBACCCBBBBBABBACCCBBACCCCAABBBBBBAAACCAAAAAAAACCCCCBBBBAAABBAAAAAAAAAAACCCCBBBBAAAACCBBBBAACCCCBBACAACAAAAAAAAACCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
T6	CBBBCBCCAAACCCCBBBBCABBBCAAAAACCCCBBBBCAAAAAABAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBBBBCCAAAACCCACCBCCCBBBBBBCBBBBBBBCCCCBAAAAAAACCCCBBBBACCCCCCBBAACCCCCCBBBBCBACCCCBBACCAAAAAACCCCCCBBBBACCAACAAAAAAAAAAACCCCBBBBBAACAAABBBAACCCCBBBBACCACCCBBBCCAAACCCBBBBACCAAAAAAAACCCCCAACAAAAAWCCCCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
T7	CBBBCABBCACCCCBBBBBBCCBBBABBBBBAAAACCCAACCAAAAAAAAAAAABCBBBCCAAACCAAAAAACCCCBBCACCBBBBBCCCCAAAACCCBBBBAABCCACCCBBAACCCBBBBCAACCCCBACCBBBBBCBBBAAAAAAAAAACCCBBBBBAAAAAAAACCCBBBCCACACBBCBBBAACCCBBACAAAAAAAAAAAAAAAAAAAAAACCCCCAAAAAAAACCCAAAAABCCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
T8	CBBCAACCCCBBCABBAAABBBBBBCAAAAAAAAAACCCCCAAAAAAAAAAAAAAAAAAAAAAAAACACBBCCAACAAAAACCBBBCCCCCBBBCCCCBBBCAAAAACCCCACCBBBBAAAACCCBBBACCCBBACCCBBAACCCCBBBBBCCBAAAAAAAAACCAAAAAAAAAAACAACCBBBBBBBBAACCAACAAAACCBBBCBBBBCCAACCAAAAAAAACCCCCBBBBCCBBAACCCCCBBAABAACCCCCCCACAAAAAAAAAAACCCAACCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
T9	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBBBBBBBBABBBBBBBAAAABAAAAAAAAAAAAAAAAAAABABBAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAABBAAAAAAAABBBBBBBBBBAAAAAABBAABBBABAAABBAAABBAAAABBAABBBBAAABAABBBBBBBBBBBBBBBBBBBBAAAAABBBBBBAABBBBBBBBBBBBBBBBBAAABBBBBBAAAAAAAAAAAACCAAAAABAAAAAABBBBBBAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                                                                                                                                                                                                                                                                                                                                               
