Participant	P25
T1	CCBBBBCCACCCCCAACAAAACACCAAACCCCCCCCBBBBCBBBBBBBCCAACCCAAAAACCCCACCCBBBBCBBBBCCCACCCAAAAAAAAAAAAAAAAAAAACCCAAAAAAAAAAAAAAAAAAAAAACCACCCCCCCCBBBBBBBBCBBCBCCAACCAAAACAAAACCCCCCCACCBBBBBBBAACCCCBBBBCBCAAAACCBBBCCCCAAACAAACCCCBBBBCBBBBBBBACAAAAAAAAAAACCCCCBBBBAACCCBBACCCBBCAAAAAAAACCACCBBBBBBBBBBBCCCCAACCAACCCAAAAAACCAAAAAAAAAAAAAACCCCCCCBBBBBBBBBBCBBBAACCCBBBBBBBBBBCAAACCCCAAAAACCAAACCCBBBBCCAAAAAAACCCAAACCCCBBCAABBAAAACCCBCCAAAAAAAAAAACCCCCCCACCCAAAAAAAAAAAACCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
T2	CCCBBBBBBBBBBCAAAAACCCBBBBBCCCAAAAAAAAABCCCBBBCCAAAAAAAAAAAAAAAAAAAAAAAAAACCBBBBBBBBCAACCAAAAAAAACCCCACBBBBBBBBCCCCBBAAACCBBACCAAAAAACCCAAACCCBBBAAAAAAAAAAACCCCBBBAACCCCBCBBBBBBBACAABBBCAAACCCCBBACCCBBBBBCAAAAACAAAACCCCBBBBBBBACCAAAAAAAAACAAACCCCCCCBBBABBAAAAACAAACCCCAACCCCCCAACCCCCCCCCCCCCBBBBBBCBBACAAAAAAAAAACCCCCBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCAAAAAAAAACCCAAACAACWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
T3	BBBBBBACAAACCCBBBBBBBCAAAAAAABBBBBCCCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBBBBCAACAAAAAAAAACCCCABBBBBBBBABAACCCCCBBBAAAAAAAAACCCCBBBBBBAAAAACCCCBBAACCCCBBAACCCBBAACCCBBBBBBCAAAAAAAACCAACCCBBBBBBBAAAAAAAAAAAAAAAAACCCBBBBAABAAAACCCBBBBAAAAAAAAACCCBBBAACCCAAAAAAACCACACCCWC                                                                                                                                                                                                                                                                           
T4	CBBBBBBBBAABCBBCAABBBBCCCBBBBBCBCACAAAAAAABBBBBAACCAAAAAAAAAAAAAAAAAAAAACCCBBACAAAAAAACCCABBBBBBBBBABBBAACCCCBBBAAAAAACCCBBBBAAAAAAACCCBBAACCCCCBBBACCCCBBAACCCBBBBBCAAAAAAAAAAAAACCCCCBBBAAAAAAAACCBBBBCAABBBBAACCCBBBABBBAAAAAAAACCCBBACCCAAAAAAAAAAAWWWCCWWCCCWCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
T5	BBBBBBBBAACBBBBBACCCBBBBCBBBABAAABBBBBAAAAAAAAAAAAAAAAAAAAAACAAAAACCCCBBBCAAAAAAAAAAACCCABBBBBAABBBBBAABBBCBBBCBAAAAAAAAAAAAACCCBBBBAAAAAACCCBBBAAAAAAACCCCBBBACCCBBBAACCCCBBBBBBCAAAAAAAAAAAAACCCCBBBBBBBBAABBAAAAAAAAAAAAAAAACCBBBBBBBBBBBBBBAABBBBBBBBBBBBBBAAAAAAAACCCAAACCAAAAAAACCCCBBAACCCCCAAAAAAAAAAAAAAAACCAAWWWWWWWWCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                               
T6	BBBBBBCABBBBBBBBAACCCCBBBBCAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBBAAAAAAAAAAACCCBBBBBAABBBBBBAABBBAAAAAAAAAAAAAACCCCCCBBBBABBBAAAAAAABAAAAAACCCCCBBBBBAABACCCCBBAACCBBBBBBBBAAAAAAAAAAAAAACCCBBBAAAAAAAAAAAAAACCCBBBBCCAABBBBBBBAAAAAACCCCCCCBACCCCCAAAAAAAAAACCAAAAAAACWWWWWCCWCCWC                                                                                                                                                                                                                                                                                                                                                                                                                                                              
T7	BBBBBACABBBAABBBBBAAAAAACCCBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBBBAAAAAAAAACCCBBBBBBBAABBBAABBBAAAAAAAAAAAAAAAAAAACCCCCCBBBBAAAAAACCCBBAACCCCCBBBCAABBBAAACCCCBBBAAAAAAABBBBAAAAAACCCCBBBBBAAAAAAAAAAAAAAAAAACCCCBBBBCAABBBBBBAAAABBBAAAAAAAAAAAAAAAAAAAAAAAACCCCCACCCAAAAAAAAAAAWWWWWWWC                                                                                                                                                                                                                                                                                                                                                              
T8	CBBBAAABBBAABBAAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBBAAAAAAAAAACCCBBBBBAABBBBAABBAAAAAAAAAAAABBAAAAAAAACCCCCCCBBBAAACCCCCBBBBAAACCCBAAACCCBBBBBBCAAAAAAAAAAAACCCCBBBBBAAAAAAAAACCCCBBBBBBBAABBBBAAABBAAAAAAAAAACAAAAAAAAAWWCCCCCCCCWB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
T9	BBBBBAAAABBBBBAABBBBAAAAABBBBAAABBBAAABBBBBCCCCAAAAAAAAAAAAAAAAAAAAAAABBAABAAAAAAAAAAAAAAAAAABBBBBBBBBBBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAABAABBBBBBBBBBBBBBBBBBBABBAAABBBBAAABBBBBBBBBBBABBBAAAABBBBBBABBBBBBBBBBBABBBAAABBBBBBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAABBBBBBBBBBBBAABBBBBBBBBBBBBBBBBBAAABBBBBBAAABBAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAABBBBBABBBBBBBBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAABBBBBAABBBBBAAABBBBBBBAAABAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAABBBAAAAAAAAAAAAAAAAAABAAAAAAABAAAAAAABBBBBBBBBAAABBBAAAABBAAABBBBBBBABBBBBBBBBBBAABBBBBBBBBBAABBAAABBBBBBBBBBBBAABBAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAABBBBBBBBBBBAABBAAABBBBBBBBBBBBBBBBBBAAABBBBBBBBBAABBBBBBBBBBBBBBBBBBBABBAAAAAABAABBAABBAAAAAABBAAAAAAABBAAAAAAAAAAAAAAAABBBBBBAABBBBBBBAAAAAAAAABBAAAAAAAABBBBABBABAAABBAAABAABBBBBBBBBBBBBBBBBBBBABBBBABBAAAABBBAABBABBBBBBBBAABAAAAAAAAAAAAAAAAAAABBBBBBBBAAAABBBBBBBBBBAAAABBBBBBBBAAABBBAAAAAAAAABBBBAABAAAAAABBBBBBBBAAAAABAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAABBBAAABAAAABBBBBAABBAAAAAAAAAAAAAAABAAABBBBBBBBBBBAABBBBBBAABBBBBBBBBBBBBABBAAAABBBBBBBBBAAAABBBBBBBBBBBBAABBAAABBBBBABBBBABAAAAAAAAAAAAAAAAABBBBAAAAAAAABBBAAAAAABBBBBBABBAAAAAABBBBBBBBBAAAAAAAAAABBBABAAAAAABBAAAAABBBAAAAAAAAAAAAAAAAAAAABBAAABAAABBBBAABAAAAAAABBAAAAABAAAAAAABBBAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAABBBAAABBBBAAAAAAAAAAAAAAAAAAAAAABBAAABBBBBAABAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
