Participant	P22
T1	CCCBBBBCBBBAACCBBBAACBBBCCCCCCCCCAAAAACCACCCAAAAAAAAACCCAABCCBBBBBBAAACCCBBAAACCCCCCBBCCBBBBBAAACCAAAAAACAAAAACCACCCCCCCAAAAAACAAAAAAAAAAAAAAAAAAAAACCCCCCBBBBBBCCBBBBBAAACCAABBBBAAACAAAAAAAACCCAAACCCCAACCCACCAACCCCCACCACCCBBBAABBCCBBAAACCCCCBBBBCCCBBCAAACCCCBBBBBAACCAAAACAACCAAAAAACCACCCBBBBCCBBCCAAAAACCAAAACAAAAACCCCCCCCCCCCCBBBBBAACCACCCBBBBBCBAACCAACCCBBBBACCACCACCAAACCCCCCBBBCCCBBBBCAACCAACAAAAAAAAAAACCCCBBBBBBBBCBBBBCCAAAAAAACAAACAAAAAAACCBBBBBBBBBCCCAAAACCAAACCCBBBBBCCAAACCAAAACCCAAACCCCCBBBBBACAAAACCCCACCCCAACAAAAAAAACCCCAAACCAAACCCCAACCAAACACCCAACCCAACACAAACCCAACAAAACCCCCAAAAAACCCWC
T2	CCBBBBBCCAAACCCBBBCAAAACAACCCBBCAAAAAAAAACAACCAAAAAAAAAACCCBBBBBCCAAAAAACCCBBBBCCAAAAABCCCCCCBCCBBBBCACAACACAACCCBBBBBCAAAACAACCCCCBBBBBBBAACCCAAAAAAAAACCCCBBBBCAACCCCBAAACCACCCBBBAAACCCAACCAAACCCCCBBBCACBBBBBBCCAACACCCAAAAAAAAAACCCCBBBBBBAAABBAAAAAACCCCCBBBBBBCCAACACAAACCAAAAACCCBBBBBCCBBACCAAAACCAAACCCBBBBBAACAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAACACCCCAAAAAAAAAAAAAAAAAAAAACCAACCCAACCAACACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCAAACAAACCAACCAACCCCAAAWC                                                                                                                                                     
T3	CBBBBBCAAACCCBBBBBBBBBBBCAACCACCCBBBCCBBBCAAAAAAAAAAAAAAAACCCCAAACCCCAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBBBCAAACCCCBBBCAAACCCCCABBCBBBBBCAACCCBBBAACCAAAAAAACCCCBBBBCAAAACCAAAAAACCCCCBBBBBCAACCCCBBBAAACCCBBAABBBCCCBBBBBBBBBBCCAACCAAAAAAAAACCCCBBBBBBCCCAAAACAAAACCCCCCAAAAAAAAAACCCCAAAACCAAACAAAAACCCCABBBCCACAAAAACCCABBBBCACAAACAAACCACCCBBBAAAAAAAAAAAAAAAAAAAAAACCAAAAAAAAAAAAAACCCAACCAAACCCAAACCCAAAAACCCAAACCAAACCAAAAACCCCAAACCCCCWC                                                                                                                                                                      
T4	CCBBBBACCCABBBCCCBBBAACAABBCCCACAAAAAAACCACCCAAAAAAAAAAAAAAAAAAACCCCCBBBBBCAAAAACCCBBBABAAABBCAABBBBCBBBCBBBBAAACCCCBBCACCACAAAAAAAAAACCCCBBBBBCCAAAAABBBBCCAACCCCBAAAAACCCCCBBACAAACCCBBBBBBBBACCCCCAAACCCACCAAAAAAABBBBBBBCCCCBBBACCAAAACCAAAACCCCCBBBBACCAAAAACCBBBBBBCAAAAAAACCCCBBAAACCCAAAAAAAAAAAAAAAAAAAAAAACCCAACCCAAACCCAACCAAACCCCCAACCAACCAAAACCCAAAAAACCCCCWWWWWC                                                                                                                                                                                                                                       
T5	CBBBBBCACAAAAACBBBBBBCCAAAACCBCBBAAACAAAAAAAAAAAAAAAAAAAAAACCCCCBBBBBACAAAACCAAAAACCCCBBABBBBCABBCCBCBBBBBACCBCBBBCCAAAAAAAACCCBBBBCCCBBBBAAAAAAACCCCCBBBAACCCCCBBAAAACCCCBBBBCCAABBBBBCCCAACCCAAAAAAAACBBBBBCCCCAACCCAAAAAABBBBCAAAACAAACCAAACBBBBBBAAAACCCCBBBAACCCCAAAAAAACACCCAAAACCAACCAAAACAAAACCAAACCAAAACCAACCAAAAAAAAAAACCCAACWAAWWWC                                                                                                                                                                                                                                                                       
T6	CBBBCAAAACCBBBCCBABBBCAAAAAACBBCCCCCAAAAAAAAAAAAAAAAAAAACCCCCCBBBBCAAAAACCCAACAAACCBBBBBAACCCCBBBBBAACCBBCBBAACACCAAACCAACCCBBBBBAAAAAAACCCBBBCACCCCBBBAACCCBAAAACCCCCCBBBAACCAAAAABBBAAAACCCCCBBBBAACAAAAAAAAAACCAAACCCCBBBBBBBBAAACAAAAACACCCCBBBBCCBBAAACCAACCCCBBBBACAACCAAAAAAAAAAAAAAAACCCAAAACAACCCCCAAACCCAAACCCACAWWWWWWC                                                                                                                                                                                                                                                                                   
T7	CBBBAABBAAACCCBBBBBBCCBBBCAACCBBAAAABBBBCCCCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCBBBBCAACAAAAAAACCAABBBBBBBBCCBBBCCBBBCAAAAAACCBBBBCBAACAAAACCACCBBAAAACCCBBBBACCCCBBAACACCBBBAAAAAAAACCCBBBACCAAAAACCACCCAAAAAAAAAAAAAABBBBACCCCAAAAAAAAAAAACCAAACCACCCABBBBBBBCAAAAAAAAAAACCCCAAACCAAAAAACCCCCACCCCBBBBCCAAACCAACCAACAACCCCBBBAAAAAAAAAAAAAAAAAAACCCCCCAAWWWWWWC                                                                                                                                                                                                                                            
T8	CCBBBBCCAAAABBBBBBBCCBBCAAAAABBCCCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCBBBBCCAAAACCAAAAAAAAAAACCCCCBBBBBBBCAACAAAAACCCBBBBBBCACCBBBCAAAAAACCCCBBBBBAAAAAAAAAAAAAAAAAAACCCCBBBAAACCCBBBBBBBCAAAAAACCCCBACCAAAAAAAACCCCBBBCAACAAABBBBBCAACCAAAACCBBCCAAACAAAAAAAAAAAAAACCCBBBBAAAAAAAAAAAAAAACCCCCCBBBBBBBBBBAAAACCCCBBBAAAAACCCAAAAAAAAAAAAAAACCCAAACAACCAACCAACCCAAAACCCCCCAAAACCCCCCCWWWB                                                                                                                                                                                                                
T9	BBCBBBCCCBBAABBBAAAAABBBBBBBBAAAAABBAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAABBBBBBBBBAAABBBBBBBBBBBBBBBBBBBBBAAABBBBBBABBBBAAAAAABBBAAABBBAAAABBBABBBBBBBAAAAAAAAAAAAABAAAABABBAAAAAAABBBAABBABBABBBAAAAAAAAAABBABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                                                                                                                                                                                                                                       
