Participant	P24
T1	CCCCCCBBBBBBCCCACCAACAAAAAACCCCCCCCCCCCBBBBBBAAAAAAACCCCCCCCCACCBBCBBAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCCCBBBBBBBBAAAAACCCCCCCCCBAAAAAAAACCCCAAAABBBCACCCCCBCCBAACAAAAAAAAAAAAAAACCCCCBBBBBBBBBBBCCBBAAAAAAAAAAAAAACCACCCBBBCAAACCCBBCCAACCCCBBCAAACCCBBBBCCCCCCCCCCAAAAAAAAAACCCCBBBBBCCBBBBBBCCCCCCCBBBBBBCBBCAACAAAAAAAAAAAAAAAAACAAACCCCBBBCAAAAAAACCCCBBBBBBCCAAAAAAAAAAAAAAACCCCAAAAAAACCCCBBAAAACCCCCCACAACCACCAACCACCCAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCAACAAAAAAAAAACAAAACCCACWC
T2	CCBBBBBBCAABCCCCCBBBBBAAAAAAABBCCCCCBBBCCBBBBBBBCCBBCAAAAAAAAACAACAAAAAACCCCCBBBBBBBBAAAAAAAACAAAABBBBACCAAAAAAAAAACBBBACCCABBCCAAAACCCCCBBBAAAAAAAAAAAAAAAACCCBBACCCCBBBCAAACAAAAAAAACCBBCAAAACCCCBBBBBBBCBCAAAAAAAAAAACCCCCBCAABBBAACCCCBBBAAAABAACCCBBBBAAAAACCCACCCCCBBAACCCCCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCWC                                                                                                                                                                                         
T3	CCCBBCAABBAAACCBBBBBCAAAAAAACCBBBBAAAAAAAAAAAAAAAAAAAACCCCBBBBBBBAAAAAACCCBBBAAAACCCCBBBCBBCCAAAACCAAACCCBBABBAAAACBBBCAACCCBBBCAACCCBBAAAACCBBBBBBBBAAAAAAAACCCCBBBAAAAABBAAACCBBAAABACCCBBAAABBBAACCCCBAAACCCCCAAAAAAAAAAACCAAACAAACAAAAAAWWWC                                                                                                                                                                                                                                                                
T4	BBBBAACAAAACCCBBBBBAAABCBAAAAAAAAAAAAAAAAACCCBBBBBBBAACBBBBABBAAACCCCCCBBCBBBBBBBCCAAAAAAAACCBBBBBAAAAAAAAAACAAAACCCBBBBBBCCAAAAAAAACCBBAACCCBBBBBCBBCAAAAAAACCCBBBAABBAACCCBBAAABACBBBAAAACCBBACAACCCCAAAAAAAACCAAAAAAAAWWC                                                                                                                                                                                                                                                                                    
T5	BBAAACCCCBBCCCBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCCCBBBAAAAAAAACCCCCBCBBBCBBBBBBCAACAAAAAAAAAAAACCCCCBBBBAAAAAABBAACCCCBBABBAABBBAAACCCBBBAABBAACACABBAAABBBAAACAAAACCCCCBBAACBBABBBBBBAAAAAAAAAACCCCCBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAWWWWWWWB                                                                                                                                                                                                                                                                
T6	BBBAAACCCAAABBBBCBBAABBBAAAAAAAAAAAAACCCCCBBBAAAAABBBBABBBBBBBBBBBBBAAAAAAAABAABBBAAAAAAAAAACCBBBBBBBAAAAAAAABCCAAAABBBBAACCAAAAAAABBBBAAAAAACAAAABBBBBBBBBBABBBBBBBBBBBBCCCAAAAAABBBBBAACCAAAABBBAAAACAACAAAAAAAAAAAAAAACCCCAAAAWWB                                                                                                                                                                                                                                                                            
T7	BBBAABAABBAABBBBCCCCACCCAAAABBAAAAAAAAAAAAAABBAAAAAAABBBBBBBBAAAAABBBAAAAAAAABBBAABBBBBAAABBAAAAAAAAAAABBBBBBAAAABBBBAAAAAAAAABBBBAAAAAAAABBBBAAAAAAAAAACCCCCCCAACAAAAAAAAABBAAAAAAAAAAAAAAAACCCCCCCCAAWWB                                                                                                                                                                                                                                                                                                      
T8	BBABAABBBBAAAAAACCABAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAABBBAABBABBBBBAAAABABBAAAAAAAAAABBBAAAAAAAAAAABBAABBBBAAAAAABBBBAAABBCAAAABBAABBBBAAAAAAABBBBBAAAAAABBAAAAABAAABBAAABABBAAAAAAAAAAAAACCCCCCAWWCCCCWB                                                                                                                                                                                                                                                                                       
T9	BBBBBAAAAABBBBAAAAAAABBAAAAAAAAAABBAAAAAAABBABBBBBBBBBBBAAAAAAAAAAABBBAAAAAAAAAAABAABAAABBBAAAABAAAABBBBBAAAAAAAAAAAAAAAABAAAAAAAAAABBBAABAABBBAAAAABAAABAAABBBAABBBAABBAAAAAAAAAAAA                                                                                                                                                                                                                                                                                                                            
