Participant	P29
T1	CCCCCCCCCCCCCCBBCCCBBCCBBBCCAACCCAACCCCCBBBBBCCBBBAAAACAAACCCCCCCAAAAACCCCBBBBCBBBBAACCAAAAAAAAAAAAACAAACCCCBBBCCCBBBBBBBAAACCCAACCCAAAAAAACCCCACCCAABBBCBBACCCCAAACCBBBBBBAACCCCBBAACCAACCAACCCCCCAAAACCCACCBBBBAAAAAAAAAAAAACCAACCCBBBBBAAAACCCCCCCCBBBBBBAAACCCBBBAAACCCBBBAAACCACBBBBBBBBBBBBBBBBBBBBBBBBBBACCCAAAAAAAAACCCCAAAACCBBBBBCCBBBBAACCAAAAAACCCBBBBBCBBBACCAACCCCBBBBBBBBBBBCACCACCCBBAAAAACCCCACCAAAAAACAAACCCCWC
T2	CBBBBBCCAAAACCCBBBBCCBBBAACCCCCBBAACAAAAAAAAAAAAAAAAAAAAAAAACCCCCBBBBBBBCAAAACCAACCCCCABBBCBCBBAAACCCBBBBBBBAAACCCCBBAAAACCAACCCBBBAAAAAAAAAAACCCBBBBBBBAAACCCBBBBBAAACCCBBBBAAACCBBBBCBBBAAAAACCCBBBBBBBCBAAAAAAAAAACCCBBBCBBACCCCBBBBCBBABBBBCCCCCCCBBAAAAACCCAAAAACCCCCCCCCCAAAAAAAAAAWWC                                                                                                                                     
T3	BBBAAACCCBBBBCCBBBBAABBCAAAACCAAAAAAAAAAAAAAAAAACCCCCBBBBCAAACCCCCCCCBBBBBBAAAAABCBBCCCCCCBBBAAAACCCAABCCCBBBAAAAAACCCCBBAACCBBBBBBBBBBBBCCAAACCCBBAAAAACCCBBBBACCAAAAABBACCAAAAAAAAABBBBBCBBBAACCCAAAAAACCCBBBACCCCCBBBBBCCBBAAACCCCAAACBBAAAAACCCAAAACCCCCCAAWWC                                                                                                                                                               
T4	BBBBBAAABBBBBBBBBBBBBBBBBBBBBCCCBBCAAAAAABBBBBBBAAAAAAAAAAAAAAACAAAAAAAAAAACCCCBBCCACAAACCCBBBCCCBBBBBBBBBBAAACCAABBCBBBBBBBBBBBBBBBBBCBBBBBBBBBBAABBBACCCCBBAAAACAAAAAACCCBBBAAAAAACCCBBAACCCCBBBAAAACCCBACCCCBBBBCBAAAAACCCBBBCABBAAAAAACCCBBBBBAAACCCCBBBBBAAACCBBAAAAAAAAAAAAAAAAWWWWCCCCCCWC                                                                                                                                
T5	BBBCBCBCACAABBBBBBBBCACCCCCAAABBBAAAAAAAAAAAAAAAAACCCCBBBAAAAAAAAACBCCCCCCBBBBBBBBBBBAAABBAAACCCACCCCCCCBBBBAAAAAACCCCCBBBBBBBBBAAACCAAAACACCCCCCCCCAAABBBCCACCCBBBBCAAAAABBBAABBAAAACCCCCCCBBBBBBBACAAACCCCCABBBBCCBBBAACCCCCBBAAACCCCCACCAAAAAAAAAAAAAAAAAAWWWWWCCCCCCCWC                                                                                                                                                      
T6	BBBBCCBCCCBAACBBBBBBBBBBBCAACCAAAACCCAAABCCACACCAAAAAAAAAAAAAACCBBAAAACCAAACCCBBBCBBBBAABBAAAAAACCCCCCCBBAAAAAAAAAACCCBAACCCBBBBBACACCCBAAACCCCBBBBBAAACCACCCBBBBCAAAAAACCCBBBBACCCCCBBBBAAACCCCBBAAAAAACCAAAAAAAAAAWWWCCCCCCCCCCCCWC                                                                                                                                                                                            
T7	BBBBBCAACCCBBBBBAAAABBAAAAAAAAAAAAAAAAACCCCCCCCBBBCAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBAAABAAAAAAAACCCCACCBBBAAAAACCCCBBAACCCBBBBBBBAACCCCBBBAACCBBBBBCAAAAAAAACCCCBBBBAACAAAAAAACCCCBBBBACCCBBBBBBBAACCCCBBAAAAAAAAAAWWWCCCCCCCWB                                                                                                                                                                                                    
T8	BBBAAACCBBBBBBBAAAACCCCCABBAACCAAAAAAAAAABAAAAAAACCCCCCAAAAAAACCCCBBBBBBBBBAABBBAACAAAAAAAAAAAACCCCCCBBBAABBBCCCCCCCCAACBAAAACCCCCCCBBAACCCCBBBCAAACCCCBBBBBCAAACCCBBBCAACCCCBBBBBAAACCCBAAAAACCAAAAAAAAAAWCCCCWB                                                                                                                                                                                                                
T9	BBBBAAAAABBBBBBBBBBBBBBAAAAAAAAABBAAAAAAAAAAAAAAABBAAAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAABBBAAAAABBBAAAAAABABBBBBAAAAAABBAAAABBBBBAAAABBBBBBBAAABBBBBBBBBBBBBBBBBBBAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAABBBBBBBBBBBBBBBBBBBAABBBBBBAAAAAAAACBBBABBAAAAAAAABBAAAAAAAAAAAAAAA                                                                                                                            
