Participant	P26
T1	CCCCCCCCCBBBCCCACAAAACCCCCCCCBCCCCCCBBBCAAABBCCAAAAAAAAAACCCCCCBBBBCBBBBCAAACCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCAAACAACCCCCCBBBBBBCCAAAAAAAACACCACCCCBBBCBBCAACCCCCCBBBCCBBCCCAAACCCCCBBCCAAAACCCCAAAAAAACCCCBBCCCAAAAAABAAAAAACCCCBBBBBCAAAAAACCCBBCAAAACCCCBBBACCAAACCCCBBBCBCAACCCAAAAAAAAAAAAAACCCCCCBBBCCAAAACAAAAAAAACCCCCBBBCBBACAAAAAAAAAAAAACCCCBBBCCBBCCAAAAACCCCCCAACCCBBBBACAAAACCCCCCCCAACCCCCAAAAAAAAAACCCCCCCCCCAAAAWWWWC
T2	CCBBBBBCCAAAAABBCCCCCBBBBBBBBCBBAAACCAABBCCAAAAAAAAAAAAAAAAAAAAAAACCCCCAACCCBBBBBCAAAAAAAAACCCCCBBBBBBBBBBBABBBCCCCCCCCBBAAAAAAAAAABACCCCBBAABAACCCCBBBAACCCBBBAAACCCBBAAACCCCCBBBBBBBCCAAAAAAAABBAAAABBBAAAACCCCCBBBABBACCBBCBBAAAAAAACCCCCBBAACCCCCAAAAAAAAAAAAACCCCAAAAAAAAAAAAAWWWWC                                                                                                                                                   
T3	BBBBBAAAABCCBBBBCBBAABCAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCACCCCCBBCAAAAAACCCCCBBBBBBBBBBBBABAAAAAAAAAAABAABBAAAAAAAACCCCCBBBACCCCBBAABBBACCCBAACCCBBBBAAAAAAAAAAACCBBBABBAAAAABABAAABBBBBAAAAAAAAACCCCCCAACCAACCCBAACCCAAAAAAAAAAAACAACCCAAWWWC                                                                                                                                                                                        
T4	CBBBBBBAABBBBBBAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCBBAAAAACCBBBBBAABBAAAAAAAAABBAAAAAAAAAAAABBBAAAAAAACCCCCCCBBAABBBBBBBAAABBBAAAABAAAAABBAABBAAABBAABAABBAABBBAAAAABAAAAAAAAAACCCCCCCCCCCCCCCCCCAAAAAAAAAAAAAWWWWC                                                                                                                                                                                                              
T5	BBBCAAAABBBBBAAAAABBBAAAAAAAAAAAAAAAAAAAAAACBABAABBBBBCCCCCCCCBBBBBBBBAAAAAAAAAAAAABBBAAAAAABBAABBBAAABABBBAABBAAAAAABBAAAABAAAAABBAAABABAABBBBAABBAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWWCCCCCCCCCCCCCCCCCWC                                                                                                                                                                                                                            
T6	BBAAABBBBAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAABBABBABBBBBBBBAAAAAAAAAABBBAAAAAAAABBABBAABBABAABBABBAAABBBABBAAABAABAAAABBBBAABAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAWWWWWCCCCCCWCCCCCCCCCCCCCCCCWCC                                                                                                                                                                                                                                                    
T7	BBBAABBBBBBAAAAABBAAAAAAAAAAAAAAAAAAAAAABBAAAAABBAABBBBBBAABBAAAAAAABBBAAAAAABBABBAAABBBBABBBAAAAAABAABBAABAABAAAAAAABAABBAABCCCCCCCCCCCCCCCCBAABBAAAABCAAAAAAAAAAAAAAWWWWWWWCCCCCCCWC                                                                                                                                                                                                                                                     
T8	BBBBBBBAABBBBBBBBBBAAAAAAABBABAAAAAAAAAAAAAAAAAAAAAAAAAAABBBABBAAABBBBBBBAAAAAAAAAAABBBAAAABBABAAAAAAAAACAAAACCCCCCCBBABAABBAAABBABBAABBAABBAAABAABAABAABAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCAACCCCCCCCWB                                                                                                                                                                                                                                      
T9	BBBAAABBBBBABAAAAAABAAAAAAAAAAAAAAAAAABABAAAABBBBBBBBBAAAAAAAABBBBAAAAAAABBABBAAABBAABAAABAAABABBAAABAAABABABBABBAAAAAAAAAAAAAAAAAAAAA                                                                                                                                                                                                                                                                                                     
